,MGH258,UKF243,UKF251,UKF259,UKF260,UKF296,UKF334,ZH1019T1,ZH916bulk
BMP1,-0.005477830061927392,0.025523494970040594,-0.03921539064820586,-0.0006484690692721922,-0.0007774911206664976,0.06413956780837071,-0.009844773779394236,0.012798729223197757,-0.02444975843326385
NDP,-0.009546778956602055,0.07913954756194688,-0.016124787130078175,0.026063872586250068,0.0004984273329965951,0.013697571425504616,-0.007004321089628506,0.0341101259360655,-0.013300873748338812
TNFSF18,-0.038282614382354994,0.0306652399012959,-0.02528979954525549,,,,,-0.047829068450969105,-0.02534767452236313
IL36G,,,,,,,-0.013349799970391252,,
RTN4,0.007714908650643272,0.014159587383751464,-0.017699966897836015,0.0022412992764348637,0.005926979851955487,-0.08606957020363633,-0.03464254552573581,0.016656223028206685,-0.014614770311391955
HEBP1,-0.024323110905914023,0.016574041821086998,0.011279992827255234,-0.0305275151286559,0.017036010125288714,-0.02559808002854345,-0.012798422401180986,0.009850382566957671,-0.006394869946731213
WNT7B,-0.004991760663052901,0.0036129087929353608,-0.015709239525174813,-0.02554476097508444,0.03785628734169748,-0.03202828950302641,-0.014672968617091421,,-0.00416922965166119
PTMA,-0.011531603388167354,-0.13367638125678122,-0.028614823033896845,-0.0013366565393791508,0.03506321853096161,0.04097775644296629,0.03202878245432941,-0.0020401051535644515,-0.01631745899005315
FASLG,-0.033725793760222146,,,,,,,,
CEACAM1,0.039897726547416364,,-0.012055896488437145,-0.0294968753557426,-0.01620797514531824,,,-0.03363195240135505,
PDAP1,0.047231386073858315,-0.00948256534610596,0.04184303990044471,0.04567031603750634,0.06274430499034254,-0.008720660055490676,0.08648988660261461,0.007082777368462109,0.06642123992830265
QDPR,-0.10882057482124381,0.08436498252949996,0.03447345085856937,0.01662603492215535,-0.012407379092551272,-0.012367496971940324,0.003811021443514994,0.0533276574357834,-0.017676704423055394
POMC,0.005471601651992078,-0.04217773609123996,0.010336677790153855,0.13221202783980818,0.015496405940514229,0.04496132004317107,-0.028602089521500472,-0.07413393911549455,-0.008022201896785137
CCL18,,-0.0299569982552471,,,,,,,
CCL17,,,,-0.017096753785973858,,0.03386695162669007,-0.012195421273645066,,
VEGFD,,0.035875176350522286,0.001421062097604485,-0.019047671707316437,0.007979518011170805,-0.0290779186672552,0.038925528822270725,-0.045721902284828225,
TNFSF13,,,,-0.011792958124916382,,,,,-0.027574654295991482
WNT5A,0.08396275053474553,-0.08978225886361665,0.04569340962663403,0.023518610337049262,0.061157785439532146,-0.003623027957585902,0.04866326581319425,0.16124654668969163,0.018789153471383754
CXCL8,,-0.06284780558775382,-0.016168406738585335,0.0047520840778490425,-0.05124433779574659,-0.027078622212885355,-0.012879303218444441,-0.003583759692049504,0.00834240560944223
GRN,-0.03347051052298732,0.05689719467565473,0.0334644188588975,-0.0034240436580869676,0.022979698435004126,0.0018177816168794766,-0.051316651515837655,-0.08193071655002243,-0.10365105468410554
MIA,0.08780012085509677,-0.04531482286785297,-0.015356642960508524,-0.036000027761793216,-0.039371950540894894,0.005328570746426876,0.019029534277393165,-0.0048615229542450945,-0.02807549383294614
COL4A4,-0.039058578640417355,-0.03397806470457019,0.06446217516267028,0.04748312859134957,0.03265711975630016,-0.026932880717440273,-0.01736390905261302,0.020429997600680542,0.08022339625655163
TAC1,-0.033725775411405444,-0.014511447783687266,-0.04836485559593317,0.11207262562131023,0.013705923759811577,-0.0029194345545252073,-0.03077248079926407,,0.016350836906403612
RARRES2,0.11990521928085199,-0.018764092346672496,-0.048919515322690704,0.037561247025380155,0.022030492198456795,0.023966353920955537,0.020783140824077558,-0.04846447253673493,0.122021443160704
