,MGH258,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.016803103505249682,,,,,,,,0.07947112419003656,-0.014175372413134359,,
BMP1,0.051801318511855196,0.0855764983001911,-0.024524765210333904,-0.022776117731969768,0.12304943259763905,-0.051356556683840385,0.014315555204658648,0.01829362069686458,-0.06737956032295578,-0.04194786823558961,-0.012880660441888816,0.02583492140138873,0.0771073990384317,0.09126382227559145,0.047940148288524644,0.12206939589036092
NDP,0.09024060595012709,0.02167711336656095,-0.016036461086603924,0.019101451068753012,0.04001853122380162,0.0031567810044736844,-0.00841759007090931,0.01644797053110139,-0.007827600209282885,0.1417255688348609,0.01451830181131719,0.02941283654816388,-0.029652889840753614,0.017402364427726056,-0.051233897221248166,0.07208068763368217
TNFSF18,-0.025169306661192756,0.026707936468343258,0.008266424690782821,,-0.02495210426230529,-0.01796889736919499,,,-0.025257698166451487,0.009031258578194945,,,0.06263521058745518,0.13534906390325532,-0.030133279598709463,
RTN4,0.06863296051179416,0.016646197111432778,-0.06802063181637207,0.0159095299253424,-0.13551321236246036,0.04535880825858311,-0.002701918595464809,-0.04834021285319919,-0.0049069077438156,0.00890636498111912,0.008806699440397836,0.022751401673311307,-0.06085452906327439,-0.05289195645847088,0.008702077085499147,0.11832773829884186
HEBP1,0.07851025650523093,0.042843976441742815,-0.008386178372131625,-0.04072957302373451,0.0763248701709915,0.03578653209944171,0.053986897000371604,-0.0007591875072829768,-0.06702040869044122,-0.019550760986783097,0.010325662192664703,-0.006090163475698174,0.016586447855858895,0.06212482218667748,-0.04712637138017726,0.020459551587351934
WNT7B,-0.022173370843904514,-0.03954618619579996,-0.023299352335652227,0.0022631520371392774,-0.018750636025553144,-0.03844401561156223,-0.03467071870828463,,-0.027806260393281337,,0.08666972069742908,-0.041827701135965886,-0.02085597267218943,0.12016830175592043,-0.009065796583494113,-0.04128138991357579
PTMA,0.03796913920594119,0.003332617351366089,0.04328378786172978,-0.0016618966118159219,-0.007673925327376861,0.050636178935992746,0.041832179558029536,0.024885548000763875,-0.006459495419761714,0.004163702764621798,0.01656481837705052,-0.0028469264773237084,-0.05204152646960653,-0.03945137726981329,-0.030316585303795822,0.07084782360450498
FASLG,-0.02217337711225965,,,,,,,,,,,,,-0.006066849127361453,,
CEACAM1,0.07340840119712014,-0.011170957183160184,-0.017880851555933202,0.12334901732591634,-0.02091183471533161,-0.028260794758775486,,,,-0.018652080932862334,0.02780435860710431,-0.020263573859588768,0.05626783698496963,0.021644250334266903,,
PDAP1,-0.0007740077004309763,-0.010859581239496003,0.03715988749940734,0.02520718251050323,0.03568134297562162,-0.0048903270393215945,-0.02130391951951728,0.03046488711203892,0.004353884159439208,0.07507111436973796,-0.021268217965717692,0.028692944242212633,-0.04520882617854573,-0.02776102689336518,-0.04494942018917074,-0.015805771924739337
QDPR,0.11954779211049914,-0.03074034487420911,-0.024153679397558078,-0.004491636972474752,-0.09877999693929286,0.02123150195740767,0.01972115278858543,0.01408455902717095,0.041132906355805805,-0.03381443336041412,0.0591303523785329,-0.045142985666201,-0.004155365733006839,-0.010520347042850165,0.015804997674449293,0.020421638048004495
POMC,0.03750618153934778,0.001823249705421527,0.09139295372614283,0.00427008834623355,0.1126440471570934,-0.007733432118989751,-0.026445504051407366,-0.034404514732247364,-0.03501503028406208,0.03971699493114647,-0.04505314282027755,0.006838599638594357,-0.012033210971549713,0.07588141466504279,0.0750805247782462,0.0766946206761317
CCL18,,-0.03117838381714532,,,,,,0.08833384351676452,,,-0.03433750440404625,-0.02974384937248958,,,,
