,MGH258,UKF255,UKF259,UKF260,UKF296,ZH916bulk
BMP1,-0.0069174085819959045,-0.05649794642598627,0.03186781025051213,0.05661409636302458,0.03578529581338735,0.05975274209671687
NDP,0.016206790756924497,-0.025408612274216844,0.004735521619964136,-0.02175223030194817,0.04344927669215375,-0.09528250120723286
TNFSF18,-0.019279987219288242,,,,,-0.022233118909515914
RTN4,-0.041646666125543616,0.031994537008619886,0.009035789050214266,0.006776324427363473,0.01844148357628636,0.0064895033191876336
HEBP1,-0.0034791257226046333,0.08477465011489856,-0.02697388227345234,-0.05897424892090699,-0.02401848783945198,0.07689882716313919
WNT7B,-0.01698506487420097,-0.03207724970149578,0.03568681139038289,-0.021479603174119857,0.026353799914987576,0.01047941363821311
PTMA,-0.013272704664019487,-0.02010723139910858,0.03485936059123979,0.00515866962283956,-0.0025019252631992305,0.027743853644266556
FASLG,-0.0169850696758353,,,,,
CEACAM1,-0.02358391789291431,,-0.028858779288422398,-0.01734562280436767,,
PDAP1,-0.047571973582313964,0.004665734087267877,-0.02167628955532731,0.08163944362025903,-0.021838321467492573,-0.03673125525492481
QDPR,0.07223151274659949,0.013182942729992833,0.038713450352220846,-0.033095429870985744,-0.019205734530040465,-0.027714639310602238
POMC,0.06549008579070918,,-0.039766940765979676,0.040135681916798754,0.0030104785258388183,-0.03349415688337273
CCL17,,,0.011649820181758776,,-0.017498845794277008,
VEGFD,,,0.03744150597629869,-0.016595309821997074,-0.012835615011090887,
TNFSF13,,,-0.01707288976360028,,,-0.03909208632602451
WNT5A,-0.040672791169819346,0.09933714395772456,0.016148885675253966,-0.02783258021631084,0.020556313957721346,0.06589584699276713
CXCL8,,-0.03150780060648276,-0.03724808438277233,0.020439498714490377,-0.011953082809423069,-0.02561369853282379
GRN,-0.03643322134974584,0.013383796691823662,-0.024749631648446083,0.038212388342521476,-0.018924291649263198,0.003950451526284344
MIA,-0.02223199120683366,-0.030126186882008143,-0.0162841803742182,-0.017580682636694364,-0.014597808919764362,0.13843616527311142
COL4A4,-0.019670780304333193,0.04880685813856072,0.03890373186533735,-0.03562230119443224,-0.024523158059972,0.01765888520168682
TAC1,-0.016985060434957754,-0.027430126262472317,-0.007687610344917569,0.07482213471214413,-0.024977029005512855,0.05548929462047974
RARRES2,-0.012658303229518782,0.00946355633816361,0.02590206152576225,0.026593617503496526,-0.012684355320956504,-0.013490381865525109
FGF7,-0.037009305088852085,-0.03868257768144615,-0.043873967970177466,-0.02010929090630086,-0.0074880762401068925,0.03625379035555522
HBEGF,0.03580684208456492,0.0646848043407028,-0.008416811918076965,0.04597555688033463,-0.023849645432937463,0.06530359868252124
CSF3,,-0.022768997155407148,-0.029501386230236196,-0.004661627909853346,,-0.002646363405101547
PI3,,0.034509402955544145,-0.03802751466048722,0.004681120281945272,,-0.06465983763722721
PCSK1N,-0.040077820730313206,0.04809873565983112,0.056142585499101824,-0.04191602765841349,0.03702312510428291,0.03215323563307723
NTS,,,,-0.01676955199827371,-0.013635014567894586,
SFRP1,0.015072301029758593,,-0.021596462148921254,-0.018932374583785255,0.06382533624436701,-0.057336649253361266
CXCL13,,-0.016532986026145575,,0.07791770989937324,,0.03449114686199324
MICA,-0.03828519869632173,-0.008693952015648923,-0.004133261513909658,0.02500191140691746,-0.015229721870371339,0.11854484741355346
TG,-0.01967077587144711,,0.02793206107862201,-0.031124454940679832,-0.012663838710460796,-0.041080994657243006
ADA,-0.009972408281656655,0.013026863394345417,-0.058679497500716,0.07164390598041213,0.07865383051409487,-0.04611913077005116
LAMC3,0.005400568268681582,0.13287045102557607,-0.025480398396770163,0.07229165180204838,0.019006211928987462,0.0650992353061933
