,UKF255,UKF304,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.09196093750749595,,-0.019814460328074095,,
BMP1,-0.08379550472405294,0.08086984391345743,-0.06583367743142068,0.010714610263573057,-0.1307580233359753,-0.05063383811339994,0.04351596961130624,-0.038024839539874025,-0.07516479648307077,-0.06252808085669152,0.04060206028040566
NDP,0.0045191971543972155,0.006735827514367696,0.02490880622705842,0.15920832822025593,0.0038905426043311393,-0.08527762082064647,0.060390301144604905,0.006133026541604781,0.05234260943160129,-0.004958086784271955,0.15202120830407856
TNFSF18,,,-0.03644541456545025,,,,0.0007688171854102613,,-0.03894678735553846,-0.005007199495372542,
RTN4,0.03131456312994799,0.1257868103044349,-0.021698393642099252,-0.03307302323846212,0.06898664841500847,-0.024758237166102762,-0.06902253928318548,-0.007352095902501639,0.022065120497073407,-0.05077546632423909,-0.017692973272916003
HEBP1,-0.08788581933614724,0.029642645944837467,0.01724066022903323,-0.05957511361316008,-0.10315833764663408,-0.07373306210504815,-0.020508216762325216,0.033712276301906575,0.037745403772662015,-0.08151660080816428,0.09816170965053454
WNT7B,0.004397110418509857,,-0.0021965667192847503,-0.07700054309745172,-0.045559408060108525,-0.03396146823346462,-0.007535638258776111,-0.02206736452937664,0.0035275423891986115,-0.049441661668040975,-0.03783857882711599
PTMA,0.07809357629407072,-0.11506499555603159,0.02927830637139521,0.17596807560325742,0.08476410453810358,0.029380284005483526,-0.0669053546985404,0.05532173996648702,0.019275733184096505,-0.010247448981120426,0.1556582914452237
FASLG,,,,,,,,,-0.028143516379539813,,
CEACAM1,,,,-0.05798333988290934,-0.02552918341113766,0.010729953928360006,0.009713734252641295,-0.014646430779286648,0.006166244703655135,,
PDAP1,0.032362472408836454,0.06267727988041721,0.0160076281166358,0.15901911195448554,0.13920993746045665,-0.0027320360408369265,0.0928403269225845,0.022416140210200584,-0.020954385224990754,-0.017748853770763934,0.0524917571450501
QDPR,-0.010179290331102162,-0.09901087810299829,-0.00045444443396621976,0.043743785585110904,-0.1201350723774585,-0.09646565924110996,-0.08793063896299805,0.003622346220577022,-0.053971448529177,0.06142388272968183,0.028313862779914215
POMC,,-0.027827578997750874,0.023121587153755018,-0.0669160009254563,-0.061297317018354176,-0.011161855045350763,-0.01975398379748137,-0.02395963671728399,-0.06643431851335169,-0.07862120126446367,-0.025537543028625022
CCL18,,-0.04017226281441607,,-0.0020107702069182137,-0.04671809248624999,-0.05919043685884987,,0.058863772580020186,,,
CCL17,,,,,-0.0181117199829919,-0.03499075701177567,0.0091012563188336,,-0.025508936529017968,,
VEGFD,,0.09426271399605524,,0.044286434977146134,,-0.02423916542479548,0.009536646141159972,,,,
TNFSF13,,,,,-0.03475367022528355,-0.038033756575878215,0.20554346602664758,-0.016446960124215693,-0.04156468292961417,0.025054668705715984,
WNT5A,0.004596303765141015,0.030081904124124745,0.042685501762090815,-0.0005471165232224858,-0.07656149473206236,-0.01408461929479838,0.016753009343653848,-0.020591546841316886,-0.014442303863264656,-0.07569824612608443,-0.11465370613807442
CXCL8,-0.04589439632945855,-0.043035671101770645,,-0.03299623557358873,0.0689350385555578,0.026626604454611305,0.04609424568310283,-0.000471601666580189,-0.032841636282165555,-0.03459117909356573,-0.06767432643917322
GRN,0.040872714291826547,0.0018516663684226744,-0.047837393214389796,-0.06800677747695855,-0.05383619062223853,-0.051088157822266646,0.110386842453415,-0.033872316041993186,-0.05061998676159198,0.033383716545866346,0.08988735734235671
MIA,-0.04078770688252371,,-0.02198913587245234,-0.04213363129011435,-0.21569645112160943,-0.13788741969867363,0.048575369468712354,-0.08751807173055984,-0.059164052740001645,-0.02894961034933771,
COL4A4,-0.031037191045625905,,,,-0.047856286925591324,0.05965116124269052,0.12038226343514738,-0.02951762029528071,-0.043938249492353726,-0.020984802284595757,
TAC1,0.0045873857049582,0.008783809266844049,,,,,,0.005958455264888528,-0.033534090925236085,-0.11426705133130068,-0.023374621098746086
RARRES2,0.017897278247784275,-0.0726809398088026,-0.04717894822032983,-0.12326284788409067,-0.06778852297789344,-0.040013260058848914,-0.05617662284912939,0.0058210166351461675,0.002964836217464486,0.0008912596104654956,-0.1331550472279441
FGF7,-0.007050620049955222,0.09069632245749917,0.0293042694993698,-0.0219263293010991,-0.03926040360739904,-0.059033083677086255,0.004988617753365801,0.025015852837141417,0.009216516473386576,-0.02122391572223902,0.015200881831852316
EFNA2,,,,,,-0.02303770457672966,,,,,
HBEGF,0.013528543199301192,0.028928723301075893,0.01617497408939209,0.032279486007042286,-0.0721763388950408,-0.1323306840114309,0.004589591674381046,-0.021696152640272415,0.020360224264203555,-0.06601254304574337,-0.019376939078781238
CSF3,-0.02172485392861674,,,,0.07064669558410347,-0.059317858604694323,,0.06794077440741053,-0.026856974947127302,0.05236396376595166,
PI3,-0.009714519884619261,,,0.04088588956187531,0.16192672770038594,-0.030550838550137918,0.03786554267587659,-0.024633386429372992,-0.006038152403371022,-0.07824274981099437,
PCSK1N,0.02076504733071954,0.12543461659692945,-0.0051286590299375115,-0.012776285684968771,-0.1004810711368329,-0.04428973258181398,0.018364401602837893,-0.030599629501494946,-0.04082145784654007,-0.03191070795158146,-0.141912424499014
NTS,,-0.01700377962863693,,,-0.04225275735975328,-0.028067071313047476,,-0.004811013952216382,-0.0075439530809937195,,
SFRP1,,-0.06229264275532654,-0.005706200302690962,-0.10514522191484313,-0.08355919814063983,-0.08788615207959954,-0.04492342902262351,0.0026094369415404486,-0.015994973522941602,-0.012538679808355513,-0.01637064897584841
CXCL13,-0.01577481449755364,,,,-0.040682636504694676,-0.059190430417272934,,-0.03425155168952173,,0.034050717957559665,
MICA,0.053418270626099496,-0.0022645605088905227,0.041123532478618656,-0.013599670787052112,-0.06325783683255584,-0.06083086860861778,-0.0331202625391019,-0.02135564130844712,-0.12955228138709426,-0.08690932715910193,0.061406248550288
TG,,,-0.046706500554635974,0.031036876330934632,-0.024065947667881695,0.037347091580003294,,0.0696082413389766,0.011247241819497546,-0.054374977059317695,
ADA,-0.02872654650816591,-0.021914663892204273,-0.0651818203407221,0.0039430840751463955,-0.042675518807345054,-0.06984187737559477,-0.031771860940631204,-0.023411021832174948,-0.0927513440555803,-0.04225134539101055,-0.08205688873013026
LAMC3,0.013113499822991858,0.036079170258932924,0.034628627975849285,0.029916918268755692,-0.10573170945621958,-0.10228792519188742,0.011902658602735237,0.01855962941928182,-0.047690393659597444,-0.06701149543461511,-0.04755073814656442
CCL7,,,,,0.10607694136326196,,,,-0.013735159144871112,0.04040865207474667,
