,UKF296,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,-0.021872564601709228,,
BMP1,0.018988493861675556,0.04132652678579457,0.006833179560089016,-0.008218131897487477
NDP,-0.018655340373590238,0.023676788579658388,-0.025417457380238092,0.029220080797734284
TNFSF18,,0.06464716941596726,,0.02992693005468312
RTN4,0.000778103205834545,-0.08788056639484511,-0.07386968227406052,0.03114942458190537
HEBP1,-0.04655772099289512,-0.0348355296443391,-0.03400865809610689,-0.0848788577160092
WNT7B,0.015648580907792992,0.05869490540410321,-0.024159478185264684,0.09964980586862507
PTMA,-0.03679938548259067,-0.06154709987029596,0.06220969251333252,-0.03903931888824105
CEACAM1,,-0.03241175198230933,-0.01603499703977386,
PDAP1,-0.06795558523438364,0.10067048395588611,0.0019598332910468583,0.016022731428186155
QDPR,-0.07702350766596511,0.022424722339346604,-0.01282770711075976,-0.01850402716422341
POMC,-0.018166377011515637,-0.05275187007189262,-0.02623114870955734,0.007734230490061123
CCL18,,,0.06263170938666268,
CCL17,-0.013304949314468812,0.11466327088688381,,
VEGFD,-0.009759341224576761,0.0038537349160509917,,
TNFSF13,,-0.030924717764978963,-0.018006226969511686,-0.03453645549938086
WNT5A,0.014316095680166532,-0.03409173859835247,0.010278377269027819,0.01206208248225632
CXCL8,-0.009088322898589966,-0.04094326622287609,0.13848522300668825,-0.005475121586666168
GRN,0.0010926351849712072,-0.01050656176153026,0.04013025190540735,-0.04567804216441327
MIA,-0.011099195344831609,-0.03601982523514044,0.06943261337102462,0.07890095427435222
COL4A4,-0.018645765489592712,0.025070028292965056,-0.03231606124308244,-0.03859971845630286
TAC1,0.04068997294975464,,-0.00040753478946836864,0.07430910426566134
RARRES2,-0.05935739524010508,0.032282575455224526,0.05441014404869927,0.04815416083573743
FGF7,-0.03870477749349033,-0.001823392614345281,0.08244647528894418,0.07972178692849109
HBEGF,-0.002379039799641259,-0.029130478041007588,0.008602854521066978,0.04517874858324744
CSF3,,,0.041981096197764765,-0.015436672292601723
PI3,,-0.02450234048275244,0.11889653297605628,0.0446982729225583
PCSK1N,0.005016383228847711,0.02894129436909798,-0.0193489146120336,-0.02027306839431046
NTS,0.022463585744516526,,-0.020030268625983498,
SFRP1,-0.013304949448460578,-0.05521135770410754,-0.05620413171291093,0.041747267721855504
CXCL13,,,0.0471347880283542,-0.03293413267553981
MICA,-0.037986599475327835,-0.05173484311480459,-0.038102083913659865,-0.04669167137005532
TG,-0.009628734040527071,,-0.018919772393207267,-0.021690121987486228
ADA,-0.01563783842512289,-0.013421659648839308,-0.03256533219510421,0.03345764151388362
LAMC3,-0.03332847954394134,0.011081361555266697,0.03337246649024594,-0.07051987875651554
CCL7,,,,0.05013026995022995
NGF,,,0.013907089672522565,0.0585140618827387
TNFSF15,,,0.1446141669486586,-0.04493663564678121
HMGB1,-0.02291336983164567,-0.01658328564417052,0.027184170618019348,-0.005639088315004121
ITGB3BP,-0.0567741994013923,-0.022115574628371316,0.05428366636763616,0.07107283359372206
AANAT,0.04041895775392133,-0.03567132575558744,,0.014937739410265695
RELN,-0.03515146279272799,0.05185795685370221,-0.01724310719930506,-0.032686491606869456
IL15,-0.023855809546761805,-0.009025724312684478,-0.011861826972883894,-0.019811689285072046
BSG,-0.02945052783115072,0.005757995195093222,-0.05658582311846674,-0.005707608054899485
ADAMTS3,0.036948912533736576,0.04856121727137398,-0.030181499844324267,0.007799772640160662
CD34,-0.020766294278875493,0.004456721616912008,-0.013049029116531883,-0.04864855302925659
PLAT,-0.0072502797678142585,0.0587000998688172,0.0008462795503157968,-0.01743813016875139
NTF3,-0.01791675004638126,,-0.028210632728767743,
CKLF,0.021792675765405504,-0.0701998125425724,-0.02918047619467217,-0.00038580721199854665
CD24,-0.006127717458548601,-0.03969865662901949,-0.03379451325320896,0.009792094007429834
HSP90AA1,-0.02056154945779786,-0.03811066416359782,-0.026681679853028394,0.01796920127872322
BMP4,0.007152799645182949,0.03390180150940495,-0.0011146267625091215,0.047695991575330186
SCGB3A1,-0.009362280351902364,,-0.029645451523249284,0.015268158765666822
IGFBP4,-0.024787674174218573,0.019422672647888987,0.06585508064284773,-0.08974975904321116
RSPO4,-0.009362278982457072,,-0.0007173364010657823,-0.03126151408430897
LEFTY2,-0.01026585340745196,-0.012086163003842933,-0.02715101294402273,0.05495239016140028
PF4,,,,0.05651459157634318
ANGPTL2,-0.017941015558887437,-0.013900457564996352,-0.06163645260880379,-0.013120749342635532
LRIG2,0.019327046384775375,-0.02814001091670089,-0.03162183757278386,0.062206494147790635
ICOSLG,-0.01776785717891909,-0.03499040479479876,-0.03589991563691647,-0.00807052374326416
WIF1,-0.017617870629473207,,0.06213677761348867,0.025525611019387624
NPPC,-0.013011276637107841,-0.0028049198253539995,0.02967890785415628,0.03258295748097767
LYZ,-0.025771506149516697,-0.01699097139910718,-0.015522469642444614,-0.0540854002558949
EREG,,,0.0063821541317128526,-0.028193993172982514
SPTAN1,-0.014791919655951256,-0.007819033303817613,-0.06269489698585329,0.060177473310194754
PTH2,,,-0.03175092159834178,
LIPC,,-0.004795186184437692,,-0.038188993794802686
COL8A1,0.01353619266786689,0.03189190084991209,0.044244764229538325,0.017390170695685613
GSTM2,-0.027671859974968602,-0.018312024126270338,-0.023432077554703452,0.0222416987776204
SPX,0.06757582066458757,0.011878402496473586,-0.049132654645310636,0.06456588344342365
MFGE8,0.049949143985955416,0.027533296502374592,0.005553973681606132,0.004807564640916032
TGFA,0.04288271574694989,-0.01255011577756077,-0.04946546795967771,0.013470624163166934
SLIT2,-0.00539042880990249,-0.017398401918532952,-0.0020836822110214988,0.022233689095696348
PLTP,-0.03091959552903202,0.038125251430118454,0.030332172838263446,0.020870776938093954
