,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.025856693414154985,,,,,,,,,,,,,0.056461960810321975,
BMP1,0.023029478459139684,0.05484554637383523,-0.020535949631747288,0.05150159171915416,0.03829563447871261,0.0610622477287734,-0.01279953331545537,0.05877937860992376,0.05216720190853444,-0.01968345195976239,0.019787712606884653,-0.007140865813564572,0.01806726070138457,0.06415589689468987,-0.08666580892184564,0.1558091957542508,0.05937778713512784,0.03277816005337135,-7.382448695791597e-05,-0.011219974837387429,0.1332621569796443,0.13063582865630247
NDP,-0.04364737934085322,-0.033571482803728625,-0.03172206864163282,-0.03824301352430629,0.006281951056072568,-0.006195013125511121,-0.01095206832748564,0.026550590807189398,0.05241987648948552,0.01471617645827406,-0.009929421543935073,-0.030311047464846703,0.05682486179505099,0.07707404564290461,0.003381906291537013,-0.06609816589633076,0.006899795521312066,0.015078634971903742,-0.014020336125007849,-0.041527991481524036,0.003384856487102139,0.035793027552762514
TNFSF18,0.09461633595562385,-0.019093048404376547,-0.0011059060258445882,,,,-0.012213193375444471,-0.038396413480812554,0.05181708973444569,,,,,0.032026772764683534,,0.1319360674036098,,,,,-0.010027361990488093,0.011889303349440033
IL36G,,,,,,,,,,,,,-0.020126434694683722,,,,,,,,,
RTN4,-0.041036033420678714,0.037052123669487826,-0.026610048382529367,-0.03496722370136331,-0.05039207661907676,-0.036522536115461,0.05655858835832678,-0.1477918612284622,-0.04488846416788454,-0.004729250578444121,-0.06554333542696486,0.021477663958693178,-0.006804294582684944,-0.033355409890363494,-0.029228042131852757,0.036441241870463235,-0.05833574350803987,-0.018772149601985654,-0.0220492736248454,0.08232901538379217,-0.011718311370959472,-0.1008660163290241
HEBP1,-0.0006096150908289639,0.07731599503656808,0.02742042203899372,0.05235445337306113,-0.06230458811944733,-0.04349982433847933,-0.039135554295615896,0.0185854548901259,0.022693966450890713,0.005616797032101825,-0.03141111742531767,0.02873838133965646,0.004830944309396706,0.12004137017462488,-0.04178851872562205,0.03506466089694613,0.047205186149972385,0.06837566040570475,0.02411077365052009,-0.030384699735726307,0.047777540003596915,0.05631246192858878
WNT7B,0.028591884118397467,-0.031202263322214457,0.020941918329556535,-0.009725740497586835,-0.045603252854508905,0.0008597128572318622,0.04514030254908662,-0.04298259504813875,-0.021709746460999425,-0.010049707416640423,,-0.10292209005927977,-0.022121271127958274,-0.0006401116933878107,0.22270870830190992,,-0.03613092984303392,0.003755722591763525,0.029626676010983847,-0.002463617096624471,-0.021511889123470546,-0.012573237570295232
PTMA,0.06789859139981021,-0.058789243004404544,0.03763072017059488,0.028312907599078903,0.0010175214168780353,-0.04856176957607238,0.016639313996201104,-0.049653148060161204,-0.045192672448977525,-0.06854577357204485,0.07942924109685551,0.0582691191181775,0.012910507778442992,0.064960330303639,-0.03469320150277873,-0.027404839005701644,-0.06248875045605293,-0.026271618179907967,0.0033019382794903227,-0.003510249193113495,0.06382160255316711,0.007028580245743492
FASLG,,,,,,,,,,,,,,,,,,,,,0.0010555487549948688,
CEACAM1,,0.03365594497189356,-0.012898469861422445,,-0.009718294757657902,-0.020562804224540595,,0.02305691349991069,0.03598461543391575,,,,,,-0.04037133139044143,-0.029689482447187623,-0.032402796604918,-0.03298543286338648,0.022992851848357185,-0.013517655829360117,-0.03052190733333212,
PDAP1,-0.023719968232773916,-0.014439016259049588,0.014378813829205493,0.023925477799025003,0.017800590642752905,-0.062232390815847555,-0.02485665950246948,0.07941970468503516,0.06686190664752198,-0.0030693011181308323,0.013431723340629267,0.05697059014414981,-0.0007728124455146677,0.019895849694350334,-0.0990761079850333,0.0315890984303015,0.043713714052128885,0.029129385408779157,-0.00040983682291233437,0.062434025994325536,-0.0487667098540315,0.00892998483065967
QDPR,-0.03717264795886715,-0.01773486089664859,-0.009637554368525588,-0.002637519740640884,-0.044979592388869886,-0.006717193954779776,-0.05286930125300491,-0.07754104650537097,-0.02671866947444768,-0.04049571413943447,-0.033791608707846345,0.042933873360413405,-0.027195056577932416,-0.1355036450434075,0.0037283643295937937,0.036858060777073605,-0.03369157718781686,-0.03048039714620674,0.037771570831136976,-0.008355162753066473,0.06616720637964238,-0.0567214917665023
POMC,-0.0386015621107421,-0.04513806727803609,0.06427242061124634,,-0.029589831814927248,-0.003877952695274138,-0.020955307308430704,0.030910487526206454,-0.03043952482951333,-0.027029725428465035,-0.03778764036454809,-0.025254899175081964,0.021985863209812256,-0.06806869874250673,-0.03652328858247954,0.02333916615981938,-0.04075629743956535,0.017624067481569583,0.005886559140667574,-0.022113109181438335,0.030973756446390117,0.010704516439066555
CCL18,-0.0274169985392243,-0.01857396534719971,,,,,,,,,-0.03141915053387516,0.07275174477118558,,,-0.002050941261223046,,-0.022974115545968017,0.0013753832676947802,0.013896717864526351,-0.015487556100153115,,
CCL17,,,,,0.028354809850717734,,,,0.0572515187750505,-0.01243872056784216,,,0.019212533330261797,,,,,-0.02340156807674452,0.01028572753620685,,-0.02649096455930186,
VEGFD,0.007987837835643741,-0.030233207390584393,-0.01847447026465549,,-0.02338377777054373,-0.019673326853930827,,0.010308436756334189,-0.010838821371013815,-0.009123951963253264,-0.01951586614684248,0.09377581292686714,0.015904786787915667,,-0.038999138233774315,-0.04036220077674534,,,-0.02539481787509768,,,
TNFSF13,,0.038407921301428435,,,0.06373921873035573,,0.049600106970779795,,,,,,,,,,,0.04380958390590155,-0.018686727861246772,-0.015179421508807068,0.1258455226667157,-0.010177462047710422
WNT5A,-0.00681329095768689,0.04464195810987113,0.052983504474787106,0.05904649026935089,-0.030576418963346674,-0.008035351364883503,0.008430164061213382,0.104385732186047,0.049715410573102616,0.04822647451936248,-0.010207354377778755,-0.004023703142095581,0.04509578906376727,0.07542141134435293,0.027042186476616853,-0.02531197741767046,-0.0017805634229070939,-0.022053649103723753,0.08826191000928202,-0.06761168952000263,0.05992806404856718,0.07540925845065348
CXCL8,0.08146394994533636,0.05589144986184016,0.057016354513909163,-0.04276507156723644,0.007453659288479018,-0.024871334577612102,-0.01684767707317323,0.09929112082436334,-0.0186373154342098,0.02455112853939093,0.06029417738078079,-0.020736300655250544,0.0023978818700935997,,-0.025070826346242334,0.07160930544376025,-0.04044954753770871,-0.036955873718411865,-0.043743714964532894,-0.012097554292799332,0.019885996765683804,-0.0003916153542181012
GRN,0.0019139566769442297,0.024821271460689024,-0.0038901560399814254,0.03900060235960921,0.008439075532861955,0.03942660696970213,-0.0007084726889421254,0.0486510442839655,0.05127303311683936,0.027389813544863858,0.04515572217515111,-0.031015937810589568,0.0031250648271237266,0.07338177883398404,-0.03665937974974176,0.04743499252258114,0.007603120439975772,0.03611577482331546,-0.030796138346285442,-0.07597966347574053,0.08220810857736609,0.010824078286672542
MIA,0.08072078648910025,0.03641377267316839,-0.01642990188151673,-0.04606833008448915,0.0053526764132695555,-0.031482687840666025,0.04622774990641388,0.0517716616181928,-0.011786860044462154,0.15364438644737016,,0.043702554949408584,-0.002233806459178757,-0.026331921244353233,-0.03416999679757137,-0.02934148608401475,0.014762495274489161,-0.00033270342732323116,0.08373177636824011,-0.07959356576732808,0.06389025130179221,0.0627055734210882
COL4A4,0.006650368862873964,0.06406960825351023,-0.015714102609818075,0.003210345389128292,0.03488765858676037,0.05255944421147443,-0.01126928036116232,-0.025479852142259615,0.029955674977305904,0.032752604702732,,,0.0006662001076306021,,,-0.0316043981107145,-0.02904646038766529,0.06340522486884832,0.06211996706191347,-0.0003260685108600569,0.013565127742627891,-0.03203579142469806
TAC1,-0.03894672599676019,0.051779891624736084,-0.037434240337348205,0.083978586394296,-0.052840140401010885,-0.025573702392160898,0.05437066567935249,-0.05442413007667721,-0.05931361363670354,-0.015750893777002367,0.034182274555575175,,-0.046393228855371796,,,,,,,0.04014005892832549,0.015853759783547864,-0.028220656325098258
RARRES2,-0.053015856497363165,-0.004716447797679697,-0.0013718048075545592,-0.06558324038167047,-0.015855880760064042,-0.044934333463999214,-0.026457441257987477,0.10192810702536674,-0.008218297578095278,-0.017882553355442976,0.08046889681764616,-0.01406441554490071,0.07237056859566819,-0.04957959800764618,0.024534073516249606,-0.09646741681561964,0.011743032410058245,0.012479213279245352,0.009671116253298048,-0.030969755568956193,-0.0017733228636331567,0.034335229876173906
FGF7,-0.02852807198863123,,-0.020851855769757607,-0.0012093539001193632,0.028457949863937477,-0.018621089010641575,-0.021118562877213424,0.008356658008846767,-0.054982811535581426,-0.006716122713361055,-0.021256799423514664,0.11649147225781264,0.05467860681041869,0.08003192631786912,-0.010602266721687879,0.060286994589596646,0.006633926837932827,-0.02947951745862343,0.060033523248275045,0.009809684826917792,0.015071906262561474,0.011403406764687539
EFNA2,,,,,,,,,,,,,,,,,,,-0.02413607489092378,,,
