,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.010450373068697194,,,,,,,,,-0.019712695018416933,,-0.02083329528608284,
BMP1,-0.016083236593342057,0.07975666744828738,0.0715154323353411,-0.05265465913300853,0.04695531142769424,-0.02028133989134657,-0.0073376647257991446,0.031090302274187222,0.10751488735330633,0.0028803024150624245,0.0036950134169552655,0.07244809888750481,-0.030290346900678736,0.015573472132065332,0.1159785257708678,0.004665291116377562,0.019873837243298283,0.047935241902545986,-0.009524617356650214,-0.00420976780756253,0.023480632696072024
NDP,0.0036083117303235854,0.0972831977525725,0.05448465591739567,-0.007080724015608459,-0.029142057671523128,0.02137539302826001,0.006218946648324548,0.004734518972359454,0.04526692830701056,-0.03422293921182876,0.045543244220854644,0.023569622505415895,-0.06968546033707947,-0.05150477775815151,-0.04090982040399891,0.08768288861134711,0.09046175889542615,0.06437663993752482,0.023630467076085782,0.14209436631637873,-0.039406033284934285
TNFSF18,-0.025818940350907208,-0.023633968024961986,0.09671627544511995,-0.013514488237334959,,,,-0.014612394044891836,0.012366633534565895,-0.01843406492154964,,,0.06690110514100261,,0.06922533379748466,,,0.028680624353229708,,0.14724477521615797,-0.015473037113745777
IL36G,,,,,,,,,,,,0.0007990573188895761,,,,,,,,,
RTN4,-0.04428712732789094,-0.0028979387658162985,0.0442968686746864,-0.05791728503373457,0.022667280114670563,-0.018207766869279794,-0.08176473976933946,-0.0825823127919779,-0.14208343239961296,-0.012668403420617994,-0.0536417292380622,-0.02673839500220592,-0.026274105488161347,-0.04541342449481875,0.039256335916380794,-0.019677223893675808,-0.016827332137918666,-0.012608791656822117,0.03328205775261307,-0.049240280691779006,-0.04529667161252123
HEBP1,0.020788094274249016,0.001405289019634943,0.036793102353521394,0.10197678781803363,0.041284203675207576,0.0008184523356421421,0.029026886735208562,0.03316639390030992,0.013353465681313743,0.03863803091099909,0.013589586839287468,-0.0061189567897363874,-0.03515873685449878,0.01172263689385363,0.09449881779839243,0.008472886954864553,-0.011064879962128207,0.03206905182028824,0.028465504683777617,0.08471505682742347,0.02200647335951324
WNT7B,-0.0023591372526434533,-0.07171561929826649,-0.009386011853454732,-0.02134035039062356,0.002331833074811736,-0.021704941548157452,0.0390411876638712,-0.03524863673820089,-0.06918527964980334,-0.0023325775236566165,-0.03411664467894872,-0.02838515497564223,-0.035440130331246295,0.04210499836154481,,-0.05069822657232669,-0.0411082710197716,0.05461116370286651,0.07965642750939768,-0.05580775212519027,0.041156410641382875
PTMA,0.001857407320213519,-0.11638619168675732,0.026015134524454222,-0.001969559238489936,0.05168435726696412,0.00927112706095737,0.028157817877809552,0.10390276081455972,-0.07671800151269526,0.0029371794390709713,0.014756976896638936,0.07909490544181601,0.05756798436858461,-0.04706653247508033,0.024735641767351216,-0.15871643011859343,-0.09056965964601732,-0.09446970853086888,0.03406896935476705,-0.07279898877692714,-0.048972268765419914
FASLG,-0.022745684207594808,,,,,,,,,,,,,,,,,,,0.015072507495295503,
CEACAM1,0.02904947870367187,,0.044317354677122396,0.022534832313395238,,0.005320650699907647,0.02392750154709101,,-0.045153842766102736,-0.028992392499885267,,,,0.041722768428226996,0.1705392019686347,0.02013985918398383,0.00047505055683007746,0.004622722474165477,-0.01700689454940598,0.04686005555680324,
PDAP1,0.03610109310415661,-0.00894282434308142,-0.0012121935391866882,-0.015145325714511361,-0.021626350701363976,-0.010247409482176876,0.04307449870311257,0.09263963609834633,0.07486710184886201,0.0218150379251842,0.04232771999327734,0.02903697664293443,0.008730642427015007,-0.06363375356419365,-0.01893777405867313,0.006675188726251836,0.0201469431974062,0.028958996569169837,0.026124337449574455,0.01524434817519991,-0.03560264066865258
QDPR,-0.021768869949489525,-0.06255232251968561,-0.04394831673656412,-0.018538581676179524,0.05089483056277791,-0.0470331505984428,-0.04738570471641429,-0.03949270371385609,-0.1486551127789256,-0.01440114085159066,0.0074763744860843525,-0.0230024214216668,-0.03061622003392004,-0.020329256315844358,-0.05993009593979325,-0.05529026018029315,0.0990629106868268,0.030759500232556657,-0.00316046643969133,0.039090964480812555,-0.06558677978649946
POMC,-0.02994941106654087,-0.01970968015310532,0.06253527285134433,-0.02910008978794781,,0.04483889226668311,-0.03442872812181334,-0.03855044267020158,0.05080446201344527,-0.021389431203450073,0.026833359600001192,-0.007648543713215015,-0.07796591198514406,0.14520750173293073,0.07296906332751578,-0.028203215714915693,0.10587622143144118,-0.044032189498255624,0.028107317628757667,0.07048211372121059,0.08775158848951824
CCL18,,-0.019803514608605292,-0.0015044470957290075,,,,,,,,,,,-0.0414232258181443,,-0.032236837532507175,0.0048634679919503845,,0.010015506142399962,,
CCL17,,,,,,-0.03746519700649487,,,,-0.010642604335305594,0.06317161982524681,0.01953955909683692,,,,,-0.028748615492925154,0.011813348309403872,,0.049120011871475674,
VEGFD,,0.028889266190797246,0.12418570585054377,0.07545570838067457,,0.0004883992921725487,0.03473859724135715,,0.06350564340926178,-0.013061763217019648,-0.011226110493945844,0.12250867529038224,,-0.046667894228908005,0.028082408842316154,,-0.019915043462258846,-0.02741148059871665,,,
TNFSF13,,,0.06570494340171104,,,-0.025842654399211698,,0.0907992768425679,,,,,,,,,0.11547997317527493,-0.027870967165140408,-0.01909760273379346,0.09218262122321072,-0.012151355011759315
WNT5A,0.016305039236589755,0.021368120139204305,0.05837893465728696,0.04546111826573678,0.0469866158263792,0.008960640299666952,0.09951504598379586,0.105076377113499,0.10400511784811266,0.03447251162533464,-0.010204153147869424,-0.0015734267255502281,0.12234839534320258,0.06051909443128176,-0.046194700914250715,0.08144857978130271,0.037513865933175114,-0.029867617419449537,-0.05624136702706628,0.03477371320393755,0.05617214579467479
CXCL8,,-0.027121629794939775,0.0032545982382968016,-0.021964110007145016,-0.05857625185866217,0.034390056710706975,-0.036762727099581755,0.0525931811665325,0.049177524958811614,0.020633145212928198,0.0131613504685081,-0.03253061643167063,,0.06284996676185299,-0.023389976700656546,-0.008315173615432402,-0.0898911018414328,-0.03690020511112523,0.06579540003841838,-0.004949946502032979,0.0789825666084408
GRN,0.05124125728606544,0.07996481350897014,0.13393955974810665,0.02725398079361779,0.026865334748292464,-0.0029250912581474373,0.05919133878202445,0.02815040071865327,0.11248854554818694,-0.00265770294389865,0.0537042118725229,-0.03789714276265249,-0.0800339213386285,0.12507929853595082,0.13830823025637154,0.056062906783029436,0.03289701236838008,-0.025213964963164623,-0.07113800598137249,0.018971250352969406,0.028223277729156674
MIA,-0.029772138763498743,0.0185773725592264,0.006073846406361293,0.0437399500534165,0.011089355995701747,0.022259427763891896,0.00341840440507634,0.03207648195499137,0.04757191348330073,-0.03194225270767782,-0.018709790810439577,0.005627481851889969,-0.05136604065122801,0.10690535697509056,-0.04061028555988985,0.08301805022874478,0.022315136819486645,-0.02628840507198695,0.0032453810501708383,0.0627910636013686,0.01935152876491191
COL4A4,-0.026342273859252505,0.01814827895707383,-0.0013499599423860396,-0.03508259837610397,0.07528638521988003,-0.018862344124535708,0.13226972559286276,0.013651992539325667,-0.006049424617119776,0.035091089104147835,-0.01725981556344224,-0.013011634455685808,,,-0.00698337902169263,0.1689154779617401,0.021232737028400197,0.012348209865012257,-0.0342747706438616,0.07917626591930768,0.1657531457995065
TAC1,-0.02274567183260393,-0.06652914727401563,-0.016815412766454093,-0.0286086251987368,0.03109667425940724,-0.04161339286212513,-0.09939384711062851,-0.037613275951760484,-0.05748573613257259,-0.018765392386717775,0.025787322748500298,-0.05952998737110588,,,,,,,0.02128160963314793,-0.002581202240598856,-0.02826542251977808
RARRES2,0.009501583830670273,0.013516757864851818,0.0006134395475870562,-0.0193522110840392,-0.020930486693239093,-0.013568713675771884,0.08422859644800573,-0.0036706224613314692,0.10151237308842635,-0.004048269890861842,0.026158186797986385,0.02881437559362274,0.07043866039496537,0.05294437661102634,0.03046898696260674,0.006286802854710678,-0.03053454123860122,0.004309948665438858,0.05025467538257598,0.014180553061544851,0.054980384553332574
FGF7,0.03282466764535063,-0.03769666556075582,,-0.02647600252450087,-0.03690869167229028,-0.005340640581786308,-0.05100336087111261,0.03429356275154847,0.017889919936185914,-0.010319623097029872,-0.023944502006161616,0.00657808237030892,-0.004544392953135665,-0.04953306351937927,0.11125922706139527,-0.03896531471570262,-0.03595344114198454,0.0025317452326996965,0.005476110118476436,0.09482363658664969,0.08333333016985352
EFNA2,,,,,,,,,,,,,,,,,-0.01892791603488642,,,,
HBEGF,-0.004459528394792669,0.08040813849206972,0.07681554379342555,0.023730556995457442,0.033349845137013855,0.02384640453894252,-0.005315719788120369,0.13526021805001662,0.06547036085326974,0.055069972557474964,0.013892915869344958,0.010742742217119617,-0.010084806781442796,-0.10518358504066122,0.058589874849554115,-0.030011837076005833,-0.014287319583162473,-0.0037826719251712413,0.006366209366219941,-0.0931970001785048,0.11436495922191395
CSF3,,-0.06008929660603584,,,-0.021724868043094685,-0.038320547872174135,-0.08212632189709584,,-0.02409026813539227,,,,,,,,-0.011457218066465708,,0.006454845418216052,0.08129043532975072,-0.02696740731721545
PI3,,0.04188562276103903,-0.024776868591579494,,-0.04057329420905069,-0.02081914144821341,-0.03813802592207401,,0.0014367965571814999,,,,,0.00202157791259231,,,-0.04672419695253958,0.02401837579132111,0.013624989873278164,-0.05612727108993739,0.06757489274041428
PCSK1N,0.07374392678734028,0.006369607436556766,-0.02947232575531888,0.04031082752333332,-0.011479022140499836,-0.054300574989774426,-0.004926341870958873,-0.009690925717261463,-0.021503769980236783,0.04601959325513306,0.00885355284804635,-0.1111609604534,0.0271457937331719,-0.032492347276033506,0.050365099778803206,0.06996128067336928,0.000601301034466851,0.005210087286614858,-0.039978230055054485,0.08499248670496323,-0.10044024849086496
