,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.02131514518169484,,,,,,,,,,-0.023892927692036447,
BMP1,0.09933892212525984,-0.059258725514906754,0.04060637951239619,0.02983949228907119,-0.05047935172182681,0.019318426437535483,0.1523029224935973,0.03133016868704474,-0.004424583815037296,0.07200148209446187,0.09077233272988183,0.003571061510150139,-0.018906113908604253,0.014761952458587028,-0.025013735478162494,0.0011658937653035468,0.07495789637065786,0.09583995099867468
NDP,0.022553113636440525,-0.03628856946032219,0.018142736205626436,0.003887218136281953,-0.012441259889517596,0.010142509442211104,0.043343129590224995,-0.007762105681633421,-0.021483046160944316,0.04403182040012244,-0.023092364787470284,0.13884289906185504,-0.11199347230082941,0.062190121948573075,0.07323038477118618,0.03637963091893665,0.06589309906113296,0.07738783220048355
TNFSF18,-0.028481466491935066,-0.023357424561037867,0.01577920460499959,-0.004513362052817391,,,0.12672125930288258,-0.012490943243147092,,,0.08250887104997086,,0.17964563826193974,,,,-0.019435190688415,-0.027315565949842448
IL36G,,,,,,,,,,0.034763190133112326,,,,,,,,
RTN4,-0.1069674932371093,-0.018718859272760208,-0.031075730620567767,0.027803849175380934,-0.017638228702637905,-0.024070556999918735,-0.1546359540537198,-0.021937698452227664,0.04135365634600166,0.0010716583401402225,-0.026815912686542525,-0.09453741551270956,-0.012593986165002253,-0.03064665895242386,0.019286092388035248,0.017925294231716724,-0.008725444031521083,-0.07151298204288115
HEBP1,0.014549340127189288,0.034087210985761354,0.023578918536312617,-0.0018733533058186273,0.030337702655123214,0.023702032711532824,0.030285914904011592,-0.02454631487045773,0.0025408025884584382,-0.040329330357149695,-0.008912476277916831,0.09505053989738964,-0.0347079335483643,-0.01044467839320902,0.005455104764647158,0.0070565480824877815,0.012595764940197087,0.06789683051859803
WNT7B,-0.025091279915057805,0.008131754138027265,0.0008319408758400205,-0.01722763548716353,0.031781346849123315,0.04501421470906068,-0.00455884520301541,-0.001937506402519876,0.00958104228311741,-0.015116034573743229,0.04064328551033052,-0.05159848609979956,,-0.025443432583414485,-0.04136336425447351,-0.021514598276380043,-0.015985130385421407,0.048700579703162446
PTMA,0.013555939601137327,0.04095514322475832,0.014692372472498084,0.004995290729695974,0.13021716924735888,-0.0431294868047708,-0.0768387301163848,0.022778526411951876,-0.057371790300286774,0.0001523718138062228,0.07240680932225899,-0.07382100908691745,0.12008345642542782,-0.16522792683196746,-0.04241136795470698,0.011041082396317603,-0.04894494786211849,0.04219112949206043
FASLG,-0.025091287008298362,,,,,,,,,,,,,,,,-0.020722328036113142,
CEACAM1,0.07213187289463661,,-0.020060548091604093,-0.013221174063895919,,0.04109875097451521,-0.004483874981645024,0.008781236750509538,,,,-0.050307785675165625,0.07846388293460665,0.11169553113896549,0.05229193654254068,-0.014279551777906007,-0.014771944880305511,
PDAP1,0.1002494135643177,-0.021311005262960522,0.04256032759737559,-0.01182728160988558,0.009831536035375404,0.026429420806141735,0.08503693361131921,0.024101132321873154,0.0071562179883415105,0.06528391709950224,0.04913063385947797,-0.07070435322728164,-0.03520158948934506,-0.0011816596835404836,0.048777461730296845,0.03366257722403652,-0.028986917790709932,-0.04020528345248449
QDPR,-0.14126654830379146,-0.017544469020305313,-0.0012371224707046725,-0.018300090223316284,-0.008499713742792455,-0.025089549820056206,-0.18916977809389876,0.018855001037955097,0.02924539220687375,-0.05316317453279488,-0.030074339622897597,0.0014617032153322969,0.014343615953401287,-0.03560351494638815,0.007788255921611141,0.015788950508599825,0.01282620003139098,0.02338375341771224
POMC,0.035333165603761436,0.0784282001695744,-0.0012018803198104663,0.07451639229256266,,-0.0076554872223089775,0.047128681728621176,-0.014493502778823598,0.001158974584968568,0.029664579241395275,0.06166879734672131,0.0014186259081422868,-0.009865004280210457,-0.005409610793725108,-0.00810224314549409,-0.02335947086631697,0.08536325029799748,0.049283850556865336
CCL18,,-0.012029686586341716,-0.025033668616951006,,,,,,,,,0.04179026151680809,,-0.02704293035534246,-0.02213085439945195,-0.03205657650593759,,
CCL17,,,,,,-0.0028523300520837984,,0.0018676786236867242,0.057192689160825115,0.09554714365600095,,,,,-0.01644362169813793,,0.13877910139265762,
VEGFD,,-0.035293248102656175,-0.025033676566313296,-0.002132490369324229,,0.02139050988804938,0.03158897210462088,0.00013264578259218022,0.08459621517447077,-0.013464879681973988,,0.09771361744438145,-0.02430469009894147,,,,,
TNFSF13,,,0.017324393229564732,,,-0.018103583286073966,,,,,,,,,0.028547467056028418,-0.016034979594826033,0.05419680268224881,-0.011952344916392892
WNT5A,-0.02133816880125214,0.036215701015048445,-0.022372403812765403,-0.016109740106952722,0.0405260273035816,-0.015013738092919789,0.12707517467345295,-0.005396001977553799,-0.013318875911486613,0.0029096007167645644,0.025340119117217442,0.04671865657960485,-0.05483850380669744,0.13412533022744508,-0.03956222685606728,0.02157665868043188,-0.0063511968666801555,0.0205995901119923
CXCL8,,0.06322226185340374,-0.06204935846637621,0.01804851616242091,-0.020456536689284762,0.03311047370328261,0.029760691593239394,0.017267951678374128,-0.010796925977669562,0.006023077252786408,,-0.13359069538505952,0.10025547691047762,-0.0476133366169714,-0.02365936236023057,0.024580597665395037,0.004505577111767867,0.007545017542628793
GRN,-0.16127861140940394,0.038824685988302916,0.010940946392486097,-0.02633261891869346,-0.04477110763461804,-0.01649096241829504,0.14123879940869857,0.02146388112468376,-0.02916709361106214,0.03847002428832956,-0.08291272076834445,0.12192376846782262,0.04047701108093976,0.010112115149632967,-0.004981795737224671,-0.027261400430950933,0.10745348998655666,-0.09055723834662607
MIA,0.15990997736424223,0.06627685473791593,0.03570110947996177,-0.0168409582657511,-0.023333321769020123,0.016883951564053527,0.033106187469325,0.05654338254141547,-0.013185842084069655,0.05644496176670779,-0.040485648949542194,-0.023150127751425435,0.07308072262130043,0.07029788723465792,0.06311452232639415,-0.0013145208004650545,-0.0014107433004109675,0.043725309803891735
COL4A4,0.004305055021888121,0.033777630712563116,-0.018695317043517155,0.006679116230985891,-0.04604557196392433,-0.031189312881355586,0.016435071796607255,-0.016264580196513664,0.02939643445724924,-0.017888230829369873,,,-0.03580123274845358,-0.03419071362121282,0.02949990015286865,-0.0022296025102858477,0.06702117840228133,-0.0033081734153097126
TAC1,0.04956845213794038,0.043648323997482565,-0.04740700366734237,-0.002300723016182096,-0.00934040768795306,0.015400786905477758,-0.0752271424324275,-0.015641098111123682,0.004609643882904189,-0.03170168871892075,,,,,,0.005359085689600322,-0.024691457285372448,0.006555789428583179
RARRES2,0.11562245204585568,-0.0308642641796857,0.03602453038684023,0.0010790515590385324,-0.036758879127760324,0.01844387062769017,0.10366034366072381,0.005465061297295896,-0.006544036546577303,0.011605563413084085,-0.01763316386189245,-0.007226982565273413,-0.04408261937554217,0.06937711705340736,0.001367670567226771,-0.02531834583444997,0.0330631224158386,-0.016629860317899516
