,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.013038939482414861,,,,,,,,,,0.04698005757556378,,,-0.0267034264479627,,
BMP1,-0.0036428668561028867,0.05706612863913361,-0.08138741917258104,-0.0175666186525724,0.0002501024426975403,0.023596503742111533,0.045540084575823,-0.056685564830735315,-0.12090536574093229,0.04343610449792985,0.028552968365085918,0.07893607686009617,0.04317093626666766,0.02918602133933587,0.028820063854253345,-0.03718315077323236,-0.009079605938446566,0.20341826701249469,0.08779879855759483,-0.028435746036498084
NDP,0.014540723598621193,0.03959025838690984,0.1439779029822691,0.033431741690788525,0.02256450922258895,-0.002974536174185736,0.01472627522428766,-0.01461418784274377,0.02727084521936551,0.033995448976031295,0.09382715513859827,-0.04592222335556796,0.04662670433901968,0.014353655297518997,-0.0052750631291027025,0.001114432902916474,0.016791892483781434,-0.06366928747651883,0.05546667431323454,-0.02047025286968531
TNFSF18,-0.025051840429874635,0.07309581182409965,,-0.02049573669344115,0.05965039417386662,-0.017298864876769165,,,,-0.02337485498647662,,,,,0.02729311149668086,,0.032319830849688064,0.009685963089389201,-0.02748985800760765,
IL36G,,,,,,,,,-0.01740018973933996,,,,,,,,,,,
RTN4,-0.00965471982363987,0.0061290138416224774,0.045580930104470535,0.06533798565301523,-0.005705050137431057,-0.016820842486054272,-0.0777767589680113,0.0900772799268023,0.16637354488671932,-0.14443664892315702,-0.018247584235500956,-0.0760799885883171,0.09439269897702574,0.09208605529090656,0.020637301514925804,0.06542936264376936,0.078840705720839,-0.06766713383422347,0.06308942105394824,-0.09987149346943248
HEBP1,-0.013765679985916612,0.012537772719006232,0.026171631599956974,-0.007384321467057215,-0.006622366329852996,0.029543452603556484,0.07517689437762418,-0.03571227894815265,0.008963978528210218,-0.0013834036676658003,-0.015147777093847178,0.028995196266971068,0.04443519226570032,0.046041686251531815,-0.03484312968319951,0.0056759583526156485,-0.04477368317816535,0.035017059000069094,-0.013696438249677803,-0.005117378160286084
WNT7B,0.22411976703569433,-0.026811459347472328,-0.021190677047253068,0.0399782036260969,0.06266512993132954,-0.03159962886794611,-0.051699781649067134,,0.13075263219062794,0.04116147526827537,0.035296951954773996,-0.03139837175171816,-0.03852445610527533,0.014483299786156032,-0.019023914390747184,0.061972864335637035,-0.0316419452612537,0.051240119066998685,-0.00700947638927169,0.03659936930045708
PTMA,-0.057302571566339645,-0.010792690374049748,-0.06414220210228745,-0.0914064374825641,-0.007729873771279174,0.05576057744922463,0.08186947763834361,-0.13136111624455316,-0.2163601942620609,-0.004818340046007685,-0.0198806876944604,-0.060215862473608175,-0.11420724068336079,0.05037390928904532,0.07739693939939095,0.01767326820335418,-0.06964803680314573,0.13781664627851914,-0.035857669502136494,-0.04070770842292528
FASLG,,,,,,,,,,,,,,,,,,0.012905977143473054,,
