,UKF248,UKF259,UKF266,UKF304,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,0.019774790334618167,,-0.018807322013991653,
BMP1,0.019735239973374768,-0.012963691796762652,-0.024814206236777363,0.016567459433520663,0.061403521346401216,0.05076595604713457,0.03646075745492945,-0.05469054102891101,0.027585431100676967,0.07953050613121769,0.0982926173402397,0.07088867777273603,0.013453552482098199
NDP,0.033527221484497265,-0.015407395287482091,-0.01739572406090132,0.03321397250180814,0.06270535483040163,0.07842120531663199,-0.010578125821192112,0.026549184693811317,0.05535644900435602,0.04695918044508615,-0.027751719852013152,-0.01904726084803981,-0.07614353646209795
TNFSF18,0.012588863324178442,,-0.01626493887633157,,,,-0.06206793052583781,,,0.081893107689139,,0.020564013275250446,-0.045962105947052946
RTN4,-0.022934077631719407,0.0014063013762794264,0.01643874548969645,0.0520139143210966,-0.02288779116279026,-0.0075511887434633876,0.06471633279748949,0.01446136369539149,-0.05913048418502379,-0.016225385009715883,-0.01018628463588371,-0.0185631763897633,-0.03532648398291393
HEBP1,0.002672191945192779,-0.017094597653940457,-0.009790997757971235,-0.06311129643361438,-0.031702473433806895,0.016994920324479076,0.05144322984446345,0.07694709788217331,0.005279994939170477,0.006671356318117644,-0.05710155375637465,-0.006640634628773658,0.013201217622571657
WNT7B,0.004639485685849305,-0.02174776956862682,0.0008980519481371017,,0.065219901067373,0.009073673747713331,,-0.05047999947183751,0.02642479896598749,0.004347642168110088,-0.020366673885378588,0.09107325886100451,0.056798676877001096
PTMA,-0.002885315758935025,-0.027112858298965925,0.03182160831366436,-0.06694950932251266,0.0789396835966867,-0.12456149925143448,-0.028534150371929527,-0.032302936201980305,-0.06603825981683077,-0.09624050159541261,-0.04718172737458569,0.02222953740423044,-0.022965405024497686
FASLG,,,,,,,,,,,,0.03395058540615159,
CEACAM1,-0.025281869646312162,0.08371574227587258,,,,-0.02196602668369676,0.06457718249112379,0.07408296369164043,0.04290446880983447,-0.03457308901944844,-0.01351765766452986,-0.022695173353810744,
PDAP1,-0.01147418440069861,-0.00015853659730666303,0.018345790713331967,0.032508753196229104,0.05207127739200565,-0.014092635759111377,-0.020061758991807798,-0.027826291979886026,-0.011336906611625383,0.04347100281363243,0.0265233275229626,0.002334991648214037,-0.004382699597126322
QDPR,-0.0180213439460943,0.03670615931799554,-0.05202736282064719,-0.02980638632546125,0.04067898481899311,0.0782952300107178,-0.020325057139286756,0.06537187711315043,-0.01759675378453457,-0.07893000691749759,-0.05441954692827073,-0.004392032989934491,-0.050016357610004905
POMC,-0.024799876065168935,-0.023385721968423763,-0.0029145714775301416,-0.04091789730801517,-0.022595481671890558,0.009274203019458952,0.05112102468716342,0.04620627977736127,0.06297089612110121,-0.0033512633758163842,-0.02211311218353496,-0.013105067974633105,-0.01227500514148557
CCL18,-0.02015843259837839,,,-0.037539751549727114,0.04133724967301711,-0.05017143743492492,,0.02615327252055071,-0.021471092977728333,,-0.012549985963312422,,
CCL17,,-0.014555480165642011,,,,,,-0.025964808737988,0.05410050075771947,0.0036091139127524476,,0.09666207226548304,
VEGFD,0.02550214255494234,-0.016216412262131222,,0.03614548588374177,-0.015266420804920695,0.021092747351646762,0.11319499677867365,,0.028223547707392296,-0.016017985878459897,,,
TNFSF13,0.07591690849300602,-0.010040044456994537,0.07969459453689684,,,,,0.06059486564993507,-0.020045122561478942,-0.03298689379005172,-0.015179423569579693,-0.024090302238893448,0.016092789254062108
WNT5A,0.06265186470359371,-0.018136698307917677,-0.0011510458806131395,0.035495975675239426,-0.009526690656456971,-0.04813400581214305,-0.07742787243378019,0.02648502827342142,0.008824853919912666,0.018748224285451396,-0.03906615699132865,0.02649666121307841,0.05185071445426054
CXCL8,-0.0237405619351608,-0.00897203098575411,-0.022436919598299798,-0.04303570135946062,-0.050255201415913456,-0.00870007482524933,0.08790298656674356,-0.10144091918283683,-0.04716654452082494,0.0491978687871577,0.019436187989306256,0.0014703384981035214,0.05206987362306405
GRN,0.05564708510713656,0.04383669490816958,-0.027140980831454154,-0.0696586297225986,-0.009122554680054228,-0.03412452446926547,0.017272923827043644,-0.007317766334818564,-0.03460302753898176,0.03598573004882042,-0.03315340533530988,0.11322332441020495,-0.05028336579937206
MIA,-0.022732556270760658,0.06761091462379311,-0.015549811685848413,,-0.020704009268537018,0.09811316032441511,0.005903394625047106,0.11107042523264281,0.10018574270763862,-0.015182727788706829,-0.0604590223615827,-0.049944125599050815,0.026969343841650024
COL4A4,0.024960708418816195,-0.03508067288374039,-0.015007881282144876,,,,-0.024838120842373818,0.03036982231682618,-0.013895896677675594,0.02934898547473157,0.027950453088669166,0.08461419852608124,0.06641970415625922
TAC1,-0.009142722885998973,0.008408348721206828,0.0023601650037918735,0.027615828216437734,,,,,,,0.03929068797435584,0.06550992436143745,-0.015969781249752856
RARRES2,-0.008983441038742556,0.05645336167518331,0.01653432766219429,-0.0007955479223988512,-0.04332053703031242,0.02920273544998794,0.09433488126235978,-0.034852579879681156,0.0013194961321468912,0.007544737852572319,-0.03997637968299804,-0.007218783730863015,0.058249288549306416
FGF7,,-0.025800939092600658,-0.024145966511854154,-0.0027186834588238907,-0.033262623133828086,0.04236415629849944,0.07087594360497473,-0.005166798123459246,-0.0237548115695889,-0.03626748817674315,-0.010834978029560483,-0.02022040394809958,0.04185107594346356
EFNA2,,,,,,,,,0.06631570143929819,,,,
HBEGF,0.07288359097853422,0.011335282292517092,0.01872653716705797,0.04718522850662768,0.10517069896130339,0.046027827335666266,-0.01024183309028183,0.04104078167426453,-0.001312149527452825,-0.00640450070958216,0.04728064255300982,0.10300066118200298,0.0814968402784003
CSF3,,0.03298542670769701,,,0.04771343770497707,,,-0.04784956995529002,-0.0060160456238759815,,0.018440225836280674,-0.015565922752118823,0.15735574241685468
PI3,-0.011328941142801446,-0.020476217159758444,,,,-0.03689637847588255,,-0.05115330939031651,-0.06194764863244726,0.18807172117202586,-0.019230949705321708,-0.03381957886948102,0.017266936533651706
PCSK1N,0.008573475202920938,-0.025333949810141056,-0.011014464772414518,0.08700273741853383,-0.012675632355377324,-0.03135911039488152,0.12021966309647789,0.07350336951852367,-0.0032659483668522143,0.06904372579340182,-0.014381104510156228,-0.076765472202509,-0.08291891902800425
NTS,,,-0.018321213132140756,-0.01700379158372161,,,,0.06631854396154717,0.029723843167642736,,-0.0029828979252209745,0.04807253665855363,
SFRP1,0.004775616260736531,-0.012700219066092347,0.015576328935680828,-0.00873037635076179,0.035311728842247814,-0.015812155011706706,0.02826801007143743,0.11703116604601296,-0.02944351905051961,-0.0387243095108817,0.035729434729428404,0.06932015598517802,-0.03388907431353847
CXCL13,,,,,-0.024735646277592296,,,-0.02073044705311677,0.043380441570854585,,-0.03161184845612294,,0.05950431541335148
MICA,-0.0022759980735322653,0.04835957064393232,-0.038887375819338606,0.03675879328535592,0.06727099449105957,0.0892568779619754,0.010762121371947504,0.051105593233591984,0.016911742560766108,-0.020525326532608308,-0.008589696211855756,0.12221747851029546,0.09085131013225796
TG,-0.014400058867009954,0.07123991746765372,0.033373098585651975,,0.01451428972301146,0.007085653221665025,0.05333213787430427,0.031077491828128072,0.005823185809845086,,0.02977650482290811,-0.0303565184477765,0.06321718087567782
ADA,0.10948807138094763,-0.010951670664179302,-0.041313737428025216,-0.04350920188754451,0.01796930519135017,-0.03610655687346652,0.15745225232267257,-0.024374568825162514,0.025527069824782356,-0.06921910840266014,-0.020221887090701118,0.10458986621482091,0.04649385265320979
LAMC3,0.09715832546873253,-0.01550869270057239,-0.03174145641447495,0.008220949698778467,0.03370997967451,-0.003738833901371325,-0.10007033907034531,0.0023479153968176975,0.007748720670368843,0.00030579253504449806,0.037458775208625165,0.02362182710575802,0.005240093950718265
