,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.05591821963893497,,,,,,,,,0.025171225252498968,-0.015483876447300829,
BMP1,-0.048352188508240856,-0.022480666720626197,-0.03997163820329429,0.06286767992563849,0.08307625173481184,0.07943683373147112,0.43323245513734593,-0.09083305559621223,0.04626958409007577,0.04787604235986888,0.10695746595818431,0.09580228646196484,-0.04437059986117766,0.12458671678722129,-0.04129230834971524,0.06559929697784787,-0.07320054245719222,0.0660869170815342
NDP,0.04175036000766208,0.045319355220737,-0.05093897243532312,-0.010255656513674731,0.055427593017900234,0.04313732964371901,0.11305674372570125,0.009668292727724707,0.06945966909638425,0.057522944975645335,0.08008616256347603,0.10396467038095768,0.29379135298664566,0.1464210936637078,0.023889604694639924,0.00865650258706963,0.2456294561299884,0.1265360806443984
TNFSF18,-0.028871929485666137,0.004629300259471887,-0.0020245145244636342,-0.04558292239838874,,,0.0984687630635089,-0.0006815888583225493,,,-0.027738313182040692,,-0.07999078626229618,,,0.022737661235086786,0.011903909500969563,-0.0035002747522201055
RTN4,0.0008623575284453452,-0.12087179930202617,0.06348679900141135,0.046119812782173544,-0.038867390300667846,0.012921877062316593,-0.5285504518667796,0.11393868135996756,-0.29412496963898704,-0.12361704110045607,0.030718212920432704,-0.018149677536247053,0.1545929238951716,-0.189995976468107,-0.027114184284227526,-0.10710778010943842,-0.13995658932302585,-0.0978629522482213
HEBP1,-0.05456562495433807,-0.004527359036963,0.05913457808343482,0.025506235372088217,-0.030592979869878512,0.06633789052357751,0.25295407647670004,0.04781678477386474,0.13518309249254182,0.09516936768900053,0.0012961411958227452,0.03850986145357595,-0.025062764521307377,-0.046408958699641845,0.05072406871075093,0.04336618550891147,0.1882869394346909,0.10854979073184458
WNT7B,-0.02543526558289383,-0.036196157196600576,-0.02444174613885749,0.01709547628770822,-0.03259683378559494,-0.09851223738343465,-0.18219846224958083,-0.088469844736934,-0.1291546568550088,,0.21357704024267693,0.15339739060881696,,-0.03103584731297827,0.012081278179697888,-0.00115430391043695,-0.06474903790566691,0.1327324427512186
PTMA,-0.04851320543346727,-0.012931426343211606,-0.09459023243445364,0.025005513398011905,-0.014839464997480614,0.08880111730151763,-0.23918528265553649,0.08744592791500057,0.2470280152009849,0.15750472760283976,0.09076290680448817,-0.0745493385320331,-0.2175862026350462,-0.38634263383966355,-0.05016623651329822,-0.05898929411278407,-0.2128176414874983,-0.11940662992814736
FASLG,0.011360996300876452,,,,,,,,,,,,,,,,0.021860027022863538,
CEACAM1,0.019090951362763304,,-0.017746284046111137,0.008933112470930512,0.08291156693561955,0.01830524629422349,0.13011832282073343,0.05704944777077284,,,,0.019061807032733597,-0.00018485332059843304,0.052257596812726174,0.0070141671474958315,-0.0006040667905851897,0.008335937115123964,
PDAP1,0.02438160349049343,0.02268478912338878,-0.03735144251578173,0.0077758703668057115,0.07073174027782222,0.01579879443740412,0.3480527447145326,0.016466071295729048,0.03556178149155775,0.025763110192337898,0.05155761117161274,-0.09286922071317265,-0.0772153115597827,0.12342171656925241,-0.025831386772670717,0.002175754787886879,0.10202533563001072,0.03782172120853242
QDPR,-0.04094088885587489,-0.005612563346751426,-0.027038284496868292,0.02041537514420257,-0.05233916901704575,-0.08707399115098298,-0.3804162811080322,0.11471184895869324,-0.010644000480362585,0.08041933982908807,0.03841825918384738,0.00996957105270147,-0.016124261428157368,-0.39409891340417164,0.036185422893508505,-0.04934520535829876,0.10229791795737453,0.004261260344585594
POMC,-0.05367888713873181,-0.003436623890869569,0.01370611281192382,-0.013550845494878198,-0.018476411847532452,-0.00945107542390141,0.03514798034753276,-0.012742323753055878,-0.0025907682756789972,-0.03253975940370847,0.09353577376635049,-0.05668903913168992,-0.07758899307019755,-0.042484394809739666,0.05801944294012584,0.007000455836206967,-0.00423266681237046,0.03911919546046066
CCL18,,0.026175956864664555,-0.022145685749162758,,,,,,,0.05635563853594371,,0.025231661925156783,,-0.14733281529457548,0.03664134550938318,,,
CCL17,,,,,0.007454760775822814,,,0.043251749985633504,-0.0504412479162742,,,,,,-0.012517675560699139,0.04369473875205194,0.045295115913604515,
VEGFD,,-0.03504568073796481,-0.02214569278145522,-0.031123618957200318,0.018750418887296456,0.004438145120163019,0.1299566856299313,-0.027249612820578185,-0.0006760979068220079,-0.024759518177654944,,-0.010747203391449089,-0.011001710145846747,,,-0.012361233380104532,,
TNFSF13,,,-0.016711850423998913,,0.004275789395236351,,,,,,,,,,-0.02401953921726683,0.051362870300074484,-0.012727661805482475,0.09435726358358705
