,UKF248,UKF251,UKF255,UKF259,UKF260,UKF296,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,-0.027293821924635756,
BMP1,0.05866510375863891,0.005930126757777857,0.10117589890545382,-0.04196253815587033,0.07023152725471822,0.02523668027423716,0.10589866918428782,-0.0808538340543707,0.11460952344212219,0.03636221919645237,0.05085003415894907,0.05829771747791278,0.03436624248106879,0.016066351365925997,0.0672266899343742,0.11189371624094802
NDP,-0.029459105311943738,-0.037093932008540074,0.06517367258428398,-0.015381021083083287,-0.05222266588726045,0.047430933656639,0.05688067460524917,-0.043707300457997186,0.12996720923222557,-0.1483686277293876,-0.1160697131615296,0.07659389820724723,0.12386322698025222,-0.019429829570572568,-0.028872486984073086,0.005042332416231986
TNFSF18,0.008787803376520327,-0.024548854463780558,,,,,,,0.0508420182244062,,-0.0056379398563695384,,,,0.07152930831956396,0.06010698495495263
RTN4,-0.005770723709345639,0.06559622968113804,0.10346046176260307,-0.02424305802671234,-0.09056662194814272,-0.02987718490854745,-0.1053538248201606,-0.0007421889072922711,0.06108836995823846,-0.0555213396872309,-0.023921381792428413,-0.06490820051752505,-0.08755343253877491,0.019816971594798283,-0.028315486337652233,-0.03708830408325924
HEBP1,0.0034567846405562696,-0.02835680808691549,0.051902043636929004,0.04528187385285084,-0.005278018902604144,0.024152376108708018,0.12753932740380183,-0.06543390580028328,0.010545709456277974,0.1070438866513971,-0.024579461381455135,-0.0007050595745699619,0.05531451820256427,0.051248773851472744,-0.0047020512125674685,-0.005104128430869622
WNT7B,-0.03517689430720435,0.06939932554444407,0.03339634219930972,0.03657150134454268,-0.0566585079613713,-0.02969915473422835,,-0.05152379715331074,0.04658294313385836,0.02790540979878546,,0.0032506671220170146,0.054909667311467535,-0.025623808156258077,-0.05825636218790756,0.12673964116593922
PTMA,0.04481199087629798,0.05859600836665062,-0.0028725985090841837,0.044805401250701926,5.120245713619337e-05,0.04158033352810863,0.08514933386361741,-0.00288453815213416,-0.03640488852983035,-0.022435969257016058,-0.008874509606871332,-0.13063810305688714,-0.06487775015207561,0.004979968366781892,0.047695524644983694,0.09132427873992228
FASLG,,,,,,,,,,,,,,,-0.02367192244381469,
CEACAM1,-0.021302257605526072,-0.011702680671526716,,0.005294092642438329,0.019020892517763614,,,,,-0.024833023280398034,0.11170056582099662,-0.005973309933055559,-0.032967546370258685,-0.017006894138298624,0.11023845978543152,
