,UKF243,UKF248,UKF260,UKF266,UKF269,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,-0.012843352563483677,,,,,,,0.05411990990966212,,,-0.02405868086704599,
BMP1,0.0017252654064384074,-0.00933821455153462,-0.06750998181345264,-0.012375492554824147,-0.003676504190574515,0.00242175528647071,0.03333830744373341,0.033554054758773676,0.03875440338916711,0.05535633458028831,0.0018894218979875245,0.010689340651819099,-0.01241050570440527,0.032554319316373766,0.07103767623591492,0.013180117133727784
NDP,-0.036043347417609437,-0.07223281567086602,0.0481014037543957,0.046664806303066665,-0.014784629165999284,0.09411830245988448,-0.03713698334560365,0.015417337856086859,0.03971954301833807,0.08567353093783543,-0.024167778911245982,0.010546385372223254,-0.015624982321182502,-0.017785642899129286,0.02436799541755329,0.020595649533009946
TNFSF18,-0.02072417302803805,-0.016885177849391968,,-0.012582395920943916,0.0015997463232781985,,,,-0.034231335704114116,,,0.056900672984448,,-0.035050547774169626,0.014394317345534237,0.04332522585531995
IL36G,,,,,,,,0.06112298740864418,,,,,,,,
RTN4,0.007738637250555346,0.01677577374411096,0.0047970557094882136,-0.04944315656259179,-0.01913366841562474,-0.01878378523402818,0.020647989409538214,-0.06765238266063274,0.028020920507592164,-0.11121172647049718,0.02920166949888318,-0.0001328354082927701,0.06631153221029794,-0.03332367403943224,0.018239504133154377,-0.06435669704069064
HEBP1,-0.014396768372456637,0.041780520535482896,0.02844866601652655,0.06630320905651864,0.05486289694923677,0.08108549642884647,0.024997933728004677,0.016089241742331464,0.022860496563287796,0.10659612877380195,-0.05059220291428161,0.04758119738786286,0.041329547460548816,0.10593104520486021,0.041689218372587135,-0.014023013710176918
WNT7B,0.13186483630395127,-0.04266744610595809,0.024345383148190326,-0.02825579708966114,0.027622237313529696,,0.04885823705761104,-0.01918663948528177,-0.03768535944667807,-0.0969902682814697,-0.009571285951151177,0.07984270087896,0.08904021241108055,-0.035050511429384576,-0.01700245312509425,-0.020618096079649068
PTMA,-0.004916397175150976,-0.026777819110911993,-0.048834969746193946,0.10021444748750866,-0.0195535331346192,0.05490400902434915,0.0033265245578719435,0.08289283319755593,0.06990275872181102,-0.03617598490051077,0.021517650471646235,-0.021103202998775893,-0.03670421548290037,0.0773619830985877,0.0035911506570831253,-0.03245857087704445
FASLG,,,,,,,,,,,,,,,-0.03160830720533654,
CEACAM1,,-0.018350454707352692,-0.016402713728321607,,0.03570748558009761,,,,,-0.07303610422567443,-0.02633719945570313,0.04373750944413746,-0.0237135048084845,,-0.005728039941879192,
PDAP1,-0.03687697030399541,0.009752633824570025,-0.028131950303067785,0.02516824217978948,0.06987536059449989,0.019048321939530776,-0.033147364501279225,-0.024780018782333282,-0.0527684605629079,-0.08885137260394253,0.012777840098732963,0.05582606361776604,0.024402264085485,0.10774621107684403,-0.008355944556164847,-0.03278996888356948
