,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.00482574073857333,,,,,,,,,,-0.015714769415515275,,
BMP1,0.04521179426689438,-0.03507652101205318,-0.0681418465524635,-0.031120366104845157,-0.0732580043443428,-0.027718379579712304,-0.15088626597959465,-0.1203277829630459,0.09958449098240608,-0.1535205500427379,-0.029333151522605568,-0.19652531099649867,-0.0437111483831039,-0.016805549155281315,-0.06365937277326919,-0.05769999733838582,-0.0012311909087212964,-0.06102103616935812,-0.0903751866172232
NDP,-0.025995492986458736,0.004197832555545241,0.037100388268212506,0.01437771817225648,0.05741437899784577,0.04076335106184034,-0.02563275301544183,0.08222525417610005,0.011384488967359368,-0.05292297237730452,0.015632819557776442,-0.02898700632715956,0.04375170512184724,0.0327674051191617,0.05510423417353379,-0.07598108865348625,-0.04718224416052224,0.04090635964814384,-0.017981853989365276
TNFSF18,0.013664540045087731,0.04672184794353635,0.0019076249214505605,,,0.039103917047101505,-0.03255999888176294,-0.024972369164240116,,,,,,,,0.03281107844259052,-0.026508006491592736,-0.060983125619949376,
IL36G,,,,,,,,,,,,-0.0297220306802103,,,,,,,
RTN4,-0.09945187328728275,0.007246542053352269,0.09140860962157533,0.0034201583035500826,0.03336419398062069,0.11827254758211336,0.1497285441782676,0.07468988799918695,-0.01447808684426472,0.3705551416731256,-0.011079735842912384,0.2470461890311631,-0.0339982238764185,0.02589953718614729,-0.046652218732265174,0.08785162547133246,-0.035366483759329596,0.27414305459292293,-0.011142288823783287
HEBP1,0.06709131759646014,0.009248276801318822,0.03047848628791485,0.03798021456401956,0.026467208195377307,-0.006217209446312831,-0.08202058905027611,0.0023885161607348627,0.010206362841680007,-0.1204722277879297,0.03586630081087762,-0.025700051441931736,0.06634217161784431,0.07417245091344137,-0.014870004322745751,-0.05999972903052415,0.019848927594860608,0.03735967324262418,-0.04911298427844369
WNT7B,-0.0395827514259591,0.0003273045308916332,-0.024526050723061767,-0.020744125844494997,-0.043287227219081195,-0.08509036511804975,-0.015711393698514927,-0.04113398698270166,-0.04163374844181866,,-0.0285590101357855,0.18112731877563412,-0.03479343691932229,0.0011156837924566362,-0.04120823118109824,0.06487064271723449,-0.008663816184886295,0.06258777127735067,0.06586599157354088
PTMA,0.004326971524414026,-0.08991962265350424,0.02917023812953164,-0.02087522938229916,-0.07547862185882732,-0.10210120569871957,0.06075125282389523,0.09826482894761716,-0.01731750093503166,-0.46242365906862704,-0.03650886746092541,-0.2683903136116717,-0.022670182513999784,-0.02042295876856217,-0.09552015487553542,-0.12779394756570164,0.024612373925927536,-0.13303509538536135,-0.14034372836166858
FASLG,0.012076676926027003,,,,,,,,,,,,,,,,-0.013629414152905342,,
CEACAM1,0.08486433129953574,0.014006573178882965,0.13383872375571038,-0.04318215084013628,-0.014777314469532043,,-0.024864301442996117,-0.01880603528812407,,,,,0.04781929698255181,0.0001064730127870101,0.114056200038376,,0.13881084970756621,,
PDAP1,0.062154274056431195,-0.050374299773184424,-0.0118100992760264,0.03943849854652709,-0.05699444152236811,-0.06894599207342107,-0.13444197191391608,-0.014449354254243563,0.07031717375813329,-0.027013904356472693,-0.016415781906748115,-0.10884364896716492,-0.022087257661277192,-0.056560171240201094,0.007875355781052118,-0.010459737257103922,-0.00491731140765025,-0.04070895000006724,0.0787223109938795
QDPR,-0.1298859480620882,0.024863567547762394,0.05505030560657504,-0.04078257248539521,0.08252260314544706,0.1781482411307472,0.14289662560248648,0.11007871434409142,0.07466951852537046,-0.35074556560796083,0.010550582016973932,0.04786005684403009,0.03609120411527789,0.09836928683534754,0.10321906539711578,-0.10804248244687262,-0.004505285284032327,0.30764246653235916,-0.030781669416601366
POMC,0.010603732443153402,0.03318675000549451,-0.023962814946713852,-0.009516713774303933,-0.017359212844264393,0.05754413799217265,0.005206432350423974,0.005622281628472804,0.012367050393770613,-0.04574165574191872,-0.012338406604640516,0.054676611763389504,0.07669801463526099,-0.020205897621281048,-0.027488850138881374,,-0.002516713461063674,0.09907405455767208,-0.076013553283433
CCL18,,0.01892975301649419,,,,,,,,-0.15796092728261407,0.011259361351977349,,-0.011527394797743735,-0.00518406479021031,-0.008384299433127252,,,,
CCL17,,,,-0.000743980495154339,,,,0.039785542561227016,-0.027341756403318245,,,-0.027151918834537023,-0.020708958112780174,-0.0011831379623500856,,,-0.01235353307900491,,
VEGFD,,0.004189893577696627,-0.014666728498290154,0.08577953041074714,-0.014138097820114827,,0.00408501728759662,0.004164096442241064,0.003409782902427531,0.04243962511777769,0.06677615730718689,-0.029099552400499083,,-0.020089995112492216,,,,,
TNFSF13,,-0.02995106385438803,,0.032174196332254726,,-0.03732072172411657,,,,,,,-0.028371973851061227,-0.0315232793839295,-0.030712781044729926,,-0.020129051044728393,0.02862265351970626,
WNT5A,0.07438601178722831,-0.06114765005622351,-0.010495885276867165,-0.018728250171173712,0.005011896853113719,-0.08876010907333977,-0.14142228524975473,0.044080496512166875,0.018886224927612827,0.05283846303642751,0.042984598437383476,-0.06488117351320676,-0.01406809715240391,0.05633071018211914,-0.022115904886345353,-0.01050209022138133,-0.011376988816062828,-0.1683121881640144,-0.020075534913126553
CXCL8,,-0.012518194671260816,-0.025242925550033893,-0.029160997470878684,-0.08146713496472244,-0.04448499871030338,-0.05338551035806739,-0.0418607183997437,0.006668099026113002,-0.1665755778953737,0.05848425652809305,-0.0715983821819707,-0.07476888044500887,-0.09393875474992337,0.008989515882455551,-0.004284397710983369,0.030001026409587433,-0.17774710649402153,-0.04907210695771224
GRN,-0.09566390733702652,-0.030754605230895456,-0.06815882370223197,0.01224933322467788,-0.05941674683078252,-0.10700690328507902,-0.1541967964823122,-0.028196130842627825,0.037088742832597645,-0.29267807302702786,-0.02635141905815732,0.011551760996451858,-0.032833536457492866,0.0017568848649740633,-0.025037579091675494,0.013384388788590388,0.004785478190323498,0.09935564313893276,-0.12794807791443139
MIA,0.03641255487513447,0.030358223027519542,0.028943116488854524,0.005856289647091973,-0.02270325467220232,0.003216208265039944,-0.06263469509906333,-0.06075960736117494,-0.0206967268675205,,-0.008297925042685193,0.023811612015331128,0.15982662779994528,0.012126458231836416,0.030767494084566863,,0.0017193693167437075,-0.09863053097140377,
COL4A4,0.021802505557964903,-0.02539880753021691,0.043700537149476124,0.03171144830878247,0.009726663941893017,0.015955375827204223,-0.02160680860659128,-0.03643207970666034,0.04199260246631591,,,-0.038659053973452165,0.036064218920051516,0.020629338167380197,-0.02570885027355912,,0.009402434546618153,-0.09299911862695759,
TAC1,0.04941357085688503,0.05098407817433698,0.08755105592335886,0.04144681632901532,0.15432902391232564,0.23561165300460418,0.12431010201771307,0.17856088006563917,0.033515300147192485,0.27888398623215943,,0.25974855628551624,,,0.11459373569609553,0.11615830993005498,-0.016239975392467312,0.06058719855570316,0.07143167299691408
RARRES2,0.10549057898185975,0.016792122140457607,0.012274904541158404,9.692160223288515e-05,-0.08641378567306549,-0.09078810020327956,-0.14809059217959047,0.11656970783577357,-0.006685546559810085,-0.09097059816935961,-0.07114043548873106,-0.10033372581844532,-0.07468688861868236,-0.05758106238595729,0.0298795073096362,-0.011796970859378683,0.01795198153711057,-0.019752544561508552,-0.005315121829475305
FGF7,-0.07570132975173742,,-0.020006009475522286,0.08178728176862861,0.025575122829767268,-0.0038346343451862806,-0.00989067872647062,-0.030653470123316758,0.008654640977538916,0.048004670821771185,-0.0005589430278821607,0.012286202211216879,0.003956311197853334,0.09532084608217778,-0.0603995832711292,0.16217277117833911,0.006083099494458856,0.016277138924280343,0.06366227084495073
EFNA2,,,,,,,,,,,,,,-0.01909419587013044,,,,,
