,MGH258,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.01244340980498677,,,,,,,-0.03735235054804506,,
BMP1,0.046135565321777365,0.061545701303087424,-0.027691729773112253,-0.09586707106995146,0.06978055937418405,-0.10214866205325904,-0.030015237393039254,0.040865861462434774,0.0044682839872267665,-0.05665964051055019,0.04548868403272901,0.028523290953641908,-0.021142424022968353,-0.06021637852581194,-0.062328041995347805
NDP,-0.00016978432831892074,0.02665978652314311,0.10239218907957524,0.008014268266661692,-0.03582322694012787,0.032515834845804496,0.03516008206000526,0.030292890440746408,0.014990453091700228,-0.03719767101512635,0.09125028345466353,0.09181551298500855,0.007247120271254626,-0.057233089416101064,0.04046277772245942
TNFSF18,-0.021911206550110234,-0.02316405815947798,0.014051234232639664,,0.04728159758280913,-0.018478089999006294,-0.019157322033087513,,,,-0.05399954673729697,,-0.024754026132598507,-0.03593494543080391,
IL36G,,,,,,,,,,-0.016974021801865573,,,,,
RTN4,0.010108080645934908,0.02658046486167195,-0.04591893763163165,0.005583657983863679,-0.12754078077235162,0.11159528063912906,0.0958037420463608,0.012235407243573483,0.0220647983212078,0.09917310373305616,0.14290345197989707,-0.04654899762556591,-0.025555445583281784,-0.0037157684354123363,0.06969997148970171
HEBP1,0.0019045655058316734,-0.03641467241866345,-0.07973528179828047,-0.034134801073467225,0.03760671004243667,-0.02719683913402067,-0.006688217245547538,0.0429714259285887,0.010835586044704843,-0.06725108669477095,-0.055746783912042304,-0.02161213090410588,0.012360651187112832,-0.025273622886474886,0.07700764552094111
WNT7B,-0.019303086692573995,0.10044489017973,0.03641469697600267,0.009341273240158458,0.028286415826700814,0.11642524707061441,-0.023873018331596104,-0.022910683769583384,,-0.00011189273504887537,,-0.030290347157437586,0.025988079850387154,-0.0015844398911794325,0.04652870888416762
PTMA,-0.002720464579296904,-0.0768799087858023,-0.04194095915199849,0.001108299229718157,0.10148210558112013,0.06784296365345256,-0.013661635340368057,-0.028556385615591595,0.01018571151263495,-0.10150112030686223,-0.07642164315020897,-0.15616223020846823,-0.019677925756101236,-0.07542830770181286,0.07272111075037316
FASLG,-0.019303092149507154,,,,,,,,,,,,,,
CEACAM1,-0.02680251238421532,,0.0032295544301231905,0.014888674196919159,,-0.02431611400537922,-0.021047082878105097,,,,0.016091263616015157,0.04864221227337709,-0.016987344212631494,,
PDAP1,0.008093672695618592,0.024453709464149233,-0.02364898533355331,-0.03925775215564463,0.0637614392279231,-0.045984962379823295,-0.06494176025441796,-0.02794436640717442,0.014885879125550425,-0.0563212331585177,-0.029346339921918815,0.010049630079713521,-0.016833787306624864,-0.07814528684919768,0.08108324524018397
QDPR,-0.032581017558295365,0.17095892406560947,-0.0051449541366686965,-0.0011665806310343183,-0.08483343350915658,0.03154107161114384,0.01616007533634879,-0.08036294894348375,0.11179919838906101,0.0789403680223875,-0.03059754809982157,-0.06423872567964006,-0.03515060649444846,-0.004948945824701751,0.028880315757405794
POMC,-0.06257922228602576,0.10011978918603458,-0.005272726752691322,-0.015447610326424235,-0.011513345764267331,0.051511724113019124,0.02729137054328283,0.012836115404818427,-0.021310622885971797,0.022532505147104316,0.05616888539677434,0.08905879704455262,-0.003400305443789657,0.03085876931781421,-0.04409835221793987
CCL18,,-0.04738532560358842,-0.02136672189489457,,,,,,0.023906554982112093,,,-0.029210122894305274,,,
CCL17,,,,-0.03637345256994313,,,0.047417875928079424,0.021584361842679898,,-0.01550625080831977,,,-0.0021767985981852246,,
VEGFD,,-0.0034141391380367,0.0441883861069591,-0.0027480566935756748,,-0.020846049290444105,-0.025455875131759637,0.03403392800645465,-0.003908355195999547,-0.016618529271604475,0.08567333642927939,,0.040931539671402666,,
TNFSF13,,,0.06755990798057428,0.021432366829121353,-0.016719568432711964,,,,,,,,0.025348890482872526,0.014456502357478295,
WNT5A,-0.035618924093140936,0.017351553398414845,-0.016101622171058656,0.02485162712390849,0.0890831341802466,-0.095418795525285,0.013064293723287405,0.04880596909819459,-0.09385363210527715,-0.028712155692938883,0.09004677270094161,0.13411352129233575,0.07033336082186031,0.003506936612561155,-0.020474320399637626
CXCL8,,-0.12467311984455685,0.005034994691348243,-0.032872726043984064,0.03944161016280634,-0.006581515021351796,-0.04174959450331899,-0.019370055662098692,0.015025962438389702,-0.04996555867155163,-0.04969416740525664,0.00459095090168975,0.04725526215516992,-0.006173990609459186,-0.10214368518887902
GRN,-0.011730726243083505,0.03149631012263755,-0.046335493892521916,0.02849229937838331,0.055231662018385155,-0.1166486423949964,0.048959950369560155,-0.002422911201935483,0.023795818900419353,-0.04493034784213119,-0.030000735771483926,0.04731491078098736,0.04665331488225298,-0.06302311471254661,0.04045653831324658
MIA,-0.025266082690440193,0.018820469126955307,-0.03321556025982932,-0.019409685639152442,-0.017349482398268123,-0.03554574855188525,-0.0025025157252238847,-0.02365585312415017,,0.023480415581388553,-0.015863891299327644,0.18605672413094762,0.010753133059895328,0.10562704787319364,
COL4A4,-0.0013278240501276785,-0.04015817486597467,0.0012345102251574045,0.03195991977148343,0.07501567185879297,-0.012262056748642006,0.042174396727858894,0.020194821769742795,,-0.022077886670838737,-0.04041989385137349,0.02051293676715387,0.01879546224317187,0.01539931679162812,
TAC1,-0.019303081647488958,0.09445302240994885,0.051401020120760095,-0.02346327571649657,-0.04398999771397681,0.11692531238965996,0.04890675344608887,0.025794151497856316,-0.004969703705613078,0.035523857993460646,,,,0.09967391026550734,0.045939918878509366
RARRES2,-0.0015234643170397811,-0.002815445000661589,-0.022101343585301997,0.021623807184064026,0.08654272169396886,-0.12070352320169193,-0.00816206356294653,-0.07082180769693969,-0.07395760569373504,-0.09418182190053241,0.05253934951763475,0.07154633369608424,-0.09500322844977745,-0.058072696524361686,0.0852419894412229
FGF7,0.0020942531228809623,0.045296174579158154,,-0.029350158155791554,-0.011619474278917777,-0.034944994733571835,0.07416443055165234,-0.007303838464060667,0.023213771210903456,0.018896667723945087,0.06516606600934874,0.03842701012895155,-0.055976626947614364,0.04127515752594927,-0.03373586732110508
HBEGF,-0.02773417727496357,0.10232817022146289,0.011806438114317721,0.02150391598755624,0.05876810360850735,-0.051147912830425996,-0.018971681820934675,-0.02422797876389304,0.011715304777976124,-0.004118202357658477,-0.015381855853820587,0.04488893099043644,0.04612296009591256,-0.031076595337897205,-0.024021400411803326
CSF3,,-0.05525232105701005,,-0.043353983951563604,,-0.012973020024778547,,,,,,,,-0.0459582857197026,
PI3,,-0.08693649773882191,-0.022478692291905727,-0.028126241197174887,,-0.014607791773231443,,,,,,,0.093641148213706,-0.025370683904735094,
PCSK1N,-0.050210822098924815,0.1051488463135339,0.006317144129044327,-0.0032676021717401834,-0.07379435540758124,-0.015139350025676094,0.02002099714864362,-0.024647168577325032,-0.0216102091862354,0.08361223593913368,0.017811891614190743,0.07982833971668918,0.03706523359665514,0.028358539567933,-0.06656559375497231
NTS,,,,,-0.019419968955954856,-0.01594540215273714,-0.028496691617214322,0.01573774230190193,-0.04043158345419284,,,,,,
SFRP1,0.04356732933030215,0.08166734317220119,-0.07636672177605153,-0.031737243331815684,0.05052813574295594,-0.004625344875814903,-0.019690227028220795,-0.028357004287124857,0.004572692622756371,-0.03518974558829787,-0.0328890580606073,0.03272839282814983,0.044934497383187305,-0.0573366617986231,0.044715992971443304
CXCL13,,,,,,,,,,,,,,-0.023076755272988,
MICA,-0.014759764895438938,-0.01893290368269316,0.031813630147667166,0.0005569090275734215,0.008249257635779328,-0.060982461596494286,0.04230126867760143,-0.05914459103490304,-0.014113203408365785,-0.03794810237372845,0.09854761569946652,-0.009737212514202282,0.017213380476254266,0.02728601428912348,-0.03811174484007035
TG,0.06144278957109318,-0.03849637286767875,-0.03364740341590039,0.03232278014258825,0.011319338572547478,-0.015657274500071653,-0.024071203028034262,-0.020521840652194506,,-0.023292576691654972,0.03756472868540187,0.010771929660074378,,0.007185373857700064,
