,UKF248,UKF259,UKF269,UKF275,UKF296,UKF304,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,-0.01569721098885645,,,,0.07304794241478502,,-0.024860488914461815
BMP1,-0.00424376561915392,-0.00608794798773441,0.10914923080180741,-0.03197269550328867,-0.020645563920113165,-0.00030912792617936657,0.06515203231460585,-0.0434913292078246,0.08035799918633173
NDP,0.03568438924223859,0.008749221425511794,0.00397544922565473,-0.020040791608033782,0.05139530201430608,0.003211479176908528,-0.044446270538910856,0.016519036048973625,-0.008825166076660593
TNFSF18,0.12844215063384276,,0.10721380262052106,-0.016195550531795742,,,-0.021770474558251724,,-0.04193520019950703
RTN4,-0.05057050058176061,0.06294567184390747,-0.06861681096283818,0.018880540753937098,0.03738681977184066,-0.010791792145532967,-0.033946227689288795,0.058850867353239,0.06774748011257453
HEBP1,-0.019889361187341383,-0.02209263392333074,0.09151716710918924,-0.007776139243721376,0.035801736089271625,-0.02674506568810468,0.06528116536463227,-0.0024622298398859995,-0.02633555151677734
WNT7B,-0.035118775279243515,-0.024342219594627776,-0.01594215428482084,-0.04642303799342816,-0.010578800718955698,,0.004312996354648148,0.024174454206984504,-0.018971096515785064
PTMA,-0.04094267426297371,-0.05155975865396554,0.00108323920015106,0.07010063081378345,-0.05077234182570555,0.06460986270371442,-0.030399373270572638,0.004352997185945857,0.06613135519134725
FASLG,,,,,,,,,0.037092903219217134
CEACAM1,-0.015103915372367816,-0.028108284824633286,0.019118238660125252,0.01817189876997215,,,-0.03128189907190068,-0.015698624157277786,0.014639493395356964
PDAP1,0.004655457305234298,0.03841081445375726,0.08231068984763301,-0.006219963909275773,-0.04505347952436882,0.07962716909761519,0.02290305126356199,-0.0005122287217318018,-0.014368643830222575
QDPR,0.054889559010382644,0.00519116939204935,-0.04485324689034071,0.023336335911409514,0.007314403749872057,-0.01387206224078681,0.023043085758523985,-0.04707618514315335,-0.029718227206647088
POMC,-0.01491581254298378,0.15700590301911274,-0.020406425165197337,-0.01879203612312782,-0.017783949338339086,0.03210200565046848,0.021997154770367944,0.04635924375986658,-0.014549038051073654
CCL18,0.01779116529273691,,,,,0.08292366545722794,,0.014146981738826201,
CCL17,,0.0187350677782096,,0.0073415068798039496,-0.013093589756463436,,-0.0278324487586025,,-0.019543072128174074
VEGFD,-0.018848265291169772,0.015218026473414959,0.003520965338616977,-0.008953615043165037,-0.00960430643271874,0.005814734801402823,-0.029354642973975675,,
TNFSF13,-0.014223505826002037,-0.011237794576624157,,,,,-0.029846701914759004,-0.01762850276703197,-0.031843804838907835
WNT5A,-0.03115978977209309,0.015171823384599974,0.07200891109478295,-0.02487323700910013,-0.01010199872533124,0.04406031470819447,-0.033563752588282945,0.021443939032468936,0.09079399569710299
CXCL8,0.026193224647940064,-0.014938299205516316,-0.03654688097460627,-0.03463558164981185,-0.008943947759274916,0.001952001331073707,-0.03951601019152049,-0.07134787505434499,-0.029152639360125895
GRN,-0.027334346000175258,0.0026301139059835676,0.06868506501587184,-0.01645601091705832,-0.0005332627182301865,0.039560602995859104,-0.012281669792163512,-0.028127953421243215,0.06648885998336161
MIA,0.04566171792810684,0.03245960980714007,0.0756582411639068,-0.025850455145968045,0.09256759822698069,,-0.03139884237499953,-0.08077966185575551,-0.05467663708779022
COL4A4,-0.02263660628876707,0.05939660132976087,-0.015468436301408888,-0.021088385826714736,-0.0183495628766097,,0.04157517608388778,0.017770007925781588,-0.011318991243305791
TAC1,-0.0011416213100648935,0.060429434129328934,-0.08443848615354764,-0.00387492775795643,-0.04152215213091889,-0.052033546875953435,,0.0704262867705554,0.0064531856949272565
RARRES2,-0.023987164501177022,0.003595312265579022,0.07000455718662024,0.10508412878300435,0.008752170295584623,-0.024885629195629366,0.01171032467811252,-0.0030696354908566065,0.01548256367070286
FGF7,,-0.00848009124071492,0.027202730056518548,0.002482913971566915,-0.03808992173790889,-0.023126437534105017,-0.0311012500174391,0.009507052897383777,0.011096550244965817
HBEGF,0.00328153721350875,-0.002156653207150864,0.027007132254438702,-0.021686283326108554,0.012355003956871835,0.11410746565261078,-0.030821892518515786,-0.012921000596418831,0.0621703325088956
CSF3,,0.010096956983743506,0.07530452723087828,,,,,-0.02250612214057385,-0.020575840076249505
PI3,0.12151216940161626,-0.03351052985898412,0.0026715940395708763,,,,-0.023648204590272087,-0.04445796126333813,-0.003356711378302608
PCSK1N,-0.005794640608211036,-0.018635868890591187,-0.04529331608797828,-0.004853190666206921,0.034896346269575725,-0.021012922891503874,-0.03125261557157766,-0.020456723688855323,-0.029087763257349276
NTS,,,0.059733383437642576,0.021547189194177516,0.054304870017575946,-0.018120716924434174,,-0.0002874664959612144,-0.030470013406321925
SFRP1,0.03383773676182147,-0.014215320813987206,-0.0165780043060932,0.019707637989985295,-0.013093589888326639,0.0063401516182157785,-0.04478151297851619,0.045423972803001034,-0.0008386668134593914
CXCL13,,,,,,,,-0.00517618739540807,
MICA,-0.03064604829382713,0.00830792766525085,0.011283391501954575,0.010530575109362008,0.01832944562525347,0.10175097749280564,-0.003836246190188019,0.044356318776318605,0.04599885551700529
TG,-0.017218597895228192,-0.015340583351892242,0.11651065710339883,-0.020349732824260173,-0.009475774046253063,,,-0.01852288436383707,0.0044271110739122505
ADA,0.05098385183482474,0.03857802331134487,0.027668958480448105,-0.0398426579980072,-0.015389419093370976,0.06552419758537746,0.035966662709814655,-0.022018617522847637,0.04484414193808778
LAMC3,-0.04082320372496436,-0.059621157911675875,0.04300673148415648,-0.00823305198539322,0.06790387510602344,-0.001149770604426066,-0.0241674933129052,-0.023922714720851217,0.030441659023488606
CCL7,0.18392542226057781,-0.0110912172533185,,,,,,,-0.021561485887224643
NGF,-0.020584663882612094,-0.0018968468105517106,,,,-0.01812072885572398,,0.0012395000486234802,0.05678738203811632
TNFSF15,,-0.012350612876057128,,,,,,-0.013975915466853202,0.02639571613776645
HMGB1,-0.032127666289101575,0.029089211897499623,0.023576419814873097,0.08051731297958367,-0.04137210216806974,0.04413359997184015,0.030050698736297836,-0.03891345835254904,-0.05047416822704786
ITGB3BP,0.018461228805282653,0.016632047880842143,0.04803849900952488,0.00628064761292386,-0.04286448101456785,-0.0045068782335348405,-0.025300783355473158,-0.05671197751090749,0.052468030936508654
AANAT,-0.01739433858047239,-0.011237795776012582,-0.014761950581231522,0.011968895147492917,-0.010922876526674511,-0.017036150071051987,-0.03442784619159832,,-0.02281295122961032
