,UKF243,UKF248,UKF255,UKF259,UKF260,UKF296,UKF313,ZH8812bulk
IGFL3,,,,,,,,-0.015863886148708463
BMP1,0.050801710351804856,0.034819975740531514,-0.017848865187857575,-0.012178670786632295,-0.05408956079030598,-0.027655618773635572,0.04124570772732746,0.05572833427299587
NDP,-0.004815038568128799,0.012206204138056068,0.04560516845259023,-0.016230863995837518,0.049026260886222736,-0.022986575716934306,-0.046945588596806476,0.0387712337946034
TNFSF18,-0.0048872089978907116,0.055881965993210526,,,,,,0.10585779999552943
RTN4,0.01586747996501888,-0.05214991270791983,0.041296223901157114,0.017952560853358984,0.006078988196077274,-0.05879745613003439,0.03647814758235677,-0.11323723477718631
HEBP1,-0.0037718828122864203,-0.014970501047422185,-0.023967065509157746,0.035990529120478974,-0.003996771804281354,-0.009585739770037901,0.04779370574142226,-0.008727151690530371
WNT7B,-0.011012118598622866,0.011596192493861946,-0.026383729571919638,0.0496754881148654,0.056405894543896565,-0.010405330283180142,-0.014441804670775828,0.025436596996169254
PTMA,0.07489204688653579,0.06421669508054678,0.038886722067023864,0.0017145847214215626,0.04120360412300392,0.01869203866422233,0.08662508582036084,-0.12060785445055645
CEACAM1,,-0.018743062263176583,,-0.03679410533171256,-0.019762968557709874,,,-0.023507821450775405
PDAP1,-0.04130694186604741,-0.024511712737214548,-0.02523488097163022,-0.028540311760467823,0.025369697988880547,-0.022210547015780256,0.008233217474878929,-0.0016647679497494106
QDPR,-0.050514879488703056,0.005207223723557644,-0.019942021363290912,0.022339611497382568,0.01659004928974147,0.039104665862062536,0.01944371791405798,-0.1148762673197882
POMC,-0.002400517107344025,0.018072917150627955,,0.03070324021075252,0.05459642115826501,-0.005952782109929513,-0.023905543199510406,-0.05084261724945974
CCL18,-0.035740883687404024,0.005891865936114623,,,,,0.05230322468933242,
CCL17,,,,-0.007592751387751266,,-0.012878881985586331,,-0.020915617509385732
VEGFD,-0.010160212999113996,0.04827517718385995,,-0.010812393329285732,0.09785943786440479,-0.009446815686227945,-0.016151551330191256,-0.02205952088130533
TNFSF13,,-0.017650526285729436,,-0.01471041722852088,,,,0.021586178636689664
WNT5A,0.05392801706354267,-0.03678908888468237,0.025053196672956562,-0.0018741996953082604,-0.01577277712843564,-0.02448244347200139,-0.008625085649556108,0.13539491123170255
CXCL8,0.032654195599776115,0.06081808764519516,-0.0040729438405230235,0.08982217220303115,-0.019188988832940734,0.023290325288966837,0.05145942190389519,0.158046716046867
GRN,-0.03825246673786004,0.04833203091765113,-0.0524501370408781,-0.020516810656607237,0.03865722454898218,0.005710857157829295,-0.04393185782596113,0.11370731619851072
MIA,0.0029845035113147947,-0.013264818445317492,-0.05310687343156908,0.04777772493913462,0.030212700488255865,0.04186413369988223,-0.02190440527708671,-0.0014179450377607512
COL4A4,-0.011438896033221202,0.020147858579564845,-0.04041139604339281,0.0015724071705720752,0.06061616068971238,-0.018048668025382113,,-0.0010270938488299594
TAC1,-0.03865632938749235,0.022197458003505754,0.020495514082671234,0.0797200336030269,-0.01509693441028436,-0.0010406948623489008,,
