,MGH258,UKF243,UKF248,UKF251,UKF255,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.1096218657391036,,,,,,,,,-0.022059525041923635,,-0.021486814293286156,
BMP1,-0.028702749922492065,0.0014162647364754344,-0.028060523689282062,0.009303326783673092,-0.05334193027687757,-0.036771575714103014,0.08730674977462909,-0.032013019814740064,-0.020334504596861893,0.004467682696386331,0.01306400874221171,0.044552120529270905,0.0015002662508700145,-0.026495951831662673,0.08169368868941629,0.006338131426903369,-0.04582639559367904,0.04006390557874988,0.06290439768214119
NDP,-0.01863643555314072,-0.0872223999305295,-0.05926412236511013,0.017172650829866236,0.017420003090514852,-0.004695121387074813,0.038141904331864734,-0.0076167746760496344,-0.0011213993602070837,0.06489711257910541,0.011809719197687195,0.0535401895331053,-0.00994471844406157,0.01000397431744054,0.016995873397239247,0.12224229198795428,0.01572464318721781,0.0006360178219548199,-0.03185529414509239
TNFSF18,0.0055821287690319,-0.022596677224566097,-0.02149056850052552,-0.026800713069864843,,,0.020423698721876656,-0.012328131777857338,,,,,-0.0398296919710083,,,-0.022749598802252878,,-0.012953177273894783,-0.02430872667203258
IL36G,,,,,,,,,,,,0.07808505972632092,,,,,,,
RTN4,-0.005714755140023552,-0.023782864768679184,0.015768112840040458,-0.05991247218350094,-0.0333633664868277,-0.036675457488319956,-0.0722158731185054,0.05616750357928894,0.03751605583001562,-0.01744151183612875,-0.054858221111552675,-0.024250420450249874,0.023091536230138838,-0.006103033447182392,-0.00656280568321418,-0.01274872369580036,0.06231673943099813,-0.015225085387533947,-0.07864420835634103
HEBP1,0.03478635454273302,0.029803035653510713,-0.006699577370797632,-0.013189822637187822,-0.018162812820025295,-0.014933354608366376,0.06830197313156058,0.034064678251749414,0.03497937382441171,-0.023207214560693447,-0.004358923350166302,-0.0036358880965739813,0.007761646734793932,0.03265007828752717,0.03445419996152352,0.031652393320097026,0.03615005242580489,0.08498840046292878,0.02298212317300585
WNT7B,-0.02474316658728715,-0.03935637035043455,0.06484179956674395,-0.013868090534201993,-0.03255376844528045,-0.010805497277730709,-0.004109066345671543,0.0015057676693637867,0.013226170866396839,,-0.006001695205965724,-0.01936037795195284,0.023797307053608725,0.02105616716167095,-0.026446391029400263,-0.03627329017902742,-0.0005681345248503466,0.029147326425774396,0.04558152342021991
PTMA,0.030766533126234657,0.06719802569976903,-0.032905188983295974,0.007310916275130326,-0.0410739086834153,-0.01979941877785988,0.029675972419723227,0.07660748550038621,0.007919760539465654,0.025328946221226705,0.022162740163364898,-0.00784693665784002,0.013331674108232142,-0.05240050935798341,-0.06845432202487285,-0.017761517547501864,0.013699938945881503,0.010576801205277995,0.09611517619462996
FASLG,-0.02474317358211696,,,,,,,,,,,,,,,,,-0.01863550670623446,
CEACAM1,-0.03435611306328511,,0.05687128255502388,-0.02016021138485444,,-0.020719394951284602,-0.010049905380061203,0.008484816538011364,,,,,,-0.05303930425792179,-0.02371754707622071,0.027381557915903326,-0.01822827754273522,0.03727001635509637,
PDAP1,0.007411090664728787,0.04203718205067629,0.007190986879064394,0.009016026912587563,0.026870880714268314,-0.06531156864779342,0.07027544917422295,-0.07236403500364155,-0.019525922670404053,0.06471415692950182,0.01749109576930886,0.026358908024476622,0.036587794587577216,0.042728026922761925,-0.007275903303834286,-0.03339103364295516,0.00206872571522812,0.026872105102268874,0.04405611240622918
QDPR,0.0057370688655053285,-0.027442235327832763,-0.03069737325913076,-0.014531850727037322,-0.07095437328391056,0.029610708342332166,-0.02334067028870174,0.024344642950090707,0.06783800990408292,-0.025744937689207048,0.01759961388075458,-0.022806141098901417,-0.050576333536249865,0.012117905976700635,0.07555876369493282,-0.06977556828325575,0.0185911313671508,0.05055006670517234,-0.05585475372673597
POMC,0.01466071806009032,-0.04266629768456752,0.043355784509351285,0.002198011942835362,,0.05036062064282227,0.06523843120765037,-0.007371639098860455,-0.04204579751752639,0.013246902858801467,-0.005020342173326478,0.08648073907448936,0.08055198091047638,-0.07465375187905864,-0.026827311974633197,-0.005261031096770583,0.06105606690247668,0.056330695437495144,-0.05819559323586031
CCL18,,0.16606506576636043,0.013210374904812758,,,,,,,0.04728147924843488,0.05959247072083635,,,-0.04547843051316774,-0.016816130830921202,,0.02909664610288681,,
CCL17,,,,,,,,-0.0003668318662245765,-0.02236572130593252,,,-0.016091356241710385,,,,0.004694477614236872,,-0.016890993696189877,
VEGFD,,-0.016702705674339836,-0.006249402516747871,-0.028875458078373075,,-0.019823143995400902,0.02081326964287872,0.06504482955383704,-0.016405527056086836,-0.0391829928440314,-0.028247461824371444,-0.017245604887236823,,-0.05123653561417235,,-0.030674864199880175,,,
TNFSF13,,,-0.027339906037896614,,,,,,,,,,,,,-0.031189053427125992,0.05261702487225297,0.0024351464938989517,-0.02644442723002719
WNT5A,0.09895380211140181,0.03908358684042662,0.04949556839026726,-0.03729402536239224,0.041031940423441736,-0.030552294375911226,0.028581830249187645,-0.0410684894997578,-0.04641574039096132,-0.040018750814021,0.002058202095729447,0.0061154975379315475,-0.0019397966770867941,-0.05707778689003473,0.039989062144884895,-0.04141554285981515,-0.01921542314017751,0.04132304502191087,0.09771057000046077
CXCL8,,0.08635600731708405,0.07160326771481726,-0.027037267441605305,0.1004957329010788,-0.09935204098301102,-0.006247737513157242,-0.02129697540140824,-0.015277540130659512,0.02178776977667847,0.00516273879550984,0.10347761845676148,,-0.007987857377241451,-0.029607445913845114,0.03570335726402388,-0.05581815801002137,0.10428356746707614,0.08347249912322169
GRN,-0.0377243849775471,0.03151426900704822,0.01587512909770368,0.06384958866388947,-0.08299062626286094,-0.11193669732337524,0.09459881610422485,-0.020955241388950892,-0.023018611292856487,0.09657468666852354,0.013247725824486344,0.05663249967064191,0.0944692205331364,0.030707454118373338,-0.037091629174413096,0.06456006076485,0.031976009799317556,0.03812680768309918,-0.03371433370843585
MIA,0.02884414040497545,-0.021468240572183016,0.0599492584639122,-0.025679813072592386,-0.043383089076415186,-0.015610339578730339,0.05699016784483315,-0.03414804978682951,0.011601562536841954,,0.005959067703608209,-0.008992360974375228,0.042281871021952466,0.08909412729638606,0.06803615700209387,0.045826424447276415,-0.03656374094352684,0.03637321834085294,-0.0033178389839973055
COL4A4,-0.02865560994773297,-0.0343716462233682,-0.035873665312356105,-0.03572668014960447,-0.03301213347669305,-0.010099295970455531,0.14792392692992082,-0.031119169605785105,-0.013253037569120354,,,0.06553256346886982,,,0.11248238249034317,-0.044801873710213234,-0.015750252314831036,-0.03179138467988981,0.005957318729696576
TAC1,-0.024743160120374294,-0.029006446978280222,-0.01529579119880394,-0.009768485317034045,-0.020968830697763372,0.04048319119099099,-0.0779233991814443,0.048344283814913167,0.043977206096142744,-0.07857161389748042,,-0.040603021402158594,,,,,-0.031448971678356315,-0.0030477324549615815,-0.08148283412480033
RARRES2,0.045348358031177254,0.006316989069707908,-0.010464996693244816,0.02515069091755903,-0.007887556317665499,-0.03287813289515543,0.08337086097036796,0.049927366609843746,-0.02867375102089131,0.036905262100183335,-0.06588274018694325,0.00856946260808075,-0.01771147588086603,0.05285773496401414,0.016255992148690245,-0.018725717570871776,-0.011913379689187861,0.013177082030649033,0.04583647093922864
FGF7,0.043543650593460916,-0.07668477016914825,,-0.012521655907856914,0.0647108585324849,0.05106045569951166,0.02159223578629115,0.07308756180747059,-0.0368431091867196,0.013365811974712321,-0.009079209913744708,-0.038236278452444,0.015076884208679947,-0.04460739445304708,-0.06546412099883762,0.021353667249463405,0.06438751791516083,0.02359218945927088,0.0018803529811214517
