,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,-0.01911033680229407,,,,,,,,0.11229924461290113
BMP1,0.0043847906270930315,-0.025227396955182228,0.0014546042550222262,-0.02112678165403162,0.060307519557237836,0.052462936616447804,0.027936990298591674,0.018721217612744766,0.015795796529110406,-0.0032925494801797845,-0.0071292104901275535,0.013933332569534178,0.05973162012596497
NDP,0.01977427792858529,0.014526543735300919,-0.005429715320557343,0.0679555158092545,0.007668690789752134,0.03682288929342428,-0.011753202731234525,0.019795838893691884,0.04566632127751768,-0.016152099452879994,0.09246068774416329,-0.02078410246182717,0.024487851339261818
TNFSF18,0.03852892810815638,,,,0.053032867787171326,0.02033478754667239,,,-0.02047614386484708,,,,-0.0317245883924018
IL36G,,,,,,,,-0.014527083230244939,,,,,
RTN4,0.021642146502922274,0.02792989645130954,-0.009228272593050141,0.08997070244046937,-0.14329784551898578,-0.003714886832464932,0.03580041299007446,0.034528688478595776,-0.11509928156872237,0.0439347915920255,-0.060331014813280175,0.04777588765165921,-0.09874265462194275
HEBP1,0.016248334441980997,-0.034106354356539935,-0.021069650742846422,-0.013940145086759987,0.0547934278103271,-0.03978373580892193,0.030055475166461468,0.004081978000232683,0.030853075202228103,0.03227986448657202,0.0804326493847223,-0.046993687370766105,0.019638829567826324
WNT7B,0.031419526844912865,-0.042150509032455194,-0.018562082561616487,0.05514062182901116,-0.005299888755511739,-0.03757503533194647,0.020688281741676424,-0.01596693859144108,,0.011755618865863885,-0.041775145583042884,-0.02632771347907192,0.022533754657662452
PTMA,0.04159474720265762,0.041757390847430166,0.022640581223062586,-0.0737600696926116,-0.04772109169959573,-0.05670874313536388,0.050918842879449346,-0.050546633964192164,-0.0006217192271907656,-0.02818969453360201,-0.07074887883662945,0.04445153338164436,0.024755269507036857
FASLG,,,,,,,,,,,,,-0.016311583225529745
CEACAM1,-0.02644140547361081,,-0.0017579492850286471,0.10071059889932628,0.04582930972628888,-0.02447808165377314,,,-0.030603842339149787,0.03019130094677565,-0.027580961631167664,-0.017474086338438333,0.015657034206716137
PDAP1,0.0381218641017716,0.0650071427587955,0.018055276047921526,-0.00794810290240181,0.12332605586984327,0.014306203907481808,0.0004500324016805123,-0.04477040072585791,0.02447519637873709,0.014000518536767783,-0.06861704675202804,-0.03715187566025854,0.0007399940246841061
QDPR,0.06281764918132719,0.06157230289613493,-0.04407628540808543,0.02303434617435474,-0.12134571733020431,0.02723884068022466,0.05476650218354786,-0.06209129992912416,-0.07359549253742988,-0.013292787909529126,0.08432976148225763,-0.07244998303893367,0.028221586443934327
POMC,-0.008817174551369204,,0.028670403323325693,-0.009231075793940202,0.03402899684369955,0.01309633534329629,-0.006497460636509351,-0.008269443962508904,-0.06762968706315352,-0.0396066414605921,0.10253396976198416,0.02417892154734795,0.05006521280126308
CCL18,-0.03299637574059315,,,,,,0.06416684306193608,,,-0.043226481305399925,0.017513255634585483,0.04675226974768272,
CCL17,,,-0.031143791306822138,,,0.00943319837485327,,-0.013270902954581824,,0.1405318294161301,-0.03981484963174795,,0.12633436298834635
VEGFD,-0.022681983666368876,,0.024133656645394398,-0.015127752366568624,0.016966479085626516,-0.007054821095406072,-0.015492195504408167,0.03235196942143444,-0.04160525301274267,,-0.027580961631167664,,
TNFSF13,0.057358523824247595,,-0.021482290224814602,,,,,,,-0.03215625459728268,0.12464387219935787,-0.01962222780049864,0.13443636387060126
WNT5A,0.00755564887465193,0.05189479951253212,-0.020935350286381372,0.016415073681698686,0.09557235614582414,-0.008542242465985773,-0.016284285109421096,-0.04223735160807845,-0.11173092096075855,-0.016373710640301083,-0.011223561104559427,0.06705494336114326,-0.009181037782505013
CXCL8,-0.033261035097628004,-0.0932188613599756,-0.025939181330998103,-0.0373175989989297,0.03802028276585015,0.012737186528731294,0.008786224418001184,0.03364750280478217,0.06420211961955301,-0.0063815995255037655,-0.10337922411598162,0.016992799396647,0.018764541168173637
GRN,-0.02582028282501822,0.01956219306493082,-0.02759200714631358,0.00360316394987229,0.11056726010943002,0.006037424078054899,-0.026183986735931936,0.05265764646414858,-0.06381343975360852,-0.055302201712365544,0.019251839356322225,-0.04211181968060062,0.06402639312063907
MIA,0.005711373000346883,-0.05617227667650731,-0.012997360660321373,-0.03598749354746498,0.08380196307918787,-0.03815264590069429,-0.021010200322125895,-0.019478828083666404,0.106621979552912,0.03419077828885393,0.10802267051785809,0.004593358028853828,0.0863688395863471
COL4A4,0.003807605727930109,-0.04274399852136626,0.034025673046870555,-0.03800607601246983,-0.01883181845071772,-0.02026572100706932,,-0.01889518588811635,-0.032577732492458815,0.03950963438158449,-0.024725196253202974,0.05302919306375411,0.01722800163701209
TAC1,-0.0015054621768712405,-0.014601203492324428,0.021406538657422387,0.026641532006225356,-0.06518888643436026,-0.0050366768587832445,,0.009649968178637156,,,,0.09381339737155696,-0.01943588383351883
RARRES2,0.0011909298822714391,-0.0008095964407774369,-0.015064720455705735,-0.035612888834590725,0.1147444198321661,0.026110624104711513,-0.0329720866877359,0.0027070660027272288,0.0010641628897799424,-0.05159237968853077,0.004774974117011458,-0.045506985553807305,-0.058444043569027895
FGF7,,0.12993599019980498,0.009634406516508421,-0.028965246208420416,0.12407055544951001,0.0008327816021489366,0.05909433632925329,0.03049505861194778,0.02533858592643732,-0.013967195607726825,-0.02727728078644881,0.06765882374363694,0.021480109055397
EFNA2,,,,,,,,,,,-0.026213858227600997,,
HBEGF,0.02249524211191396,0.003219118252885024,-0.029647436069825932,-0.03629113693472275,0.06643249296305527,-0.014753726081925385,0.11378511895095056,0.04555121679909176,0.09307762027348113,0.017946732866459755,0.0013508671771823412,-0.03070396407856474,-0.02687069530033679
CSF3,,-0.02991917415582494,-0.021012712329055685,-0.043180721389758064,0.01832552414110015,,-0.023274331809807144,,,0.03362972023854345,-0.08451350316747865,-0.02505148970303277,0.03830242280213896
PI3,0.015052320822055373,0.0560482708844626,-0.02513895610584166,0.028130705658649127,-0.022434350800884045,,,,,-0.006811624903716273,-0.12326857035298244,-0.006973269600497118,-0.03381957733314186
PCSK1N,-0.018536748654697264,-0.00665862559984137,-0.03721700789203339,0.048776970172356944,-0.013328596047497863,0.02868478250708892,0.0018840231429377932,0.0036278987549671626,-0.024297751771523688,0.005324257764321353,0.003313912169523564,0.05901992583948052,0.034462348218720774
NTS,,,,-0.002786384273818795,0.03708980166837275,0.0499764992940428,,,,-0.027780964009528453,0.008257001335021179,0.001211540946041997,-0.023051007960560334
SFRP1,-0.025057562545216804,,-0.015950520619679318,0.1336207855074166,-0.023084135887427786,0.019491355752188758,-0.03188781082018319,0.06734574409499297,-0.027529425728129938,0.03346990966775142,-0.006010060976601414,-0.036537361467659346,0.050249696261029646
CXCL13,,-0.021724860557356604,,0.026096613349128234,,,0.004615395896569634,,,0.037149264237202335,-0.03320413650691748,-0.04086419281717566,
MICA,0.0692273619539506,0.030897267215789195,0.0017962918746059378,-0.011376292021764892,0.09792681039472358,-0.012252638176053796,-0.016700251038392892,0.024673319774977855,-0.06260401808168674,0.03449978932358049,0.08203213849429013,-0.029482165814590573,0.022339247518978162
