,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.009790337354224842,,,,,,,,,,,-0.01799641317842249,,0.03864919964156092,
BMP1,0.035097830127647264,-0.03896342989336028,0.051042839702858014,0.03936157287650716,-0.016338921682641335,-0.012274561476828342,-0.05348808912581879,0.011133124251363766,0.04905691717292277,-0.004414045194835223,0.008203527213453276,-0.02387653710562555,0.054247943077144194,0.004536975673577244,-0.11878829147673471,-0.006737528718739002,0.027236931555889493,-0.018431051734355514,-0.049361572005607576,0.02088527846415995,0.050318428421548454,0.023397221766224243,0.04107025455478401
NDP,-0.006055811288232346,-0.024735741786468,-0.06348682776591565,0.04312680978917206,0.054820409206118886,-0.04429537216205957,0.024709478184173538,-0.007547829147970586,-0.032254541758633154,-0.0003933533138404075,0.039853142822488065,0.01871053891098993,0.052460185719065876,-0.05882826202788215,-0.17947410964231,0.06952458483868494,-0.03674750214203505,0.042846576036061935,0.020253901582702103,0.026473569371257964,-0.024838368602407592,0.03269491361363962,0.017005287358054278
TNFSF18,-0.019279987219288242,-0.028170540360600134,0.004317794535840245,0.03209379501328623,,,,-0.021631909424135815,0.013715511831359647,-0.011390330901729069,,,,,,0.056128343445916294,,,,-0.01855938325556019,,0.013940031330727238,-0.03618261896348493
IL36G,,,,,,,,,,,,,,0.12603864711135465,,,,,,,,,
RTN4,-0.04284811825565962,0.09647726854681832,0.0827986032847166,-0.025916076600639618,0.07302712727682857,2.1217187172865352e-05,0.023935114247101597,0.021923136778494078,-0.05657266675487757,0.024071031635579495,-0.007003096485278431,0.07984188848092527,-0.0041648915174226486,0.005157523270589086,-0.05687846681505854,-0.026519481357053662,-0.0688254281322085,0.016878966149978608,-0.02789570871543862,-0.022254576009923085,0.06835110405073282,0.04546507962454663,-0.053050777632804795
HEBP1,0.027688220727279365,-0.006046897651861697,0.08166670325028291,0.03159206578564259,0.021246241758905143,0.0024572293193256514,-0.05946015216757005,6.1311947647653255e-06,-0.015235504696388054,0.009496753838280438,0.009098123722291773,-0.06114158003326092,0.003919052494570163,-0.0003370032036467392,0.00930987081369661,-0.024143392455470293,0.062284365468287174,0.07903809208879542,0.08974892669475291,0.07495522783567882,-0.008666084881337355,0.0010393691294455552,0.03140579984870314
WNT7B,0.09162484446521604,0.1240741458264249,0.037885476084150035,0.05470285514631296,0.07573951642971452,0.01775063843060159,0.04440562016674859,0.002247579597450117,0.026822487895872105,0.01909454134179814,-0.01786092347332534,,-0.013185172861810278,0.05486015396513248,-0.00859163660645319,,-0.03572386551005154,0.056793940490529944,0.09601349783341574,0.01247040279697242,-0.02178535145943189,0.120390820611246,0.09367076811669463
PTMA,0.006718056532628642,-0.01262670872743714,-0.040036155807850894,-0.005690368616250086,-0.025632037087527218,0.03965579671987393,-0.0441479154246947,-0.023004005659252647,-0.012445081996234807,0.029943549966073724,0.035029576506589506,-0.05207613414148999,0.08233109190936141,-0.004556368894745343,-0.011441947538226341,-0.018032235821549402,-0.02847100543190722,-0.08321751511732156,-0.04354801098729724,0.0275629227696571,0.02271669338224053,-0.07411643076830363,-0.025132064224536992
FASLG,-0.0169850696758353,,,,,,,,,,,,,,,,,,,,,-0.022373035902369318,
