,UKF243,UKF255,UKF259,UKF260,UKF269,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,0.014095468167384446,,,,,,0.012322577479988155,
BMP1,-0.03226924883937744,-0.08702127025777605,-0.0763695209921778,-0.011416584840630923,0.0919913757755178,-0.04503884953887055,0.22445434073856568,0.3187447298453715,0.057578041053704156,0.09169175080757122,-0.03484962359680293,0.017918602428553216
NDP,-0.11079813039302977,-0.015548139856757398,-0.08202949452573996,-0.09107867390348051,-0.028622037650205222,-0.04011343013559239,0.06600070699898694,0.005200426302346047,0.061747311280647345,-0.046963771384343087,0.03301940279408798,-0.06001251477390936
TNFSF18,-0.030228034582909007,,,,0.1272984406584644,,,,,-0.02843895322978025,0.0066338756481921415,-0.007665949961107724
RTN4,-0.005202338548586138,-0.07203796259090316,-0.0538638437145428,-0.03691432670681986,0.012220076473179176,-0.06318541367793379,-0.0939128287664122,-0.009123581798091746,-0.0793021428026761,-0.03373199935055222,-0.02458981446051861,-0.06807206153339695
HEBP1,0.022984759927744538,-0.02189911986107815,-0.005414400387746584,0.0056053356183015605,0.02739330743390146,-0.0557817379386511,0.005421356117192794,0.03701937693973298,-0.06887514177115413,-0.0035132055426737663,0.0069614472055760344,0.04370344255646245
WNT7B,-0.070552568736416,-0.04215048611873455,0.08013394542726947,-0.08227235230024933,-0.006659778355000044,-0.041540246132742646,-0.001929644596894308,-0.0012335495379269604,-0.01831026964179492,-0.028438923740722082,-0.03249644214452684,0.09175254136264896
PTMA,0.12786318278750314,-0.12352440071376097,0.13282368468830702,-0.012915162205895623,-0.09258995398765507,-0.00527050189793188,-0.15948413120429256,-0.0692505407997918,0.018310671312195943,-0.08251622240536398,-0.0625316235157084,0.10702145798239245
FASLG,,,,,,,,,,,-0.013204622280806039,
CEACAM1,,,-0.0479524313232708,0.012805925742974981,0.029703645720661566,,-0.027399976405672717,-0.01917304121751554,0.10929692198983347,,-0.018372292497743286,
PDAP1,-0.016401762467554204,0.030509108346717488,-0.01235369329682995,0.07287494502931506,0.03328240925967043,0.0418093787340174,-0.04144222858376306,0.08780172780765232,0.02729399860078874,-0.019495282765866123,0.03728241017240935,0.05938267610542244
QDPR,-0.05801728250814975,-0.09988876765416196,-0.014531693388066383,-0.09609951284238565,-0.06426757983913683,-0.048714862581531494,-0.1418712126362193,-0.11180709411424598,0.025571366642731838,-0.07037382481400503,0.033926361020167134,-0.14709289983091753
