,MGH258,UKF251,UKF260,UKF266,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,-0.019505711038655685,,-0.003867352614026401,,
BMP1,-0.03819725716427973,-0.012484981510921101,-0.006367105528820507,-0.007376636029209194,0.017044223240294604,0.06118634683793714,0.033082676769322736,-0.012030396202711133,-0.030407606008316167,-0.028730707238114647,0.0011637113459489628,-0.012926704368341082,0.014521338284804635,0.09581374912950699,0.00823779706350859,-0.06693069025029848
NDP,0.013671696256097538,0.030377947621583908,-0.03617332331213137,-0.014146469296455333,-0.035561806032393256,-0.0010931911857046503,0.07316864901026374,0.004385208408964905,0.05116200056095472,0.016765344406506122,0.030682957634486897,0.04783841867907344,-0.05991562811870656,-0.006726015198386624,0.06375455293346188,0.014265270502922667
TNFSF18,-0.023358155748567224,-0.024921962379962255,,-0.0200256292606505,,,,,,,,-0.020115895498146977,,0.07839461311000896,0.025802175255711494,
IL36G,,,,,,,,-0.004279280241005246,,,,,,,,
RTN4,-0.058513746961142754,-0.07273910844929111,0.019185701764534106,0.006014194210442318,0.044326713188839385,0.05020222177486807,0.0018439427526739049,0.08740751829167609,0.04609622731880808,0.04867331493635905,-0.030275603206696214,-0.012060134734532027,0.05518060337325865,-0.005541822116919384,-0.003827190671327161,0.028723123707273337
HEBP1,-0.007381403066069803,0.0490978841905409,-0.04024852387300853,0.008280954268201348,0.011412838936105198,2.589898759831515e-05,0.028785095500424233,0.0042673008186162355,0.08763496644664308,0.06596927699118182,0.04294150815336274,0.0752032991630546,-0.0401372139766733,-0.031927469557259176,0.0179778281517936,0.08334348320920883
WNT7B,0.025523359718182984,-0.015480750480589375,0.03932074136041135,0.004454997819830917,-0.011083479626138534,,-0.02615909769988585,-0.007333283960982576,-0.028505004918113183,-0.03847817439702358,0.06116237211876837,-0.042063964820227354,0.043791967559430246,0.06661909103539249,-0.04391176196616877,0.13702791270595593
PTMA,-0.07015109346792707,-0.017171012746266662,0.023878365039996196,0.007288603264837864,0.026228392979528056,-0.03611975397202231,0.021922031624065946,-0.0076170397349056545,0.04319361595935572,0.036299987337448214,0.004866802346290299,0.009561434437297182,0.05634613903651498,0.06218195381214152,0.01578088131372179,0.03694608895120047
FASLG,0.07096188783699904,,,,,,,,,,,,,-0.026797864861480863,,
CEACAM1,0.003386972366366446,-0.011880544889408462,0.006332956600272466,,,,,,0.04391759933969988,-0.02156121893004718,-0.01668743211079608,0.05625930308113786,-0.02033800762436818,-0.03728529306482138,,
PDAP1,0.053387494846919424,0.01932156888360651,-0.06047649746750787,-0.011950645673079664,0.04135941551553906,-0.005209177699555785,0.03241414803673875,-0.08480904851860067,-0.0487164087114173,-0.004966965021729565,-0.020213637393479048,-0.004598197479591898,0.046241143774581855,-0.07846944132960174,0.026154621330607548,0.07066036169054438
QDPR,-0.05758319218505969,-0.021832473614772484,0.028364970089853687,-0.06173662910210547,0.04976160071969347,-0.019421320848057533,0.06388359514716749,0.032959540144253695,-0.02803255468863513,0.06242207114529233,0.043842837972087344,-0.006110986965365937,-0.07578637511962061,0.026975976684544562,0.008652499270852055,0.04300707443233183
