,UKF248,UKF269,UKF334,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,-0.01397790798456315,,,,0.07772986822620741
BMP1,0.040282345774021254,0.07135052679958566,0.005361012532663563,-0.010304744358179066,0.01065921808846658,-0.0010986529888437685
NDP,0.0121783728751814,-0.00251918788523115,0.05951475430763834,0.03123647469679695,-0.010177316266664758,0.022992954656177372
TNFSF18,0.002818636503654873,0.016988898987522955,,,,-0.035938834507154925
IL36G,,,-0.015082912803739348,,,
RTN4,0.041337722408078884,-0.06489459638141915,0.006590088874588418,0.01927156871089122,0.014330658660087323,0.0769765045103371
HEBP1,0.04622527085060363,0.025335150107030188,-0.04944866208820518,-0.014564215208793356,-0.014700511794973795,0.031350407506415635
WNT7B,-0.0170395061686966,-0.05785412944376154,0.0035986631892580075,-0.0020534456654861424,-0.03537362840402537,0.08094543294308669
PTMA,0.016067220733533855,-0.028421858769668185,-0.0004948698405362612,-0.035867182075733986,0.0063544213584555125,-0.06604753968862889
FASLG,,,,,,-0.018478389154842442
CEACAM1,0.005541266965191509,0.045024277165408154,,0.011287213717527661,-0.023477991635206873,0.039664995269017074
PDAP1,0.0016602346817987373,0.07009982426039553,0.04106233454537071,0.018706188147350446,0.02163058009397758,-0.0023123505197343935
QDPR,0.0024797362441908873,-0.08681198938624624,-0.020659565981712594,0.027555688779124326,0.02464229659413792,0.046652271234447734
POMC,0.050397598233563226,0.054709126310034564,0.032028933796339434,0.023994358593290032,-0.03840691011400025,0.07462010474477622
CCL18,-0.0027801245248888847,,,0.008939833582899835,-0.015646798217353573,
CCL17,,,-0.013778669049965208,0.01454221361408794,,-0.01674858428323651
VEGFD,0.04772935888530773,-0.023416745360803085,-0.014767026392204306,-0.01517513952956392,,
TNFSF13,0.07620659606051998,,,-0.023811362840158147,-0.02636421105181531,-0.02729042014200522
WNT5A,-0.0018000843480334983,-0.0057811505717136,0.05955726261663364,0.040180798029614134,-0.007962031099471958,-0.006090093518945712
CXCL8,0.0282318490454992,0.005596144038046659,0.10022897966047098,-0.035100763700304,0.013551054759935495,-0.0456642749387089
GRN,-0.008467051264415553,0.06185183722450614,0.03661413100869127,0.0466331557121711,-0.03585266856045666,-0.02442815079690124
MIA,-0.0010017963556121683,0.06667869196075947,-0.020224119380915524,0.049168375446566964,-0.0023524081137671687,-0.017709014281792845
COL4A4,-0.023685743805620017,-0.013774190806230683,-0.019618146096083176,0.04442104018702457,-0.008350043996725358,-0.04918532690038939
TAC1,0.041087234948863974,-0.06126182731392404,-0.024668548235715976,,-0.04050622403950483,-0.022017717108046578
RARRES2,-0.0262260302960548,0.03377988035660608,0.02068901048197769,0.00560280868943812,0.039902100481528965,-0.01871739634643478
FGF7,,0.034093367771759094,0.03789243318351156,0.008205075156321635,-0.0010455951343583633,0.08055212871473297
EFNA2,,,,-0.01442295455581659,,
HBEGF,0.015442357679739399,0.03978700631735855,0.03369850021179796,0.059004987895265114,0.0001223250608753649,0.07853103835199368
CSF3,,-0.014572828752740935,,0.017293623474526648,-0.0116121888102221,-0.017633675476162625
PI3,0.012737003035452315,-0.016409197516106776,,0.009349425484298764,0.017936890126956814,-0.038312118595329556
PCSK1N,-0.03537529140821456,-0.02599128634439324,-0.049621873429444956,0.03498449710087473,0.05383070447720504,0.009862240460465816
NTS,,-0.017911759522578216,,-0.01757163317702429,-0.01908664935443981,-0.026113068830740164
SFRP1,0.026297139103273904,0.007009415458576267,-0.03934420253713531,0.07196216772931316,-0.07814526898168118,-0.025506267267055894
CXCL13,,,,0.00838335976842091,0.00582493922818933,
MICA,0.04933784865369972,0.021110262871192123,-0.0416987232315099,0.01174152153340128,-0.04438245904683175,0.06326258115177753
TG,0.011706282142301941,0.004196900285997854,0.011841626950190795,0.017853540095695567,-0.013499323058075993,0.03715044816974166
ADA,-0.014440741068742304,0.023870278113706737,-0.014746962080881991,0.0074375980191249726,-0.03068191818570916,-0.00047693984425187615
LAMC3,-0.016054659612136212,0.031314058970067095,0.008502243985292448,0.03233085095993606,0.0035822926703205833,-0.03248500690850932
CCL7,-0.012544742632953531,,,,,0.07276606584648798
NGF,-0.021538700140325016,,,0.04291508117704481,-0.019298296546566514,-0.0298610309154614
TNFSF15,,,,,0.051262658536864916,-0.004166293987229492
HMGB1,-0.04122118671625903,0.021171708487267817,-0.02287363369969255,0.026101416532099984,0.01440115027204875,0.024957376764966493
ITGB3BP,0.047619770497807475,0.0423795554729883,0.050340324467977544,-0.04304634033817308,-0.0633305920003512,0.04899721257366686
AANAT,0.018520977800698325,-0.013145085903706439,-0.018482766586598264,-0.019409390437854532,,0.0641617440585663
RELN,-0.021510424913069478,-0.0385718064442351,0.04444862088099458,,0.07688830376642758,
IL15,-0.03109648596027356,-0.034287740604259195,-0.017141911749494594,-0.011398241874106275,0.010028627250906983,-0.023535607800455865
UTS2,,0.10983395714529139,,,,
BSG,0.002650020739224443,0.04009988699021168,-0.034013449642325964,0.001557230090360435,-0.004834457150982401,0.09467092982483921
ADAMTS3,0.05102953430039108,0.05246817280348223,0.07839958452597462,0.054347775854392856,0.02754214481934078,0.05573643305857734
CD34,-0.033608647082881096,0.06918217247206962,-0.03969792113806448,0.002795537768451903,0.0155418667814471,0.013733428188315605
CCL23,,-0.014957021113371907,,,,
PLAT,0.00855951781323433,0.0479711843437319,0.014701516916704713,0.010650034576018087,0.04679854693514731,-0.0012126708655763895
NTF3,,,,0.0023161760326188565,0.04909497789135954,
LTA,,,-0.017141913865500184,,,0.005556548863451391
CKLF,0.04879640488689754,0.06044319183516198,0.033362043033353474,0.05760362846032123,0.050311191850478575,0.008392738264764818
CD24,0.04736967149908427,-0.04191152008423729,0.04683018540995217,-0.03189693356974007,0.01046044459283546,0.07395788648163132
HSP90AA1,0.053421559685845256,-0.06194127887989264,-0.006706200898138369,-0.021211391376870208,-0.043123972708791286,-0.010335522695856697
BMP4,-0.04365325291781556,0.018860366756103766,-0.014606681106131215,-0.020490296478959332,-0.03487178123112258,-0.033172698837836107
SCGB3A1,-0.012544741378496026,,-0.011961400803016038,0.09984908362834428,-0.009578524248906572,0.026527225755277734
IGFBP4,-0.026478296741166005,0.06649932035002351,0.02327277231002043,0.0135050918374297,0.058476894626515105,-0.027759811844465417
RSPO4,,,0.0059694225849679814,,0.11089507109858357,-0.03470351779664026
LEFTY2,0.02514278649943337,0.12974330169300338,0.09453328927949166,0.008272682257482364,-0.03975374945227612,0.0357648149555145
PF4,-0.013013155454645703,,,-0.013219636398067624,,-0.02631255806220134
ANGPTL2,0.0032734007635356276,0.04287095751587917,0.023154230446443866,0.03419714601370493,0.02550001333206541,-0.0011912550585651415
LRIG2,0.007046647944738673,0.04863670554608306,0.007003096028366943,0.018653575236739686,0.0014489740307773791,0.05743301086998807
ICOSLG,0.08093619065963226,-0.011576123232426468,0.007840891333408824,0.07472421054337182,0.004833100127904887,0.09993363371974005
WIF1,0.020302399556243345,-0.06920266897094993,-0.0006499844059568183,,-0.02717408530797293,
NPPC,-0.03891714788559766,0.05419325940305578,0.03602486345758649,0.03971160616846821,-0.03410449871942329,
LYZ,0.05216823091920526,-0.02940770424049256,0.02396878421214953,0.06919062450980187,-0.03772519430395203,-0.020810138344495417
EREG,,,,0.03633089177768939,-0.03640909602327538,0.025425020429788107
SPTAN1,-0.0289233716808783,-0.03379020807081338,-0.02491805635533892,0.016117695170878417,0.06113122992186334,-0.05529061731723421
PTH2,,,,,0.030574531930643092,
LIPC,-0.01593152271662311,0.03622274845145487,0.02395806738439391,,,-0.03326903263393874
COL8A1,0.021931212261444514,-0.010070545777450757,0.02452599108764463,0.07225998448270109,0.025443636666593005,0.10817257481124681
GSTM2,0.04273730415602951,0.02405432088336695,0.06532455385516367,0.03730518636544766,0.0003422884535499835,0.021449025091984434
SPX,-0.025766720992091454,-0.01165212014944401,-0.030820253730887485,-0.01641386830344721,-0.0667707319595061,-0.06805678697278011
MFGE8,-0.03203867997309683,-0.034933527705730424,-0.024510574812975687,0.04248365018794872,-0.03514807259277855,0.019551467563876723
TGFA,-0.023130030559628294,0.024636276190717978,0.08998906964985308,-0.005660212547466903,0.04710421814679061,0.022848084387492456
SLIT2,-0.013337935628040335,0.01761589757797867,0.09279724752355525,-0.014352482490515735,0.08555081001894305,0.08234240632576637
PLTP,-0.03682479861409949,0.06120477338249162,0.013917826386023013,0.09077199813041154,-0.05203066688006998,-0.06969731477931106
APOD,-0.022876802989602048,-0.004086734758217482,-0.023614196163279748,0.031542742082351805,0.00946082049878413,-0.10832319756247821
B2M,0.0733237369751876,0.08170544155772567,0.05295151079188984,0.09495084945914198,-0.02170459549140961,-0.008693686637087287
OMG,-0.031183946433586567,-0.004000845490448321,-0.01876252268672765,0.02345994086119217,0.05591727905327033,0.04086402823473094
CXCL3,0.0019150191670571856,-0.017258869422513395,0.04219667198749582,-0.0223726495324056,-0.017983533593266418,-0.013786822224281486
CXCL10,0.05399199151821175,0.06061195678080178,0.08230336402783008,-0.017731364735980165,-0.03994299945015703,-0.07226960461596404
RSPO3,-0.017040437227167086,0.05264459448207857,0.08912092144569472,-0.001424250135686111,0.04561737504139388,-0.018751945051504314
CORT,0.0523451182300918,-0.013759541858272026,0.028808567145381186,-0.013833677587964052,0.013383135249719038,
NCAN,0.007128195883844224,0.025056672937690847,-0.013942805242245868,-0.019813837903256644,0.013866248046993811,-0.039896063056579625
PRG4,-0.018865794757603443,-0.01869841204511502,-0.015082912803739348,-0.020412437819739778,0.04425251976745898,0.047359485170481705
ZG16B,-0.01739577004732238,-0.0011599620951971631,,,,-0.023381657397127314
TGM2,0.08517901342971095,0.025621848750923187,-0.03150015345056152,0.035454050416091516,0.004329169910371631,-0.006553384175130793
