,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01755368893758084,,,,,,-0.021494333847760394,,-0.01860240601795499,
BMP1,-0.0421725368886004,-0.0016552252600832854,4.865114781880504e-05,-0.03182882735464224,-0.0020325409258350586,0.031051861604209446,0.06090299352748606,-0.003983692649038977,0.03246263787763699,-0.029172428216581135,0.04894895509194661,0.05968924948773271,0.05570096040924466,-0.026835033013636166,0.028439512152854465,0.05308930292867887
NDP,-0.017299092280991656,0.052943539706590555,-0.029581064789998994,-0.022615756391118517,-0.0058204241897043376,-0.026739528696470696,0.05114139423418116,-0.02980733347285218,-0.017116054146156308,-0.01020302830203239,-0.04246646375607176,0.03729059223376924,0.007933943370066249,0.025173114864312413,0.034911505508086665,0.008848289846947575
TNFSF18,0.0693476163195304,-0.001332566974322727,-0.029677240871926094,,,,-0.011560508757492587,-0.0180627894859356,,,,,-0.02216672709992276,,-0.018014360647016156,0.00960457542463299
IL36G,,,,,,,,,,0.009706117582894011,,,,,,
RTN4,0.01880667454299161,0.013430133725493789,-0.018727433308498555,0.03947745506320159,-0.008137583109806298,0.043227313324963754,-0.029463537614195366,0.015811568803916324,-0.02025629884908305,-0.057905071933399326,0.06756996969561975,0.09232658403532526,0.05465364123995575,0.03631886315048512,-0.026290184675812383,-0.011875018051388077
HEBP1,0.06979004838060167,-0.008544366567190634,-0.035163691261744914,-0.025751678136987925,-0.05942346021807039,-0.06056371318330342,0.09810766995315236,0.004409064297304343,0.08094102565773094,0.026874057517549493,0.02706061240719031,-0.00154120253904346,-0.012657618092042305,0.06851687579978552,0.014768552901002095,0.033552498392848726
WNT7B,-0.018635835921667357,0.017207556632914192,-0.01843458207207728,0.03132654001765399,0.06708095349730739,0.014580607193284122,-0.04566286671405316,-0.03950560641049787,,-0.023607565336579345,-0.0392539503017656,0.02635523031915593,0.001887067436411566,-0.024159453460630347,-0.039705267570839094,0.023758179473334615
PTMA,0.06520653408568121,0.04521714275174641,0.0912229103766287,0.016644809084886525,0.04314106987596415,-0.029158916201020145,0.029066959241575128,-0.026857778077800123,0.1045851543578094,0.015180115444781933,-0.005199586736544299,-0.038098619903167326,-0.001917157968095258,0.024671586484013918,0.0030856023822820877,-0.011601895134805956
FASLG,-0.018635841189970432,,,,,,,,,,,,,,0.03525928508298659,
CEACAM1,-0.025876028587326894,-0.01733250418104153,-0.01414743297486831,,0.08673780000674422,0.03754669753637516,-0.02328349947392649,0.0013789884751459732,,,-0.015198613701783917,-0.02511651059034396,-0.03185127260495668,-0.016034980629674463,0.06959271858501351,
PDAP1,-0.053258521667945646,-0.013468797409192849,-0.008053430045246104,0.026429763884306814,0.025956280794562418,-0.03522801137538132,0.0648347521732956,-0.014859629143337107,-0.05485295701045069,0.008904170731583321,0.06028297750111691,0.01291215603481065,-0.04863265515016183,0.001260202667118508,-0.018847904550534273,-0.012429607957150594
QDPR,-0.017429312777560456,-0.06322559100804011,0.01012045317780485,0.00877179137762842,-0.030637160028022976,0.006288234826164027,0.037148821687296676,-0.015160770598297206,0.1333339237117189,-0.011030973462688652,0.010262396774015763,0.014034980547634175,-0.07377214969883754,-0.0197878244218817,0.03962810886065573,0.0116675152695678
POMC,0.007834023334457653,0.07006137582990075,-0.025137731278135164,,-0.028771430817513766,-0.015583023602128602,0.02842286940441477,-0.0209586325477334,-0.030772177135898745,-0.01540616638761459,-0.024964042129022094,-0.027259538679337007,-0.019903923029296652,0.032571733517107244,0.034879405837374075,0.011553183771276553
CCL18,,0.04316237384924614,,,,,,,0.10630504855009068,,-0.02495991090697938,-0.007879785562037412,,-0.024132501197634774,,
CCL17,,,,,0.00017480276307199152,,,-0.02252781520605499,,-0.01962140123364865,,-0.017818948590564754,-0.028339037557666827,,-0.014623532297266727,
VEGFD,,0.16678004584573733,-0.02026335934598894,,-0.015733922913246656,-0.01372331887887807,0.025003607053428217,-0.024001481673225945,0.01430229920132932,-0.02102886344236938,,,-0.02988893779870079,,,
TNFSF13,,-0.016322189850802967,,,0.07540551144311042,,,,,,,-0.02024495857127926,-0.03038995288811633,-0.01800620854206991,0.15391284796679164,0.03694055108655731
WNT5A,-0.0007436976568669715,0.0971089964507505,0.00491304041533684,0.06640428534327705,0.032990354260485334,0.05136880300517013,0.006721585933818295,-0.018604435093440383,0.00359493531450794,0.09821303890657604,0.04925709981937765,0.047090776180966576,0.03020918892090056,-0.0019848818233186897,0.057717614335751434,0.00466960005327857
CXCL8,,0.03954857984441218,-0.018973408643972015,-0.08202600303600127,0.024405666690129155,0.05643907985878932,-0.03107915281886643,-0.014157912161810017,0.05545124190770448,-0.005286212717107057,-0.04394585292081138,0.0005510364182016774,0.013112514263850416,-0.02154916816188743,0.00576142772112947,0.013309381662434326
GRN,0.03894103536804474,0.06708169048968061,0.013884187172424256,0.05093187303337546,-0.013360980616322193,-0.061792798181919885,0.04623664800089319,0.03914514824952799,0.022928218353078456,-0.021338084812300245,0.03715393019958086,0.055578934874061216,0.040249613999834746,-0.059627890929338685,0.049339515231952194,-0.013824506543501161
MIA,0.054140188907794484,-0.010243337439764475,-0.018020814728390358,-0.020513492887991,-0.030845159910585906,0.0002540825563490092,0.01554948157759202,0.0033324828342392756,,-0.028799992185831295,-0.006955181783104739,-0.0037132027632704057,0.020070899247091507,-0.0019333560960645845,-0.030494181529091027,0.019395079641151152
COL4A4,-0.02158257486313925,-0.02597664668212043,-0.007871011426579212,0.03177926610052133,-0.005325144180957126,0.020771615587844666,-0.017297857522490755,-0.023519736055795624,,-0.02793706087400059,-0.0315571261922407,-0.009445904333924338,-0.043653996570750676,-0.008124598247243533,-0.04294471725585604,-0.00141988474585569
TAC1,-0.018635831050976034,0.013968041616423049,0.020082291150371336,0.014310769529038782,0.007323329547974654,0.004014499967828137,-0.015162749611434372,-0.04270692636424747,-0.03912561059179803,-0.049510318599813405,,,,-0.0008637518025910094,0.001961415802359716,0.019256165116079686
