,MGH258,UKF243,UKF248,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.07835534417555912,,0.04396002461024975,,
BMP1,0.10027668150564321,0.06227766413565764,-0.014579525096001831,0.017743908703573178,0.01530411307379713,0.00201979424581269,0.06310399935139115,-0.0072698047335387145,0.022604904293651456,0.06882933566297177,-0.03165949059506951
NDP,0.028328272971855764,-0.020795176651480726,0.006068692352970713,-0.021110186467695233,0.024275639594714245,0.038715444089142494,-0.08315622896222347,-0.0033560454186789194,0.0801376258974608,0.10008918936054052,0.0024709759127511245
TNFSF18,-0.01871251429895297,0.02972357431163869,0.04991352796118937,-0.03617471423651882,,,-0.02095790462265094,,-0.015379188596762516,-0.023495580280317806,
RTN4,0.025756094053353773,-0.047105236584454376,0.045400242809664385,0.06566891088718545,0.01986158261243865,-0.01973191249409739,0.03258482400126418,-0.07561887206438934,0.03972529197211454,0.02705807562233456,-0.08197721102492884
HEBP1,0.0013588909819788888,-0.03429142978004688,0.008844266112683186,-0.016130284337763506,0.012480358583674465,0.07277915622928305,-0.0733282985225088,-0.013965643243727833,0.06536527864430085,-0.014773913213203541,0.08068816915147871
WNT7B,0.03932834868450814,0.02386969619335315,0.03719990306402485,-0.0019066954843284108,-0.008295469600365538,0.05797941728259668,0.02838807480677525,-8.396748614800329e-05,-0.050462105100598585,0.006401510595002435,0.04444351354114893
PTMA,0.06444924888910177,-0.03436510665938731,0.010445855958199147,0.1307424982924751,-0.004951423761828891,0.015956729421465803,-0.01700061276982913,0.06991274126515526,-0.00942204962351788,-0.10358135419585529,-0.007887683642853286
FASLG,-0.016485143665438278,,,,,,,,-0.03270048432546638,,
CEACAM1,-0.022889766252281982,,0.0841185153587959,,-0.026733032874652795,0.0482360093369509,-0.030114320907891852,-0.01822827754273522,0.07300224245618325,,
PDAP1,-0.045558784402676494,0.05554868386757755,0.0013714032217990284,-0.0064355984229528575,0.0010290953286524345,0.019941142426442852,0.02134534159129361,0.00655580365347592,0.02451037387676913,-0.006440563474489982,-0.036852487870445406
QDPR,0.08449176252478353,0.04481895269596853,0.023834436450848345,0.030402488136043977,-0.0031331798614274865,-0.08163593839441445,0.013031117188015785,0.03479324941610974,0.0889050752019278,0.015626749684102766,0.0296731593106826
POMC,0.044105276549550855,-0.0004414561838556297,-0.013205283723975213,-0.051859658677929764,-0.010912491025992132,-0.04470522783039652,-0.05678197828519638,-0.029819067490723734,-0.051404162386501015,0.081838193264176,-0.024168344067607758
CCL18,,-0.03890251700449964,0.042685062324976014,,-0.029586555580351972,-0.05548873592263379,,0.037575599362587565,,,
CCL17,,,,,-0.018965792909403985,0.09345687618617568,-0.02679361926341276,,-0.029639316135097276,,
VEGFD,,-0.0017402881306645844,-0.021629335643882128,,,-0.022723276269254526,-0.028258998490566546,,,,
TNFSF13,,,-0.01632219075818291,,0.12508460791948517,-0.0021279375319203145,0.09432571847919605,-0.020469133975117466,-0.039306961611170296,0.012729995847882456,
WNT5A,-0.053131983617493474,0.0496981808238864,-0.011674217586112513,-0.021364183377190007,0.011549011972023243,0.06929281104497255,0.04073402290455537,0.01858680918826053,0.028951942059932973,-0.021329263896616397,-0.015586771963313008
CXCL8,,-0.005383076451760136,-0.008963152869098207,,-0.017263102691082235,0.05493845629864815,-0.038041098757201165,0.08129811882441983,-0.034007125106544744,-0.029254299278764415,0.011709164827651846
GRN,-0.04709748330172955,0.035213085803916654,-0.001677376080283783,-0.040153500542121225,0.013265661122395937,0.06111292224800012,0.041516243528751655,0.04124699012255821,-0.034198884912256054,-0.060741445849886326,-0.012703073747936977
MIA,-0.021577631178918883,0.05356686125883712,-0.025366551407251404,0.02571351462832576,0.02991229233192772,-0.04587093466569591,0.0047654756287338505,0.04655700385025073,0.13098205018439735,0.016033317916139146,
COL4A4,-0.01909180506863355,0.14834500560129463,-0.025976648126209024,,0.03686562195657574,0.05033074929459066,-0.014159140536897409,-0.01562883730945697,0.023721844318713894,-0.01710254453364532,
TAC1,-0.016485134696549907,-0.03433699535929401,0.01532235853492247,,,,,-0.031448971678356315,-0.038963894912103295,0.08010789056967281,-0.006585269465616195
RARRES2,-0.034322878274693415,-0.06856900304053301,-0.0331446616846034,-0.042051553624803936,0.04810323390394155,0.10014060435334071,-0.024885254528401814,0.051400006539315604,0.023051101959366948,-0.017028594415204604,-0.022528096730149706
FGF7,-0.017937986739792536,0.021322047370952783,,-0.046982522678329204,-0.06263497094955081,0.010489467215026829,-0.01260864317380808,-0.03512352726873413,0.1524146799122626,0.11503807561959686,0.0280732374672304
EFNA2,,,,,,-0.021596953382354938,,,,,
HBEGF,0.0356946300991243,-0.04297402323600922,0.011424411881612388,0.06153272037854708,-0.012586285945545263,0.01788164107785712,-0.0075017159036636985,0.07012834984678012,0.025677027901118993,-0.04762423870101004,-0.12706867953028855
CSF3,,-0.04412428715949447,,,0.03247957208444243,0.05109020249152725,,0.0026387659543178747,-0.004846978020542101,0.021746299703253816,
PI3,,0.02184933102963217,0.03764474527999428,,0.020317514686857687,0.09298418233834523,-0.02276554950484548,0.045220363601451846,-0.03095511790463252,-0.02809340313491762,
PCSK1N,-0.026203192879597513,-0.04718327841450278,0.005388633845741636,0.02904543828211492,0.005296706196657512,-0.06063976497357511,0.0027485882031837504,-0.029234408345497037,0.06593348027939783,0.05039813573784453,-0.008218170120805012
NTS,,,,,-0.044245220591357576,-0.0263117893845814,,-0.020636141505737084,0.003387378842647973,,
SFRP1,-0.004955101010143528,0.0639005487100547,0.06008707050752961,-0.024850005126137654,0.0924208348276857,0.008060576841913622,0.04713169186127829,-0.0040991290173797885,-0.0244774537930103,0.004590282722611436,0.046365383271137206
CXCL13,,,,,0.07398805371759547,0.005484477239556495,,0.02844785143718245,,0.062051232048814915,
MICA,0.025195104138269298,-0.04628632290103203,-0.02315582533589268,-0.0021543793376934788,0.010678068925793358,0.04122076709699497,0.18264035642664286,0.03262022359838826,0.06394775084643357,0.06069808641020613,-0.011724076074342102
TG,-0.01909180076622177,-0.03517409962221307,0.032137604047667995,0.05076496740721042,-0.02520079705661393,-0.03240584493789149,,-0.02150763491713283,0.045081224184892854,-0.030745679303357983,
ADA,0.036449778487242006,0.01779755559232828,0.0031444891461905817,-0.01868469755938648,0.009756888166630992,-4.552987416486996e-05,0.017237465804316208,-0.046870367036546144,0.014570797910527756,-0.04668658916082408,-0.05366755281298373
LAMC3,-0.002344707909693349,-0.035228249560451376,-0.005297772244430977,-0.025239043502912492,0.08276303244379776,0.06837774109588676,0.07398737115769724,-0.029185219016651904,-0.005029643631993443,0.09257196077689414,-0.03658284494587269
CCL7,,,-0.013758080298612627,,-0.028425351944136864,,,,-0.03270047269756447,-0.005652411572914716,
NGF,,0.020494356160861888,0.006888150511581551,,-0.03282900587399657,-0.021306653994495252,,0.010413660776815522,-0.0050636539937637245,-0.023424967820902337,
