,UKF266,UKF275,UKF296,UKF304,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.016113806938538387,,0.07607470924009897,
BMP1,0.030126868689650355,-0.02091194315574786,0.011818156257457146,0.009600333071310394,0.025767870425070772,0.050350084406727884,-0.006089858637983392,0.06526077826462895,-0.011421098801891093
NDP,-0.034864899602232984,0.01726747325919098,0.05329256925266166,-0.0067213139783101365,0.051781447375345714,0.014131366499861991,0.007489020936802794,-0.010027288873424517,-0.024695505642700864
TNFSF18,-0.01258238973201955,0.06690034858954676,,,,0.1353933533310693,,0.06714796417159034,0.042272167232531244
RTN4,0.025820365492012824,-0.04443843024948054,0.014678681956049695,0.02560834523989692,-0.1537468937740055,0.01585859367128287,-0.006608409950087168,-0.02326953197849639,-0.013773662781998122
HEBP1,0.005036559307004041,-0.019442160198740753,0.059352824607181394,-0.017993686735953574,-0.011857660317211603,0.05444453811972058,-0.03306217475694883,0.04991630389337282,-0.0498095769635235
WNT7B,0.02268259394157173,-0.038714623212185946,-0.005226262267050798,,-0.03139837175171816,-0.004716781710881845,-0.03260715664624094,0.009350392696993665,0.007058448705512232
PTMA,-0.016108100390798186,0.04284317975885559,0.0179769798000746,0.02229472090585141,-0.1899337773454291,-0.004822334471691947,0.05661964893025372,-0.005894281024316757,0.026824098508203307
FASLG,,,,,,,,-0.02197052388937782,
CEACAM1,,-0.02124223148839297,,,0.06998579657519399,-0.02387816534060702,-0.003545695250715916,0.026784678670148627,
PDAP1,-0.015027290091562374,0.03788033585903998,0.0122273862780833,0.12035743843943061,-0.017847286276709177,-0.018822827865244217,0.012242748865350555,-0.0031704299409276385,0.025110029026486513
QDPR,0.0031899820331101375,0.057984116380264364,-0.02301336892728199,-0.03619792547176334,-0.11216369558641782,-0.06150007805992503,-0.041707122339492295,0.005634370050067015,0.016142474466818282
