,MGH258,UKF334,ZH1007inf,ZH1007nec,ZH916bulk
BMP1,-0.04703538034253865,0.05392808304065024,0.017191279049784732,-0.06509359603894335,-0.010575450410787435
NDP,0.012107744385039492,0.01022599477186965,-0.05160130036034913,0.03283767065570234,-0.09069502439506197
TNFSF18,0.1487273023595663,,-0.03552239782795344,,0.006957280288733596
IL36G,,0.03993187093244427,,,
RTN4,-0.02867510225875381,0.0013845284046297489,-0.030959218937644934,-0.08385982797581014,-0.019152711754144878
HEBP1,0.018652100339298167,0.035144803737619634,0.008056318151128694,-0.04538045060750267,-0.034384612944762485
WNT7B,-0.02217337155395363,-0.013983232103635971,-0.02743351361757991,0.08164658408119957,-0.045293400889722474
PTMA,0.06364446650382383,0.054285600832162585,0.03204779978578885,-0.013870849377238493,0.09079753447676901
FASLG,-0.02217337782230897,,,,
CEACAM1,0.014845133328393262,,,-0.005143226687877658,
PDAP1,0.02658575470291967,0.06018261692392588,0.12291968717009807,0.04285467623660261,0.010426857397486423
QDPR,0.04467064075298855,-0.0022710254935769123,-0.011944282357975124,-0.0347437502948517,-0.011872791645058205
POMC,0.02536167424808109,0.02226536892800423,-0.032528701229985545,-0.02404566943938912,-0.005183504321729596
CCL18,,,,-0.09143358400597305,
CCL17,,-0.011622147550452724,,,
VEGFD,,0.14923809048493278,,-0.002367707518249201,
TNFSF13,,,,,0.03690949877010727
WNT5A,-0.0016015620826117444,-0.0008952748719154147,-0.03542948307360795,-0.025205567015241365,0.0838450600062709
CXCL8,,-0.03744987118420665,,0.1293808973997385,0.03823747737845247
GRN,-0.011520101162059024,-0.01077737550596124,0.017823751184586182,-0.04722428348483666,0.08762744989866472
MIA,0.26524400232589873,0.022185746529359958,-0.009500007298618676,0.04281828516782572,0.01730862164877702
COL4A4,-0.0256794733299299,0.06532903644887161,,,-0.005901370472672037
TAC1,-0.02217336575868644,-0.029325949823103183,,,-0.05224146347498409
RARRES2,-0.07488471101523056,0.040552164784752966,0.06168917967483938,0.066373587274778,0.015253660381708424
FGF7,0.0018020917007217315,0.056312207397556796,-0.045412431233015305,-0.020012083234186632,0.07227287168524082
HBEGF,-0.0065292669132532965,-0.011394986333801564,-0.016741090409094828,-0.21822311902661132,0.10965309365052725
CSF3,,,,,0.06632404669331922
PI3,,,,0.025354428695998167,0.03566271067765121
PCSK1N,-0.06277607553533061,0.02577631712861088,-0.07948707069610639,-0.06147102838131207,-0.03329741789190841
