,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,-0.021684186479626413,-0.01419735693778392,
BMP1,0.040114254143365724,0.0507940868575164,-0.03711540081867882,-0.03310311495751305,-0.014979294350796549
NDP,-0.027865445655989248,0.0698618914317697,0.02364184198801594,-0.004598174218331225,-0.08634259299795606
TNFSF18,,,0.11342349404773405,-0.023948402927164124,-0.0077227310121833585
RTN4,0.02817821091331739,-0.004286490639761287,-0.003229817147479677,-0.069399518037173,-0.054647187212943336
HEBP1,-0.10225609405664901,-0.06928214134571993,0.05647380866382889,-0.003989966521820645,-0.028300003904798542
WNT7B,0.005720622526272329,0.013565512912512361,0.0104182528487009,-0.002288648323066493,-0.018108643881011514
PTMA,-0.001305955011289397,0.0004888760282061191,0.008032423462746857,-0.010640419884468358,-0.007217007109016056
FASLG,,,,-0.012313362828641686,
CEACAM1,-0.022267299310452786,0.0959937502515567,-0.03213260479115807,0.030279527721989177,
PDAP1,0.049047645152209926,-0.015795931782143197,0.05406792738383256,0.017663665468246745,0.014199170204780329
QDPR,0.04537708691247192,-0.05411726875198063,0.05939031191594902,-0.02929043314492906,-0.09111804341241436
POMC,0.0794610305656444,-0.03392511930128975,0.042353226477510365,-0.00613079064134913,0.007563737899833151
CCL18,0.005159720344940124,-0.03536300494755402,,,
CCL17,-0.015797571093184342,-0.020905037688382543,-0.028589347285941265,-0.011160680371943128,
VEGFD,,-0.014481557703074511,-0.030152937304103202,,
TNFSF13,-0.030313166096238794,-0.022723061246772168,-0.030658377700858053,0.004302107693579707,-0.027206683893886467
WNT5A,-0.036670941365111995,-0.02679019495512827,-0.01405996262474433,-0.04624903549842478,0.07157102339564071
CXCL8,0.014608652058997957,0.04401907506607457,0.013577145811896655,0.005284303585159501,0.05598531062598966
GRN,0.0225958327352741,0.001721455698144786,0.04115020272006605,-0.01330236405095917,0.01055674416697765
MIA,0.02694570525726796,0.006449365739460588,-0.0054435495135908485,-0.0039298412257332644,0.030077079622394233
COL4A4,0.06110357201202264,0.06707243075104219,-0.04403957847336408,-0.003471601772998823,-0.018939998877414464
TAC1,,,,-0.014671849214666056,0.004756917201894436
RARRES2,-0.002709933880587578,0.04642954884878224,-0.004239183416614649,0.014971171596256548,-0.018715001399383202
FGF7,-0.023573145034244007,0.031161672240372005,-0.04640734417838143,-0.01632064421637081,0.03340912769556342
EFNA2,,-0.013763751446368511,,,
HBEGF,0.021930401971095036,-0.013256013520180169,0.015747050280057823,0.09277734827281388,0.055909011917093986
CSF3,0.029680873321027215,0.014308926068605198,,-0.011750474693494066,0.03795590602864621
PI3,0.0108054936326019,0.02385963809120648,0.017261855423897736,0.009533152089096815,-0.004390857187711543
PCSK1N,-0.06141564158633319,0.0240681945829493,0.021574568483342944,0.015801994424423267,-0.04580021475190805
NTS,-0.03685408889385372,-0.01676851928080085,,-0.01740085071202947,
SFRP1,-0.009953315916004664,-0.04442003262120389,0.04564659650767825,0.008156550406124393,-0.031815792706000864
CXCL13,0.03146666917973205,-0.02300160728591318,,,0.017068901256640834
MICA,0.010959396243531289,0.04319868322529758,-0.03246752510000194,-0.016420312679032996,0.020844159422389617
TG,-0.020991022363708825,-0.020652264568904812,,-0.02291566696581668,0.06725545612879749
ADA,-0.05418872023643632,0.02539346660698305,0.0370812101413494,-0.02738880343613961,0.011573452257264723
LAMC3,-0.05033638916621704,-0.039803218402668976,0.02078652834167249,-0.03376195801326631,0.009196606010589524
CCL7,-0.023676917718722455,,,0.0558594378700357,-0.029542752230551368
NGF,-0.011767349574430524,-0.013578743470993703,,0.022762284013360244,0.030860389899233516
TNFSF15,-0.023082336087198983,,,0.04775440386338822,0.0026866252585224723
HMGB1,-0.08092048207627323,0.07880222786401525,-0.012577960419532443,-0.008291666184458686,0.001103245721127101
