,ZH1007inf,ZH1007nec,ZH916T1
IGFL3,,,0.005627078112933784
BMP1,-0.02563816854480566,-0.07140644272086362,0.030373505451322738
NDP,0.0009213221000099331,-0.03172021113506967,0.03224640244624734
TNFSF18,-0.03365918030294767,,-0.007863623098564561
RTN4,0.012200070123606755,0.10070622859413796,-0.05589416491602051
HEBP1,0.03926980182421124,0.07744296410560207,0.04204939579948457
WNT7B,0.002599957721254963,0.010977915558699527,0.05998271275899389
PTMA,-0.0013858701432971012,-0.07801138215766613,-0.11909123256220572
FASLG,,,0.10662586586642642
CEACAM1,,-0.026937879556360938,0.04803937671657359
PDAP1,0.12658520417259453,-0.040733946293933065,-0.017447875443063664
QDPR,0.026732375786224147,0.12362044882789786,0.031951054906849435
POMC,0.07369413628137235,0.12278217698204165,-0.0016500631602094494
CCL18,,-0.042466847841498526,
CCL17,,,0.0001908642911264254
VEGFD,,-0.04784365109571195,
TNFSF13,,,0.005156780362727517
WNT5A,0.03893317683808825,0.09850846633128567,0.007396291455430391
CXCL8,,-0.020253141153586753,-0.07235590024992249
GRN,0.04048286440308326,-0.026008709377237597,0.009441472830098219
MIA,0.004255692569678549,0.051381254564067794,0.005108655006628207
COL4A4,,,-0.012900999020685968
TAC1,,,-0.02728644581190343
RARRES2,0.023978054754421267,0.09484191422682325,0.04584478482489205
FGF7,-0.03539786119485093,0.10784268351388246,0.023115280296276217
HBEGF,-0.027171798038899738,0.07056267512355456,-0.050374757534319206
CSF3,,,0.015524768061988796
PI3,,0.08062615447162813,-0.047480015428512615
PCSK1N,0.07516234058060366,0.061082474173092455,0.09439860652352507
NTS,,,0.04709028426529931
SFRP1,0.04648074060462517,0.01615760394140806,-0.031609788436790125
MICA,0.044301918568804055,0.016412264414474673,0.06297990673678602
TG,-0.02398747840879638,-0.06710122936371012,0.057988132853287806
ADA,-0.0058900347076234205,-0.034655727930276124,-0.003897434465000111
LAMC3,0.011420847909783014,-0.14199027269147502,-0.014952306605396088
CCL7,,,-0.004406686016131331
NGF,,,0.002367201975968294
TNFSF15,0.040805568942241556,,-0.02489153669696473
HMGB1,-0.04318097597595758,0.005906680605376524,-0.08623833508025447
ITGB3BP,0.08735685413213531,0.026940172024374816,-0.03420446382382935
AANAT,,-0.0169779796395506,0.010938136774922688
IL15,0.04761141891885094,-0.03344423794073565,-0.00925418483011146
UTS2,0.02660278360931171,0.14391838019524758,
BSG,0.03617935126383328,0.06302417711750766,0.014016312238965302
ADAMTS3,0.03107016136225719,-0.030438698965541324,0.05128796128770995
CD34,-0.05831909914178457,-0.09421551440067905,0.003390091635772328
CCL23,-0.017843109205656984,,
PLAT,-0.04119112467409271,0.014773447115008019,0.036776687366291534
LTA,,,-0.019324433891906863
CKLF,0.05962697314918638,0.12152876150549181,0.09336555119284003
CD24,-0.035023133106380853,0.020375466420534276,0.02907603257001403
HSP90AA1,-0.11721337971758726,0.058972377706200486,-0.13081815737371388
BMP4,0.004572692189710892,0.06174279721453783,0.033915039372677105
SCGB3A1,0.049384274133927104,0.07048494425050107,0.08666482806996015
IGFBP4,-0.03045644807881831,-0.12877696766915456,0.015468951341999018
RSPO4,,,0.04100030479625425
LEFTY2,-0.009914953171525562,-0.05213034307529979,0.061689560979334354
PF4,,,0.07203107049106383
ANGPTL2,0.011607721627720224,0.020051982485264574,-0.030367280310190606
LRIG2,0.06008214950264268,0.08072795487366138,0.009128403270592323
ICOSLG,-0.008370655228747503,-0.0448294485124811,0.06273724400830744
NPPC,-0.03314861371487878,-0.059770113007821,
LYZ,-0.004691666873413425,0.022437914112131977,-0.007370987443332931
EREG,,,0.0026599121351205315
SPTAN1,-0.03616667490850442,0.07129087091274786,-0.010927449635056524
LIPC,0.054794105777845534,0.00951930186925816,0.06723001436047511
COL8A1,-0.054971993264775545,0.04669326795656938,0.011074642438727817
GSTM2,-0.0690161513464469,0.13548994673829368,-0.01155296343743146
IL4,,-0.01338450392877656,
SPX,-0.04394484628929458,,0.05473284748716571
MFGE8,0.040759408167943,-0.13366283166199525,0.0347687480191985
TGFA,-0.05573993296629797,0.12198987047015783,0.08991161032543721
SLIT2,0.07009288932247638,-0.10415249443550001,-0.01741298992080803
PLTP,-0.029691632728588168,0.013044466443708986,0.02236969679523658
APOD,-0.04172937250251517,0.05515280908270249,0.0023130330031859094
B2M,0.06899327259925322,0.07024083362436484,-0.054602025397129945
OMG,-0.035491195653840055,0.1291439190353996,0.14749426568900387
CXCL3,0.009054867372305328,0.11056088267809991,0.016445867542082455
CXCL10,-0.019883287972377043,-0.0887850581444418,0.1098075941409142
RSPO3,,,-0.023239190966290832
NCAN,0.015147247821881444,-0.0685053014338767,0.011393607817591267
PRG4,,,0.01752166437858318
ZG16B,,,0.043289795281641605
TGM2,-0.06433266584369624,0.025606779631964362,-0.02008453787668973
VEGFC,-0.030104892528410015,-0.04669397756262234,-0.0072690867633763215
WNT6,,0.012929579152347144,-0.03499540533995526
NRG4,,,-0.005211059635374335
PMCH,,,0.009244833375114073
COL9A1,-0.03209857696886669,0.05559699530927281,0.014654503107501674
GDF11,-0.037590365573511,0.0801989345101687,0.04069821720388076
RAET1E,,,0.08776177216473686
SORBS1,0.023748243334717888,-0.0102853246718298,0.07270565402906234
DLL1,0.005451344419759051,-0.11952504031408026,0.04249856920511681
TLN1,-0.020264322895219164,-0.024193931368709277,0.009798467222619272
COL2A1,,,-0.033820877485617365
SHH,-0.009110635002724465,0.06318999334933027,0.09950779495414554
PON2,0.03044579130850661,-0.030339292067051372,0.11742206646545836
ICAM5,,,-0.024296568584317932
HPX,-0.03416295279160024,0.03722051116776302,0.11648703247864214
SFRP2,0.010806628740935473,-0.04119198892229831,0.0713673406231009
CD70,,,0.07366734554263508
HP,0.13628438177698335,0.15227517927063253,0.0018232585330125398
