,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.03757984889470047,,,,,,,,,-0.0036847843653477156,,-0.0018277650742066765,,
BMP1,0.011493291456191443,0.07254099514769571,0.022984484940987787,-0.004540879149673545,0.04770590706430641,0.03749639686183713,0.04280950887844183,-0.0005087745100395826,-0.008535524673669687,-0.02276763637887764,0.021837702578375497,-0.04333291711878694,0.04589472408854711,-0.03821783586825668,-0.0541449958091229,0.02887354352522832,0.01691078485446192,0.08243995017049278,-0.07153487236175939,-0.009938663335423085
NDP,-0.059822200276272386,-0.023114976183625024,0.00811668976741112,-0.018251596239205164,0.11962244859957546,0.005860974564614552,-0.000694880051295536,-0.0031958378920653088,0.003860957613234035,0.0016606562583344993,0.04546584347082781,-0.034570068994634884,-0.0013047505986916977,-0.015817122948030136,0.06654778277580357,0.04311699515744176,-0.010791883765166464,0.043493372632403035,-0.07952951618178322,-0.020440803426804675
TNFSF18,0.018350351788292644,-0.029810152395608375,0.0348525153367005,,,-0.014925465048363649,0.08705564930300885,-0.0204523068297051,,,,-0.017614231448780587,,,,0.019250616945400655,,0.05289042058607741,-0.04153094332332739,
IL36G,,,,,,,,,,,0.01577869792689701,,,,,,,,,
RTN4,0.052504923546633456,-0.05723406801293911,0.06558166829849575,-0.01012858384558039,0.012094688347800916,3.134427393536793e-05,-0.056937360495967454,0.03299069248849954,0.06447675606037434,0.10659190146981984,-0.023608689355025893,0.036860175705761125,-0.04507646609257013,0.026738975534677745,-0.05683657015950599,-0.05028941758386137,0.06094650624128499,-0.051282845315325856,0.029632043215023485,-0.032702631773735155
HEBP1,-0.004280189377550029,0.017547785893549613,-0.015939175762842133,0.0025229298913776095,-0.03269593694087379,-0.01585849510702687,0.019637838498667726,-0.019851652334200488,-0.01489813086409533,-0.032624218799612435,0.007956280904564753,-0.02578854361836611,0.033299070861912076,0.02284532239797485,0.03281564391616823,0.06218282647915965,0.01895128503148944,0.051370803870033135,0.05304812416542732,0.03497973033860338
WNT7B,0.030346071588472343,-0.03211427065486931,-0.027782166057276018,-0.0482569281502183,-0.005619134175166363,0.004235704255516765,-0.004253124741910946,-0.019645116317192762,-0.020891455432629893,,0.06278815535710625,,0.020200068782929723,-0.011155522272785136,0.02921141689601365,-0.013112861039415195,-0.014467436867866067,0.06027169346703508,0.017419692465270156,0.18264368532515646
PTMA,0.05212599662770397,0.00662684734560728,0.029573955530745925,0.02823506668397107,0.05878558566305491,0.001109557776376283,-0.02361191166833627,0.019880708249481183,-0.03959051213830166,-0.11212562470604281,0.01740756181282025,-0.10702781462686792,-0.12039607763169859,0.050250547265530125,-0.004358734170691901,-0.13313155858646308,-0.0020818907456290735,0.0458806956428474,-0.15462946432000788,-0.010286887413723082
FASLG,,,,,,,,,,,,,,,,,,-0.026452847377759874,,
CEACAM1,,-0.004615274623326327,0.04133608474393608,-0.013984555054558307,0.02963503681208488,,0.07292980937989803,-0.023663814747041673,,,,-0.03759368407933572,0.06955737092562508,0.054590585735140924,-0.012542792539251378,0.09930358226969017,0.025106821351626483,0.033289467434257376,,
PDAP1,-0.02377337503843119,0.039508592072022196,0.013015528244575697,0.06068468162712079,-0.013600070536598362,0.017042581531592868,0.022412230483848786,-0.003343655766079234,-0.01060369700054563,-0.037675454650838415,0.022804098948655878,0.05075706273818245,0.03896933988705269,0.03411724783318773,0.005921902579330879,0.09894858696859439,0.0004971762570068712,0.05006012413420469,-0.04020535901145333,-0.05036044463146397
QDPR,0.029586855623926524,0.05326246790586625,0.01711279736670303,0.020447824066171474,0.040064593341961545,0.01735390037935005,-0.05488933199336173,0.05151351643601495,-0.045237726805628785,-0.05404400513550491,0.022271253945116764,-0.015309090348820524,-0.1273837013378357,0.011839229333232918,0.08055052977047769,-0.089494638678565,0.025659499274194558,-0.013368495018519264,0.1169343708257927,-0.05242050172342303
POMC,0.023913174605647194,-0.008806789741215206,0.015605425628064612,0.06672204672568369,-0.026000269241304285,-0.028629557055191712,-0.033103519255916175,-0.023731239514863032,-0.02422419392223696,-0.04061737725040479,0.0035878832562277305,0.010200603504971428,0.09945730054576342,-0.029540321791066193,0.0907107821213041,0.008079390335163052,-0.037711036467277526,0.04723752475066602,-0.05099379332400655,-0.06921185249610322
CCL18,0.030964091148391597,-0.03556993334660248,,,,,,,,-0.04910600980998886,,,-0.023984890008729526,0.048354135258486745,-0.05288614382716072,,0.0036297831159453615,,,
CCL17,,,,-0.0007767473019558241,,,,-0.025508008558472527,-0.014741750805725259,,0.020666496980789956,,,-0.028139995609944412,-0.06231709438076296,0.019275591495287757,,-0.023976534974202456,,
VEGFD,-0.00906384151806889,-0.015179524091786703,0.07499785520141013,0.002410611485583865,-0.010280335567325681,,-0.0019679343712812724,0.026282985647311463,-0.018966983605327944,-0.028497414996977662,-0.018685575348379314,-0.03077740376218456,,,0.05487682427040028,0.013651001311826188,,,,
TNFSF13,,-0.0010281430884422694,,0.06795034529865294,,-0.014474587469263882,,,,,,,,-0.0137833460341134,-0.01651985857534288,-0.04003507549447151,-0.038466094656886794,-0.0280617396079026,0.09002071762096894,
WNT5A,0.059439094131578066,-0.021170998032953386,0.030190548189550796,-0.006259066957478711,0.06007510347793646,0.0034860749932709148,0.12143592557926286,-0.06490178308063643,-0.03784194557479135,0.0025920194447458193,-0.01929887947246789,0.0011777705937488824,0.005036401243159739,-0.008833560980039913,0.029928989055123544,0.05027989188409283,-0.007597860938877735,0.007279646140307362,-0.05354571564609718,0.049195978002169176
CXCL8,0.029727431896446475,-0.04521664292622305,-0.028594214263084106,-0.010884101272550274,-0.05874749338376549,-0.020589161865507046,-0.014159770320748508,-0.0480929311836268,-0.01766287984514631,-0.0025336566965238755,-0.017033793214297994,-0.07172037749393519,-0.04222917511899983,-0.058716185324382775,-0.15970207236347125,0.01174877090829856,-0.05828250098232744,-0.07777051978073857,-0.03554823619784574,-0.053004130436873936
GRN,0.03728527652357027,0.04219654251553878,-0.028164688244588794,-0.0006113066560961163,0.022888131622845597,0.01588468305451663,0.07515579647950646,-0.023198291943388124,-0.005790050306787058,-0.07151698953769321,0.029453342485852966,0.018158394744992725,0.05521976871347312,0.0047556838564669435,-0.03185612822274524,0.08973128228253743,-0.025017049217159675,-0.04055876163582189,-0.014006483942030131,0.1003193666889548
MIA,0.018070676882828384,0.029919575033933395,-0.0031121742909608185,0.04757600050963165,0.011825894545926247,0.03004216682026655,0.027986426644699504,0.003843840284529187,-0.021570949441506282,,-0.04143098105269016,-0.08519017953649377,0.012576948944588833,0.014886195428100046,0.15712764869825124,0.03360224477154139,0.021036161710015936,0.09306850695555227,0.04862111468639781,
COL4A4,0.022891837944336555,0.0003060244546701938,0.049679688499173605,0.025960182324607433,-0.011762686759256322,-0.013771930483710846,-0.024746054432510673,0.05868364572929741,-0.019920809076553317,,-0.03143125564964002,0.06187726894124489,-0.030324395128383457,0.02908919983741556,0.02746846803763892,0.01089368357602968,-0.035522249936454066,0.04584296527370773,-0.05049520312345805,
TAC1,0.0825678361158495,-0.0068641053543536425,-0.010749096641116338,-0.006717728948538881,0.0006970919537086043,0.002619921740996212,-0.054770160947922024,0.03603652496830693,0.06914545329750553,0.006328975632135253,0.008070218393850066,,,,,,-0.01655356692524965,-0.031519593260282475,0.08230746072354395,0.05070875678083204
RARRES2,-0.01622296114794365,0.02238371942369217,-0.005387242684887706,0.021734368329441353,-0.05249751164385006,-0.021703141843459017,0.10820405059743195,-0.0020219306808475757,-0.03270679129652075,-0.03727027202317889,0.07074819090688336,-0.06305633327376843,-0.02860766059425088,-0.018113761224869334,-0.0648660019870119,0.0017892875946867498,0.013070145462844254,-0.0456055028232898,-0.09650312659368693,0.08573097771264118
