,MGH258,UKF248,UKF259,UKF260,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
IGFL3,,,,,-0.00833899184668452,,,
BMP1,0.010250217613725406,-0.008700244911064118,-0.07744865495193362,0.03148693640694798,0.10231698897317151,-0.06644381113843643,-0.02118322558760604,0.009580495694150912
NDP,0.10024580032204324,0.06199151585780803,-0.0031194557518262438,-0.015773085194627653,-0.010676974902130178,0.030342352900964598,0.042150706310887395,0.038140888302418297
TNFSF18,-0.022885152519951636,0.0193314080464275,,,0.007167943044246591,,,0.011618783828156549
RTN4,0.09381235458592298,-0.03359966519758277,0.02369307999627967,0.030386533228154163,-0.16729201610221364,-0.03582100992626356,-0.04529287667735849,-0.037834983046318625
HEBP1,-0.017999550246992478,0.024129843213397777,0.024202022454099408,-0.040804092788613994,0.051975909033620656,-0.010916541236314936,0.021639137801843074,0.007778787102825188
WNT7B,0.0038128333629171528,0.008550694560717284,0.05754044617865857,-0.010564216090760496,-0.054098740847226864,0.07497943622644154,-0.03487036743128572,0.06964067872321987
PTMA,0.04527041616974685,0.022804602130700853,0.09394159422513186,-0.05379009934219101,-0.08481705236916492,0.0055415037236056335,-0.030932931742484748,-0.02434237947930567
FASLG,0.07299966737439732,,,,,,,
CEACAM1,0.006238017441310244,-0.024532628545458377,0.07438679258101254,-0.01412225956284146,0.05566470483400156,-0.018489886464457306,-0.01689306958701784,
PDAP1,0.01556084139098679,0.018743632236273875,0.03538429276366842,-0.030449766729374845,0.08523214046636769,-0.010609798939680894,-0.003725759196510774,0.022825340851595353
QDPR,0.04878407140568441,-0.0005571431466683249,0.010713987169953434,0.009219323329278625,-0.13882483006491877,0.03843709759094104,0.04805483068241816,-0.010961340499677329
POMC,0.008094255846835116,0.03045527121400713,0.0088366762753394,-0.028417325761302563,0.010756851432617186,-0.04439548316107728,0.14277522643646576,0.05134869669608012
CCL18,,-0.019245838967203638,,,,-0.03383626542202369,-0.010498720026726034,
CCL17,,,-0.017288859505270687,,,-0.013117679510871571,-0.024386206486205635,
VEGFD,,-0.019509803194879275,0.07351623010511049,-0.013511378373395836,0.08714081273998181,,0.006650780167326618,
TNFSF13,,-0.023102617860389158,-0.012203885385184281,,,0.0611607888913747,0.0829212870133383,-0.02901803992416568
WNT5A,-0.014232187039687668,-0.015793507152707928,0.001241030734035105,-0.10760373339134217,0.1033088509568974,-0.0241725182892865,0.0031297064585369184,0.057330807896746994
CXCL8,,-0.05789829120151207,0.11751979896297222,0.019043011146711898,0.06748614246802107,-0.08821001272473573,-0.12413261110577233,-0.0383135797078769
GRN,-0.0030564411425399915,-0.06873206957936832,-0.06348689100224592,0.029156800214877474,0.08977882257511517,-0.04379068348009858,0.031149284266199794,-0.001357805742445776
MIA,-0.026389151808234167,-0.010147752675791795,0.056444133968134795,0.04947144681247021,0.08517700515575564,0.1460583738198168,0.0708397786342585,0.015288042516783723
COL4A4,-0.002534739509488711,0.010747650658657003,0.022823246470381472,-0.019732148870204292,-0.006569107914084491,-0.00799612099621645,0.049549905882347645,-0.0003251026487360424
TAC1,-0.020161097317830803,0.04248595953613702,0.06167885149460216,0.038276610601638096,-0.07871569333740724,,,-0.005152540343336863
RARRES2,-0.03374761281301686,0.012241038870373101,0.0674302399827218,0.004729496757226644,0.08783081307704535,-0.04600225128763255,-0.07066548263755833,0.07008242326414565
FGF7,0.03303079827860772,,0.018326237197304213,0.0028395140041851106,0.051485500662513624,-0.035041528811069665,0.05630458338430308,-0.0005918826227935505
EFNA2,,,,,,,-0.016055732106260722,
HBEGF,0.021818467966203514,0.01643213241760976,0.04560286286467773,0.05775462719956365,0.056957348159566254,0.0025999735565824466,-0.001787031771639666,0.06512911639720989
CSF3,,,0.1095667237425816,0.07586664037070909,-0.025269611529255998,-0.07013429417026168,-0.032558755023348096,0.010732006885504712
PI3,,0.009822162310828208,0.08718812134226725,-0.04144746458631612,0.013334542632009146,-0.09248761420329485,-0.11074710877086141,0.024367615721047998
PCSK1N,-0.05212250197164629,0.015130989698602012,-0.10103118211297274,-0.06601997682438769,0.007314827735804659,-0.06379960456236843,-0.032381287834170804,-0.03744447719023745
NTS,,,,0.09151861757998234,-0.031059392285514343,-0.030602180798750676,0.001146667386727636,
SFRP1,-0.013163383053931242,-0.00977225929325999,-0.020444384454290705,0.07836002949789239,0.034673224827675174,0.04538200795506513,0.051589598603045767,0.029312313903088062
CXCL13,,,,-0.015275612428196009,,-3.2668038666799796e-05,-0.041251752789379134,-0.027671744625435486
MICA,0.00601058735165336,-0.06348497579258762,0.1144868570790718,0.004275951580130125,0.11803959944089719,-0.003955969537698388,0.05824679867248415,0.028249087453605003
TG,0.018015762559916985,-0.010129114465257173,0.0137425203278489,0.010983011545719226,0.03327260426854812,-0.017430116462110297,0.04484948737124228,0.034054260966359745
ADA,0.08506431683446154,-0.014272205926044142,0.041269305405502506,-0.02969144298843878,0.0462273384386087,-0.026351335302553226,0.016321844518686325,0.006631142284762005
LAMC3,0.01518632047193082,-0.021423019938229232,-0.12653717714224003,0.027117528416736116,0.07432036881644412,0.009031530810523308,0.019725212118578788,-0.044269033643502397
CCL7,,-0.019473346215614327,-0.019628169041493213,0.050952540474761256,,-0.019660377953511853,,-0.0043586538986253405
NGF,,0.006584132078073185,0.1085111051700428,0.01234600545263716,,0.015264965457978187,-0.015839916054821976,0.052965018682226854
TNFSF15,,,-0.06464557510469239,0.009702228275081284,,-0.019166660834635203,,0.017545335138695817
HMGB1,0.039545256546575445,-0.00781556035367405,-0.08477531445003396,0.02461518598646794,0.10671124246067605,0.011095735979528112,0.007604463429214066,-0.020526598919608553
ITGB3BP,-0.023092856033653318,0.00045706544552265917,0.1089968416845693,0.013657107294786874,0.1341200741321104,0.07578069698466827,-0.00823391789826854,0.054422014531414875
AANAT,,0.03348619830482693,0.021336511547361443,-0.013511380302221241,-0.02279387344360883,-0.01724769893434453,-0.021606666790081074,-0.02083046066472037
RELN,-0.01935695226214332,-0.006536049921488728,-0.005874928409487632,0.017563774030874967,-0.032761014846082244,,,-0.012538158353046173
IL15,-0.05395245199383128,-0.03254432278967372,0.02350717615228712,-0.002871258787433265,0.08583024178170336,-0.0026447699629887733,-0.01874520630587872,0.0542990269425858
UTS2,,,,,0.16312998559813077,-0.014687677960083105,,
BSG,0.0032639413585515116,0.07564449122489889,-0.010570243717607218,-0.05771224360211096,0.04742552039703036,-0.0253694774245368,0.009819373993361531,0.06155248078411554
ADAMTS3,0.0063025813365312515,0.040278634218877445,0.10797440503874436,-0.019863026236498646,0.16385393979333002,-0.008177589105126186,-0.017341038119974814,0.10764683478093799
CD34,-0.012956083862679234,-0.025859479854014274,-0.03923643370647669,0.03354946839810923,0.09917868465781332,0.028873487569476917,0.04593013189357564,-0.04928453407208241
CCL23,,,,,0.034250273223208255,,,
PLAT,0.052837987628668835,-0.031332856105977316,0.018510443032283826,0.012106380791837554,0.12624116602032795,0.04057402982973065,0.09486628702049757,0.028201453819078882
NTF3,,,,,,0.07556491154418991,0.06790261623696237,
LTA,,,0.07775129736682394,,,,,
CKLF,-0.0271573858445273,0.016431794066782485,-0.015012722615115902,-0.017154781398480694,0.13980871391631342,0.0672001870555905,0.09957881615966731,-0.01461661322290389
CD24,-0.007144122414796945,-0.014942179078150345,0.03406776858758064,-0.010412352382489118,0.03039613927639422,0.06851406342006006,0.031756167939975835,0.06275511778151754
HSP90AA1,0.03861562011990179,-0.06290639854655225,-0.02293073116898317,0.0035432593855626257,-0.12662587498852138,-0.11495061062314403,-0.11625124504644173,-0.08156034513343415
BMP4,0.05457689347851392,-0.006043793622586646,0.036628323175685186,-0.012476105588769031,-0.04634796886239202,0.051669543026669734,0.01876366241543376,0.015258684521305313
SCGB3A1,,-0.01947334426830572,,0.07328883627094718,,0.014094503271746786,0.009501577032112922,0.007399298363555901
IGFBP4,0.0021781384854042624,-0.004522126035733019,-0.11365432624819476,0.03369751221520203,0.12365512974865014,-0.030554309545481283,-0.06165701572593665,-0.026138591453966728
RSPO4,,,0.016688032745533075,0.0008483245457793155,,,,0.048690628867065856
LEFTY2,0.20719288156625124,-0.0024416842194938484,-0.0209362685674075,-0.015753286488531703,0.14777611294368795,0.0885531648381022,0.025460003627697736,-0.0006817345593681221
PF4,,-0.020200468749374666,-0.025602625579542685,,,,0.09521422166312192,-0.020575946260549316
ANGPTL2,0.008576171680219395,-0.0014944808376214055,-0.016189018010586042,-0.025436213908531055,0.1272270343187201,0.06677743037673216,0.06886356159394043,0.04022472048205788
LRIG2,-0.017239192192816864,0.015726829132214713,0.02698586886529245,-0.028741688945400166,0.0519189661883054,0.021536876135762356,-0.007060407693137892,0.0503977108295716
ICOSLG,-0.05152618833381305,-0.007849849225792523,0.08108792751711742,-0.012323845993801397,0.059542373227421355,-0.010422719956937764,0.027138630262238127,0.04585887884130153
WIF1,,0.06136708684721088,,-0.03176202493149364,-0.060051066851714796,,,0.015941605597231994
NPPC,-0.0036842508622816437,0.05209892640071763,0.015486098391805673,-0.00962428047966178,0.0038393055147462646,-0.029349398856975687,-0.02784401817740063,-0.04944875164385289
LYZ,0.05990270756845847,-0.043340402958498614,-0.04001302074722944,0.06814981023943524,0.0738679399331972,0.03799123436231704,0.01926880312337033,-0.03559290833141154
EREG,,,,0.0013961433071603463,,-0.02914355806935131,-0.011790056951939853,-0.023689009415859958
SPTAN1,-0.04143066432554682,0.02021240179787965,-0.0576362189952947,-0.001184564612046991,-0.06560148156725641,-0.02823322522999664,0.012066521175482191,0.045384692411020215
LIPC,0.036010485853017256,0.031156001679457035,-0.053616815422393264,0.02226560251865657,0.09298476524719375,,,-0.015649033701163752
