,UKF243,UKF248,UKF259,UKF269,UKF275,UKF296,UKF313,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.025326646069700698,,,,,,,0.05518498648521595,
BMP1,0.01113898799520874,-0.00562275251827913,-0.03987769921186592,0.1645272218264577,-0.03337828854712728,0.061559524545100275,-0.057496543378542625,0.06394742847122856,-0.0017992859879904111,0.08820310630720565,-0.04572497040112475,0.04991855613076651
NDP,0.0069077580778519575,-0.04746796897074119,-0.03554326732056483,-0.05274403278778363,0.031677299234063754,-0.026630167189852748,-0.0409799541143832,0.04828721199510713,0.002212512081091419,0.10927030670208793,0.02420701706102854,-0.03175497182448126
TNFSF18,-0.0356348998204894,-0.0371789102780342,,0.17073456365473363,0.028068465880786573,,,,,,-0.026865393127557768,-0.02430873417830757
RTN4,-0.020178132287677668,0.03862729646130188,-0.036643949254729094,-0.174491322885816,-0.0015739022057203167,-0.07809837538110144,0.001975327796215944,-0.05356261766200365,-0.04603555569638325,-0.10744009731164185,0.08030469281770815,-0.07231569377158019
HEBP1,0.03292524906679675,0.015838263727694,0.010480969278313946,0.06959876965696923,0.08115194378309668,-0.0010943504786941327,0.02808171945230761,0.08209454046079577,-0.0033423874195719653,0.04874490118455357,0.04223427175704208,0.016405422726613005
WNT7B,-0.03369045822010118,0.02230756236843225,0.0041312918588192445,-0.06956229210163957,-0.038006746941555314,-0.0397073437076911,0.014757618876169436,0.009556424801950847,0.029488667051288064,0.03865212466200143,0.0634735912526525,0.03484162053817454
PTMA,-0.02090660021708498,-0.06750821324733854,0.06523924835687685,-0.1465755607404507,-0.002131500072311681,-0.012261385988742358,-0.12348743239246766,-0.14123616026441974,-0.08732121893713253,-0.041302215675067235,-0.11502335757083255,0.007870457023649278
FASLG,,,,,,,,,,,-0.029333566109551224,
CEACAM1,,0.02211591646887109,-0.012223177735044305,0.13745646349236493,0.020062014740354336,,,0.065358768643231,-0.033149176989688264,0.09605671953288422,-0.006858211785181986,
PDAP1,-0.036868964798212306,-0.05665207093335047,0.04375986127203123,0.14278631939112865,0.027009700425437475,-0.04533183277655934,-0.0673913743292121,0.04779592868082592,0.007666110592133549,0.03627886813702444,0.08702101620689028,0.023243905834515324
QDPR,-0.0670603734571611,0.0035912060646169923,0.050196214557026844,-0.1858577050144051,0.05564671663737667,-0.05937374604211626,-0.04344245770101096,-0.11099000169679099,0.03766775210776731,0.00960531733556502,0.0851361291112562,-0.07715191591995484
POMC,-0.011941376009250756,-0.01348367991881703,-0.030730017499055365,0.004439979336151718,-0.015385123256030635,0.029318461020043887,-0.0033599440524570176,0.07782395684123461,0.04565726266541472,0.05251530437294559,-0.02450795478984201,-0.04942658087014485
CCL18,0.06084441589906282,0.006331295146669179,,,,,-0.040860199477238936,-0.020824170772640763,0.10882948421644567,0.15031847200875062,,
CCL17,,,-0.02404464415003336,,0.03408886826249929,0.006971877174400318,,,-0.023517736608917136,-0.024007423302511738,0.02195055567421305,
VEGFD,0.009822877409796914,-0.031461081551723474,0.1051169623571383,0.0653477570961951,-0.01761879039717581,-0.042259376868723005,-0.02062765656759437,,,0.005104261288426121,,
TNFSF13,,-0.03040559856922062,-0.016585457399666655,,,,,,-0.00570937585010191,0.052620213703196125,-0.023373563845286858,-0.026444435395783682
WNT5A,-0.00019687819331651264,0.03010663402266244,0.04304126780171374,0.1016140032549428,-0.00011070519761645397,0.05437275473279,0.0018078468181087198,0.12451424872103206,0.004548174837453242,0.0025457715476175117,0.02553977704211462,0.09979636046750946
