,UKF248,UKF251,UKF269,ZH1007inf,ZH916T1
IGFL3,,,0.00812218518524729,,-0.014719732807485238
BMP1,0.05886644172512242,0.004605150739252324,0.008747972902264246,0.08450574588613066,0.059045746927843194
NDP,-0.02677843097864627,0.053533335799424014,-0.014853642995527053,0.05224991708200467,-0.03483805131794025
TNFSF18,0.04319529509738319,0.04485022304568406,-0.023789769259574677,0.09502760469415529,0.045542563225123865
RTN4,-0.05721942506539141,0.01790590968388245,0.009717491211369098,-0.10023010009122424,0.036489523308625746
HEBP1,-0.054094230113382644,-0.002279579544467721,0.016174224986618514,0.0037039473537258194,-0.004456928501680735
WNT7B,-0.03121418242903092,0.006327761291544395,0.11473439474217675,0.06220503495102273,-0.01746878774418717
PTMA,0.003171679579412698,0.036508427487766344,-0.01904493649529943,0.030689422174144526,0.01393155815146807
FASLG,,,,,-0.012766419242222537
CEACAM1,-0.0204224274770446,-0.01152218542228738,0.06929940441527682,,0.054666466437144484
PDAP1,0.0297793425488505,0.0075639245879252776,-0.011567816449284975,0.06809053695233669,0.029736747400437042
QDPR,-0.012202791440497159,0.035194333537320335,-0.09026427182362826,-0.02953870187702799,0.02442954067647834
POMC,-0.003703156328171346,0.011516509620335987,0.05894184548718613,0.047802457423266845,0.07479814684189899
CCL18,0.030713481200894264,,,,
CCL17,,,,,-0.011571325123730446
VEGFD,-0.01124299112387765,-0.016503218928669124,-0.0268384179652797,,
TNFSF13,-0.0017742549130800418,,,,-0.01885450846985388
WNT5A,0.004074614505369295,0.04702085470368326,0.004238771486719273,0.034835808115002045,-0.02171573284548733
CXCL8,-0.024856546644838065,0.1276074983771112,-0.00034038078268721516,,-0.04008343707144172
GRN,0.1035580060211917,-0.04216435327967718,-0.012189324188755945,0.06306889250201678,-0.021814226193117323
MIA,-0.015387422718082373,0.029380894482439628,0.07888559460657961,0.08590638407133598,-0.02328183242748798
COL4A4,-0.0306075900759158,0.027610019485542012,-0.01578688602088697,,0.01739997747364164
TAC1,-0.05149001562545187,-0.008955280708531601,0.04017853549449201,,0.011325296198162436
RARRES2,-0.042953667434267435,-0.022334863920838104,0.014328617586105208,-0.0034370920796236064,0.013745895261604711
FGF7,,0.05045146113715693,0.007757285440829615,0.13167142358273257,-0.01267148709106316
HBEGF,0.09143860799776805,0.028724391069027095,0.01818545531519068,0.12464849122565108,0.01848387438342808
CSF3,,,0.006317261630441671,,-0.012182820267696091
PI3,-0.0011648837825402368,,0.06339658165453624,,-0.02646922109644776
PCSK1N,-0.049352527210967716,-0.046529887008475546,0.04953137769472653,-0.027610529476134554,-0.022615612347340018
NTS,,,-0.002261083404451725,,-0.018041095552253795
SFRP1,0.01602162314163821,-0.017587274252294106,-0.01953837974936148,0.07189194835215289,0.101030576605298
CXCL13,,0.018051371786730806,,,
