,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.004324725374117489,,,,,,,,,0.018120464657105803,,
BMP1,-0.08682506191827989,-0.038314375685787314,0.008608522899093127,-0.009609441011125278,0.010300584829811733,-0.023504251446016162,0.01933601908632241,0.09685874999632318,0.04653794032952302,-0.0015504433036941305,-0.016540237452028077,0.018872334953039176,0.06770128411915674,0.04345632700312381,-0.0419161788399921,-0.0008182224556271532,0.009186981083312453,0.024839489750065776,0.061579952369580276
NDP,-0.000498637987132106,-0.046668673395133004,0.038476506443226415,0.004066808893827929,0.018769444996197593,-0.01769283319478204,-0.03541885469931894,0.05401711517687468,0.02539367599408317,0.02166794917714522,0.01798087176903535,-0.015626869769060726,0.051480628341327904,0.0032747944984568224,-0.0063330994563544915,0.0961432171879308,0.0487403646846462,0.047808556139231274,0.09265010344620322
TNFSF18,-0.026663111929479965,-0.02072418218138148,-0.041319817816546284,-0.011070906592366777,,,,-0.03219961478135495,0.037882457294500384,,,,-0.024507791638635652,,,,-0.034196779496419895,-0.011644952696810052,
IL36G,,,,,,,,,,,,-0.026159300861511522,,,,,,,
RTN4,0.024014808847236287,-0.025777485763734197,0.02567438531601214,0.0058832545730679135,-0.03653551851078593,-0.010733702942685719,-0.006723358173465608,-0.0896516440665649,0.00721429039430684,-0.032831278953881486,-0.036497588318565845,0.041104653103788164,0.0024658718006902404,-0.0353935850312993,0.006866129191021084,-0.030601166461837907,-0.009585353733914361,-0.03098792947297622,0.001987962902813355
HEBP1,0.062010187353896885,-0.0016864714765105814,0.039602938187658386,0.01805034852602726,0.0620302861674015,-0.005002644815139256,0.0034294847030723096,0.029481755980957376,-0.025735819050295643,-0.02333877451591496,0.030684863407535894,-0.015915206398595567,-0.019923078906684606,0.05070277467465575,0.07060035942205628,0.023580489118210382,0.08011682306955621,0.03590686636189848,0.04197351334321563
WNT7B,0.057948529962011136,0.0010581572218402657,0.06768392127587336,0.0005432407217207499,-0.00650798009754203,-0.009247146836614884,0.04368030080189484,-0.001327630043314959,-0.05691881049397999,-0.014267906872433875,,0.05169654888818789,-0.026980686501090114,0.07953605227741818,0.029049867831014268,0.05135854909494764,-0.0032547805930174946,0.06035637406666863,-0.05397490838669149
PTMA,-0.062003253977247465,0.03878515299670346,-0.0187515723098208,0.06248880156322033,-0.09512840320373925,0.06338429329931959,-0.006412162638043779,0.018305792320606484,-0.029017617130460693,0.08430565730082579,0.08910134029085472,-0.015331362856285495,0.1173243188199589,-0.06629536582895193,-0.03550433822670612,-0.05578923107206225,0.034421673430246935,-0.03649553076783177,0.08682477917804826
FASLG,-0.0037848841657331404,,,,,,,,,,,,,,,,,,
CEACAM1,-0.018163015785505318,,-0.026298931641822426,-0.028223613203071977,,-0.009764970016722574,-0.02193572076918841,0.013175794804543903,-0.031230642280318476,,,,,0.040269087541742146,-0.0020963328320907798,0.031061097980120453,0.03518515323520526,,
PDAP1,-0.01930815415071938,-0.03597113284538002,0.044602729330551594,-0.014729728589581426,0.04993084880342104,-0.0283310594341626,0.02714415654496146,0.005559585460030748,0.015976731402746056,0.020768538483038296,-0.027474266276935385,0.030488553755247932,-0.004318757950960783,0.0006836825844524852,-0.06739193367594783,0.0056065222604720875,-0.03511843405030755,-0.053849552038511744,-0.07619867899153329
