,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.04328274693500894,,,,,,0.07182181042393235,,-0.021161335823776245,,
BMP1,-0.004521228074047245,-0.07614762656199538,0.0016677283768403435,-0.014307358732884405,-0.04256903594305108,-0.0838521075685143,-0.29662861115919364,0.025575752198212745,-0.01070323177413547,-0.05574689039470328,-0.14451448078823426,0.02688782411471255,0.07347216980829223,-0.004982195654893079,-0.007647743182499535,0.02068136409618265,-0.052185655399668275
NDP,-0.0887858434588597,-0.06159596281706614,-0.012632837058491454,-0.052915892344728224,0.05816271126353219,0.04598526853530732,-0.13321515580115048,0.016407145992115554,-0.0015589581062087476,-0.048616950618656306,-0.03567503453998236,-0.04413796321708304,0.014265962443517811,-0.011042605135850684,-0.018232509571877727,-0.026423344837318227,0.040574404534984045
TNFSF18,-0.03885189165804216,0.03725340341293174,-0.01456868674467403,,,-0.06607243053341313,-0.0755028013015218,-0.025264585365383327,,,,,0.14083986991660155,0.0579547368421965,-0.024651842550332443,-0.07241492139985384,
IL36G,,,,,,,,,,,-0.027460341540868603,,,,,,
RTN4,0.2977467462109625,0.04699106454107552,0.048577474804717725,0.05404213524234201,0.12445279462141011,0.23070500547628855,0.4135343099554811,0.040833474657175316,0.14451564397284092,0.19857052587821458,0.18020557233082618,0.02136863540574435,-0.0375076393877239,-0.02735735850736198,-0.006117930389917612,0.0656040785355696,0.05627556363621851
HEBP1,-0.08422400118351285,-0.02174691487524241,0.04432024484276679,0.019140694827694548,-0.03493093118998377,-0.07992119293632596,-0.1037017367670805,0.0146688937621594,-0.0644264561316415,-0.11045333804453682,0.04159511833729159,0.06625078679643977,0.014641533443524436,-0.024745121238749734,0.04450941688944621,0.055689918096829834,-0.01393884486180167
WNT7B,0.371261294922295,0.03546733944272664,0.0011634343623934075,0.15668642381594383,0.016591351928938777,0.10703647396716358,0.36329598855901324,0.002081080726337638,0.14602046776764271,,0.08347076188598823,-0.027502557849462587,-0.0027819517746735345,-0.016517584394557003,0.03722305621222272,0.018965718785303908,0.02686487640562102
PTMA,-0.011325424110319718,-0.04488715586653527,-0.015652216110840663,-0.019113124723648622,-0.11457288939456002,-0.18091724734347264,0.11831438547060334,0.06502361313032831,-0.07767578440893938,-0.19712213777628387,-0.23476186883227848,-0.02319314556433449,0.0193065259285464,-0.11711234928592078,-0.03545561260004863,-0.0012860148356580107,-0.09110478909338635
FASLG,,,,,,,,,,,,,,,-0.029120042711777545,,
CEACAM1,,-0.011828546335318222,-0.01942047715596452,0.009808766500905003,0.014277669113395945,,-0.09098587504089264,0.030688570209040856,,,,-0.024664734397444352,0.11379114152068676,,0.01354950330685956,,
PDAP1,-0.05521115332120141,0.018718122825697438,-0.024840183199939,-0.01159344141293372,-0.0255725200602429,-0.10728232468166862,-0.24272970341773803,-0.0035322948210271795,-0.010110503039813156,0.03891490281584231,-0.09000229452246127,0.01927407861356121,0.054606380976786516,0.049414950312811276,0.026098809547989776,0.03645592183424868,-0.028090982851237383
QDPR,0.14043630575003324,0.041184214507927606,-0.03068079038924064,0.04753824719940735,0.10731906227897116,0.029017420370158222,0.049851486008937816,0.03091573778414526,0.003783103260270131,-0.1918981737331105,0.03322632383625371,-0.03325559827405215,0.011972003782255523,-0.04339528153304103,-0.008220404746638432,0.011608427081125663,-0.0016705629859365407
POMC,0.11780802846299453,-0.008584991162984857,0.02936476323402962,-0.03602025850923422,0.030207152566091588,0.0369034173485346,0.055352419049174005,0.040970380312420056,0.029293997459406074,-0.017800504058363927,-0.015092737021732439,-0.05873760879732044,0.06812336019424087,,0.045066628353460765,0.04407705415424253,0.05516968899266756
CCL18,-0.0022477923017846127,0.1274973106912923,,,,,,,,0.00169438843085286,,-0.01748770221492221,,,,,
CCL17,,,,-0.022419327442632503,,,,-0.031509856814315645,0.04250103526525693,,-0.02508580159641549,,0.17048534489001768,,0.021025727293311574,,
VEGFD,-0.002816608973489119,-0.04642274931727514,-0.028337017078632704,0.04704923838638673,0.04814714464274861,,-0.07125370887477452,-0.0010795432506195593,-0.0186322940763636,0.022544958758286403,-0.026885230561859225,,-0.029622857830642127,,,,
TNFSF13,,-0.012794215409372965,,-0.01546435031056357,,0.007471664592046686,,,,,,,-0.013093167516324252,,-0.043006898139131784,0.03358782363253009,
WNT5A,-0.04895579033898083,-0.046817820206172645,0.006006727908962497,-0.02238294666122824,-0.020991555888265616,-0.10473834246996337,-0.24040757799680262,-0.010708514242897626,-0.07268414825632552,-0.024651441636460082,0.01640146862366065,0.02088416403840417,-0.029553745898344162,0.034688637504609814,0.03863210004201668,-0.0027364778979443306,0.02310205651189092
CXCL8,-0.1261724631865175,-0.007369902705481278,0.008819790068951243,0.04479806640094747,-0.10831823846915213,0.021128614883658744,-0.1222108289863049,-0.011254655599487915,-0.017351202402990186,-0.07402239495505844,-0.07190881411646598,-0.030789853069748928,-0.03987706997408863,0.024955946205832826,0.01828171412391827,0.030730058027715126,0.1461032619683104
GRN,-0.10058604784604198,-0.1236797140496722,0.02401162715545449,-0.013135805241672582,-0.10493663047746908,-0.11189349303182014,-0.29804049321882503,-0.022481585899956007,-0.05983614222060856,-0.14844847882829162,0.06376067353127529,-0.005251237797993153,0.07432358508941861,0.03532998054377267,-0.10275887397794338,-0.009654130420513819,-0.08955716787732736
MIA,0.0032409279497409753,-0.01258144680127351,-0.022358202910844113,-0.008936594900967902,-0.056140940076941225,0.014666522133147853,-0.10208149991286164,-0.02302577905670914,-0.021190310587267842,,-0.017518685891236608,-0.055474091160854035,0.016751266576000828,,0.11392796715077967,0.12412543700842164,
COL4A4,-0.059097338157623636,0.02071699663055264,-0.025836803229145444,0.026067956744878024,-0.02144556448356214,-0.022166134771539687,-0.032539457071872196,-0.03289726538725444,-0.010320459270474789,,-0.03571730468822591,-0.02210991968942941,0.06789862402972315,,0.03638712349224735,-0.0620323776556454,
TAC1,0.40287566305740163,0.048574201045004026,0.05315798779320277,0.04196480955180996,0.09662159093037215,0.20052020951572747,0.3811750923480839,0.08793423620768456,-0.0306874517773894,0.1726575240534735,0.22097956020793397,,,0.09886715486612742,-0.00951370222287858,0.08730331268098021,0.10237505668344149
RARRES2,0.08014899738757487,0.07216743800261864,-0.037762439161290656,-0.0514649980792277,-0.14532480483265553,-0.10253228640966584,-0.3593675205897199,0.048567934993683524,-0.00046145001858878987,-0.01640188856124014,-0.11777063482990324,0.0007139209823742193,-0.017267661313797332,0.13989262665110755,0.05040757500424263,0.09462002579910753,0.051823698791155295
FGF7,-0.05731458864824657,,-0.007888615672211474,0.021249054894369547,0.08694747139039714,-0.005903242482876735,-0.08271700578227055,0.05563666010616542,0.013059027818786158,-0.03173007308861661,0.012763184013197655,0.020120618861799187,-0.0087251681989546,0.02272338601465147,-0.004596830226917258,0.05318598733097542,0.08093927564266042
