,UKF243,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.06507020963685306,,,,,,,,-0.019010181726290827,
BMP1,0.04550540165436519,-0.055157661289122056,0.0010537834887619868,-0.03754466433291851,0.08819459310919221,-0.04448117890229714,0.004107272127373008,0.0059488824738430325,-0.014457808158152936,-0.04550892045356592,0.0030110058565972694,0.03845296684193548,-0.008041353599037364,-0.04988035927748702,0.10913692495743989
NDP,0.017735379192147113,0.0037834954130576363,-0.041239400340489944,0.07322327939279329,0.03806978290178707,-0.018733807879897153,0.02625660850317522,0.004689364540246513,0.04575459953404526,-0.0016081836791034152,0.07681147992875911,0.06421460508920263,-0.041030349477412145,0.026652597239954685,0.04115341182845602
TNFSF18,-0.03510657297683938,-0.019420622893176247,,,-0.0152637845094412,-0.035923594069022215,0.022392392245115918,,,,0.07751651798679192,,,-0.03206677790062576,-0.031747229431251967
IL36G,,,,,,,,,,-0.015968596549250404,,,,,
RTN4,0.10552106806797282,0.0068206296059792875,0.04639717901006909,0.08691595064581122,0.13122182566543716,0.09021862471479823,0.05879453323556218,0.10969243241572321,0.11622310409033569,0.013642159252247774,-0.09128048784943568,0.039759543187184415,-0.009196794158136493,0.021433990886020476,0.020560909822742765
HEBP1,0.08483665236456593,-0.018135106743264393,0.07467029655722925,-0.0071579744805958375,-0.009560063601996339,-0.04029748638887473,0.005524823890597745,-0.008318778789435769,-0.1514009776763196,0.013888321409907124,-0.044546381384229575,0.0075580785447945205,-0.016037885004874287,0.07563415878126531,-0.008872017409333048
WNT7B,0.04461271300020703,-0.0016759705754195464,0.0723447542214472,-0.00010736749252151504,0.048793693966090325,0.024489095788201076,-0.03576529284318464,0.001502124784189129,,-0.017551327851040344,,-0.03093602627052985,-0.019463673502482744,0.07291523901278299,-0.06902833322799433
PTMA,0.03786833453457189,-0.056582303313608334,0.0011426294566135814,-0.09523380736404652,-0.11546914757361765,0.0038466719479011806,0.038585957144393265,-0.08594691938866508,-0.17661455063287934,-0.0035428989867902867,-0.08258247504434128,-0.09565027040819096,-0.06180020705630307,-0.047444784959162364,-0.011953774298257072
FASLG,,,,,,,,,,,,,,-0.016487524125794826,
CEACAM1,,-0.014296299483007396,0.054023234125336536,0.007009392031822944,,-0.031328984986224544,-0.03123064146000633,,,,0.016578152763415087,0.07670941653473023,0.1012258482911715,-0.02293996824452984,
PDAP1,-0.02147818134365849,0.07427865084480684,0.0046515619467743085,-0.023663477048649628,0.032327511414096774,0.00953727155926457,0.003795401495016236,-0.04381827305758448,0.00927525990956827,-0.010117823184157717,0.08145491252028392,0.029970938420367153,0.0032370770665079047,0.029489283759658938,-0.006186660629118156
