,MGH258,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,0.04620068193045681,,,-0.01636014647749378,
BMP1,0.06994761778949725,0.22983409443145184,-0.05419806239322559,-0.033447911281541,-0.0064012244369659995,0.04011165360304699
NDP,-0.0278595514298264,0.025494701266246395,0.07169959947861118,0.08044189255257803,0.02131726246268586,-0.016603716273505948
TNFSF18,-0.02063460715720002,0.1622037172560545,,,0.10054027709611343,
RTN4,-0.03332555447398502,-0.24222659880789146,-0.05016806250361592,-0.03948659601411221,-0.029420885785531186,-0.015041994660416893
HEBP1,-0.04378105201900801,0.10945448401423934,0.01702720817544642,-0.0035311403363697145,-0.01715252990477417,-0.004716953342083303
WNT7B,-0.018178442611624955,-0.04201471769880498,0.02533759923213972,-0.034870374828658714,0.02774001767177214,-0.02538518431467779
PTMA,0.014161407949811411,-0.15319565151265405,-0.07112054208172858,0.008881083174780566,-0.0641262563558106,0.03336414294348474
FASLG,-0.018178447750624115,,,,,
CEACAM1,0.012927643978704854,0.0642730477543055,0.07896828676901574,0.07834304210101263,-0.024243202371492495,0.07220376519533424
PDAP1,0.029638308375414393,0.21484562338278632,0.002700655756531651,-0.005879062722887102,0.00979286672834606,-0.005475661383623112
QDPR,-0.07479181791916284,-0.2341426143085967,0.027719043949248786,0.009255279154042654,0.004342643535090214,-0.014770393196023166
POMC,-0.03376600088683448,0.005696280952015836,0.020155043938711564,-0.007414032223909728,0.014734173451095858,-0.013672291774160428
CCL18,,,-0.0328121713095386,0.01849175231239657,,-0.01635986619736021
CCL17,,,0.05477233126068379,0.008407656203541574,-0.0215699080864018,
VEGFD,,0.06441196724650333,,0.0778112089882069,-0.022749595493716388,
TNFSF13,,,-0.024409031284889023,0.0051958025524844855,-0.023130936935062192,-0.018919754264881627
WNT5A,-0.007834123268797566,0.15135760928511197,-0.003299622946089407,0.0780257070863191,0.007004067245025003,-0.0014493921547588653
CXCL8,,0.14412877910939748,-0.005175806418201062,-0.1201388604027351,0.0390684326577891,-0.04197842284822038
GRN,-0.04625496291651225,0.15937600133239233,-0.043784773600800395,0.02298964427476859,-0.025861948196498712,-0.025614957965554214
MIA,-0.023794020175303483,0.11035676168276853,0.04986803510581,0.10852133014095294,-0.030748281731930314,0.030467653401035702
COL4A4,0.07012804873274749,0.12620051299537702,0.0052984510848889076,0.03702545520910418,0.01487366682989515,0.024109843116617485
TAC1,-0.018178437860478666,-0.14601019362007187,,,,0.021091327557269487
RARRES2,0.0677921614256454,0.20992461097598705,-0.011926879253924853,-0.003092080795283873,0.015803698602145786,0.0027982320760732626
FGF7,-0.01743753097251622,0.09320379184223224,-0.03980841741210803,0.04854689215765,-0.031511276338251584,0.06923608397666249
EFNA2,,,,0.03432294057897616,,
