,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1019T1,ZH916T1
IGFL3,,,,-0.012644888742877378,,,,0.0005282021419984315
BMP1,-0.03278250760017758,0.0037587589794206722,0.021017664321870046,0.04659329134047405,-0.07379576932135147,0.023398746935170803,0.11750392124696887,0.045237284212893795
NDP,-0.005362560069986054,-0.012230002521796537,-0.025559123746556865,0.038190328113141124,0.0005772916809484246,-0.009712417146962348,0.0460436334453448,0.09267454112389094
TNFSF18,0.051282789656517114,,,0.021917689935878906,-0.011245538334954812,,0.1627791165765387,0.003312655351815275
RTN4,0.006616399551246527,0.0064576453651203364,0.01008363111568083,-0.012667126328613757,-0.013442712279803449,-0.02000107620199431,0.029072194032977113,-0.005019482197986029
HEBP1,0.060140262171134794,0.04015662102666433,0.03331603021896558,0.04396070536202497,-0.004101419220835983,0.015119816032813257,-0.04715841227501386,0.07043909772607884
WNT7B,0.00046085723943003603,0.03435091176433245,0.00790982396822282,-0.0342295365783531,-0.03223428881625524,-0.019767462297278167,,0.04867231830009936
PTMA,-0.06424740110913806,0.006746943214564323,-0.03980696808464479,-0.002713912608717349,0.02986821834961567,0.008409207200034172,-0.012311677172494508,-0.038282601231010564
FASLG,,,,,,,,0.07458015592045882
CEACAM1,-0.01733250418104153,0.045994728912430075,0.042519597077402826,-0.024709831234033648,0.01330345462511869,,0.09952911027092302,-0.024590535535459153
PDAP1,-0.04733940460657703,0.041005988154368456,0.048856338362672225,0.052082146906528515,-0.04431984179384742,-0.0018955467652305154,0.00979652271380659,0.0643139134285483
QDPR,0.016525792101001198,-0.02854232997683881,-0.0022342885864282103,0.016410359797157676,0.021910803686997344,0.010038369700782148,0.028750431482868363,0.05668803473990967
POMC,-0.008508546905308806,0.03774822490856197,-0.03517874254392453,0.019716386506039754,0.0077248945364570614,-0.02931043260193848,0.07967126082191976,0.08013674059193558
CCL18,0.09074739729373986,,,,,,,
CCL17,,-0.007670058494854278,,,-0.01402537574275157,-0.024466576951689568,,0.0350062040193952
VEGFD,-0.021629334441468452,0.1115668128435781,-0.021128259378814268,-0.02118358055687967,-0.01494285157130021,-0.01794653007879096,-0.041605207118469274,
