,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.016649262740577233,,,,,,,,0.06813228439521436,,-0.01547171011727384,
BMP1,-0.04054051418969536,0.029100264643183965,0.007377068174869272,0.006143617063809659,-0.0557036129475789,0.011193668103318014,0.07392193496562824,0.008745483441799382,-0.04249504560737954,0.17800837854891166,-0.056992528400158636,0.03744305482588045,0.07931890672208598,-0.0017563743351002774,0.002061878283131608,0.03711742793031329
NDP,-0.012474724941090198,0.037497335623829085,0.015143752245042138,0.03134709108241192,0.0532128053846611,0.0016346364612793232,0.0006722418869340724,-0.004043348410175382,0.031118393420944735,-0.09346936277055161,-0.012737547858905893,0.04462384581395235,-0.007645981762028586,-0.0814987883921427,0.004460762879778446,0.0782182919900681
TNFSF18,0.002505643251875386,,,-0.01538393953536698,-0.02472365534519301,-0.015563757139973147,,,,-0.04782905113658033,,,-0.02313092186014638,,-0.02609800891000145,0.025986620651802076
IL36G,,,,,,,,,0.008650128458029224,,,,,,,
RTN4,-0.013194344498473712,-0.0289654292118051,0.003660603359447728,-0.05085443231013074,0.038491269103842804,0.01620541191347533,-0.03210311740486305,0.1526705715785091,0.08407214640020243,0.0489659511619148,0.031318382277252685,-0.001460166940074738,-0.050662770657699925,0.10409968687433806,0.010165811249708367,0.0864216068797973
HEBP1,0.01482281790120484,-0.021826463607525475,-0.05612371197514734,-0.004036772698645323,0.01945753925443866,0.02215886858888519,0.05147597522440929,-0.00036929331512957714,-0.04645114629758036,0.07304717537929167,0.06344110828751041,0.11955077781892023,0.031992921232119415,0.05087074374266157,-0.009328875942840672,-0.01404992153852904
WNT7B,-0.029416947453386324,0.096712826162769,0.0028084252420884,0.003950460142786553,-0.06891078427475104,-0.031931441839038704,-0.019958662364250705,,0.06106438617304179,,0.003339355251691356,0.08854554820812299,-0.014240991916457372,-0.004756443837227649,-0.007094073555708029,0.040065268922901374
PTMA,-0.04365092454972206,-0.030047854168372728,0.050598405722563244,-0.012413724307163072,0.01899641139447738,-0.021086574928116854,-0.020180777380569545,-0.1630136297555322,-0.08822774618773631,0.09886493992584697,-0.176392492127236,-0.023051767473885303,-0.1070315504486784,0.007988527741757059,-0.04139712331670013,-0.03345434366186815
FASLG,,,,,,,,,,,,,,,-0.013418608906461425,
