,MGH258,UKF259,UKF296,ZH1019T1,ZH916T1
IGFL3,,,,,-0.01446079425708877
BMP1,0.07288328921455554,0.019193056176484376,0.01972962252346113,0.0004276512613618336,0.0006907699879609102
NDP,0.061564731896118614,0.008752019705875897,0.03402179390299296,0.0651886845650634,-0.04784668582998734
TNFSF18,-0.025169304691003164,,,0.06909358910132386,0.04348345879142636
RTN4,0.049222373396315154,-0.006172214128338374,-0.09123178003825543,-0.04596017099809338,-0.006086926083009597
HEBP1,0.04725870868197012,-0.00996442648050135,0.05956485129844353,-0.050974678434589644,-0.011436657169115738
WNT7B,-0.02217336910822919,0.02149836807450408,-0.01973251365422482,,0.03915165037844544
PTMA,0.014802809414259975,-0.03835715349465135,0.039173085146829045,-0.08444897565166615,0.01059245616649943
FASLG,-0.022173375376583836,,,,0.12049607980887969
CEACAM1,-0.03078792576483229,-0.006849435252399485,,-0.04264864573589863,-0.01745013097847021
PDAP1,0.012169094953964144,-0.036948929178515236,0.034607443464952495,-0.03024188484936504,-0.04146548081502657
QDPR,0.07437001840264815,-0.009822171391217278,-0.0021924851797466725,-0.013684739244178193,-0.052635693743187044
POMC,-0.02123872723624332,-0.00520506893155551,0.017646704553814122,-0.03261744968151143,-0.002182509083476895
CCL17,,0.08556799830395699,0.02267843383178343,,0.024273977912620377
VEGFD,,-0.018604478183709295,-0.02677631035658125,0.008359759028602975,
TNFSF13,,-0.011518564343595297,,,-0.01852283403286008
WNT5A,-0.013910543863884654,0.053577507058707716,0.004509856906159839,0.021978261662848997,0.07821570868822776
CXCL8,,0.015054357088138449,0.020672202485788924,0.01930244029681417,-0.031313188160538685
GRN,0.03843609889893998,0.02484679855552982,0.0515272785343117,-0.08699333018737797,0.02279562430854452
MIA,-0.029023035866574443,0.021561423255507587,0.0176601970687495,-0.053242621861771616,-0.01510826635849786
COL4A4,-0.025679470497482187,-0.03265041380819246,0.010738775505910536,0.0017657686445634385,0.04363609940739632
TAC1,0.0835796860181162,0.010931430253263843,0.02218386249268908,,-0.014944090917350184
RARRES2,-0.053794027455660504,-0.021819918054833153,0.031118549599332454,-0.03813653915514209,0.03480407619514481
FGF7,0.035366982893994425,0.0010491017073723235,0.012111365098795648,0.09747713451570511,-0.0006967299404073386
HBEGF,0.024634033073779597,-0.026337391783141345,0.015589488718752282,-0.05852132046987175,0.06084645449202799
CSF3,,-0.019903696458154436,,,-0.011968509188744049
PI3,,-0.015269680108427811,,,-0.008778149094711883
PCSK1N,-0.018343909708025945,0.02650718028947513,-0.025323963008907137,-0.015839702504910545,-0.09542086736782307
NTS,,,0.05012305027475406,,-0.017723730068045465
SFRP1,0.025589151096872296,-0.014570482343693878,-0.019471006331000146,0.04610147312940713,-0.017311875483304078
MICA,0.033729479075867694,-0.03128693648580151,0.01727488459705307,-0.024255612310313597,-0.010646457509709798
