,MGH258,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,,,0.047881086111714974,,,,,,,,-0.005265229788543901,,
BMP1,0.044705563838799416,0.10337033546907483,0.013082540168589372,-0.03198998336551869,0.005173408584048667,0.1320377428349427,-0.005228042100200875,-0.021397331482152174,-0.003281866730108944,0.01829056802915853,0.024513663403185622,0.07546850821707658,-0.04666062194658643,0.07679398988089634,0.023110002149751657,0.0649934885660325
NDP,0.04838468365432831,0.033232207434145886,0.09028416066254244,-0.02467126061173895,-0.012356125185463343,0.019555109122255308,0.06121469609347258,0.04547252667292752,0.10723413852372164,0.01802417939755588,0.05149339197343007,-0.056028064904592334,-0.015994056139283622,0.03294775108503004,-0.05757342551689511,-0.00902179430600619
TNFSF18,-0.021153795942453656,-0.010350124745197887,-0.005613801293990995,-0.03180276097385822,,0.021329111386616334,-0.023379521211895245,,,,,,0.018909397344653987,0.053005117637856265,-0.026674476357833793,
IL36G,,,,,,,,,,,-0.018686343115761766,,,,,
RTN4,-0.03259583030063808,-0.06941542894722552,-0.03615700665734962,-0.04981150481525226,-0.018129824079755125,-0.1326126386011465,0.00789311939037174,0.00554841386037993,0.01198755801042969,-0.024419413222855492,-0.0011379798021755418,0.006061826080117739,0.015142493685574616,-0.05900550282947432,-0.07175086826476912,0.04195593585736404
HEBP1,0.055897235818319214,-0.008526886262255309,0.041048508698399454,-0.028038094778134896,0.007801827752315562,0.08793946682534302,0.001792793509439188,0.0020752087967876994,0.08453693232023929,0.011682059539584861,0.0174193527517919,0.10167506650918093,0.018184810343665293,0.036450508863728304,0.003498724677310518,-0.10155897854122001
WNT7B,-0.018635831669988463,0.05235519457806554,-0.03840115206493853,0.04699924222265821,-0.03219313807390584,-0.08683178083388504,0.015159105752951117,-0.0019255215359093361,,0.023689557083124348,-0.020538444524554104,-0.05908597293752606,,0.012277312206151515,-0.037243221820268,0.054228002083833375
PTMA,0.0660247989345932,-0.0789641882495375,0.03286709044163958,0.06306548314885811,0.02810868570969671,-0.11218054382350341,-0.03248431005184891,-0.032426147547118915,0.035751751368381844,0.008029086339109164,0.05164427282721486,0.08447585710477296,0.1383051818825357,-0.08863943945168226,0.1148349519509593,-0.05026067338844128
FASLG,-0.01863583693829033,,,,,,,,,,,,,,,
CEACAM1,-0.025876022683831865,,-0.01728621505728896,-0.015160689338847422,-0.026042299739158926,0.14724620381539616,-0.005901996699000004,,,,,-0.044493219311622464,0.012513745965003462,0.043592405418945844,,
PDAP1,-0.041974820998470296,0.002407700332002807,0.00609256642909091,0.01561559773320494,0.014941808836929756,0.10647679580343657,0.017822498157856168,-0.052646216536176925,-0.008471563598225174,-0.03231192164647389,-0.02220834921386287,0.12322955708482711,-0.012387010611874952,-0.06514521581120476,-0.012192974968565157,0.06614576406876597
QDPR,0.03835810489561872,0.10319215087079793,0.024969314566252485,-0.04134168579954592,-0.006591179762422666,-0.12905306158445232,-0.017260937953852824,-0.059784802552977155,0.11501532309778481,-0.008612645380541637,0.02253168610764931,0.009908737009858441,-0.02629180794044768,-0.018881484009290524,-0.05369735830310901,-0.05101206619356338
