,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.027396524769865756,,,,,,,,,,0.08703206248325192,
BMP1,0.06793586729777965,0.005795441469895855,-0.010620689543789436,-0.001928621643268947,-0.015663082322726472,-0.022982275667132557,0.060113075197897374,0.011793189256393674,0.056031763565564864,-0.0035143825175247287,0.10825136581926677,0.04249299786295894,-0.0010767591595800777,0.03514694883511548,0.08880899540449537,0.026421480848306606,0.07750047326564882,0.04229440887940629
NDP,0.01061109762065763,0.05557581228818159,-0.014049046437260501,-0.02705324665149695,-0.021890042943383745,0.0014566060075862416,0.001867048588201842,-0.03061077048142742,0.11617124322786575,0.04782689921669824,0.011734580560596522,0.1331383223143406,-0.05082666162482052,0.015637595753604117,0.06547245941455967,-0.0004747536297985946,0.005901333927291589,-0.03920051623266195
TNFSF18,0.11792214142659217,0.0012299214314406047,-0.05614866478154543,-0.04705063096768853,,,-0.01127581919887443,-0.014339159142729778,,,0.06936874960232164,,0.017866480076232077,,,,0.0034007141495992696,-0.02430872834009309
IL36G,,,,,,,,,,0.07544106073126888,,,,,,,,
RTN4,-0.01693504947277678,-0.07320041806612661,-0.005585750039167036,0.03165019959614872,0.012064358911473932,0.007511272894527456,-0.13835372885148323,-0.05117715282906599,-0.005014405748642424,-0.06358165068183676,-0.15042385643398268,-0.06903963040297863,-0.03230909814369726,0.0654387028059147,-0.015769971909878718,-0.0021391723325147245,0.01351836389216674,-0.06892006396401273
HEBP1,0.022996242818197055,-0.042228961601771926,-0.001720303059055362,-0.0254637636899014,0.05418084427058736,-0.026095480818475313,0.02606758292441434,-0.011935767010029456,-0.003320429329896711,0.005710660745369325,0.005745461421141844,0.03517471538424551,-0.02406666677533268,-0.008933778448923057,0.00028810399122265507,0.01020422203386809,0.036993024536854414,0.041043924802497134
WNT7B,0.07899658030088796,-0.005444006066741746,-0.007950490124791536,-0.006582972078291743,0.07593509068667069,-0.0702728048976212,0.012892953947675038,-0.01275847188450954,-0.0943106903268325,0.06280844506213724,-0.04602323735299417,-0.07092827758334709,,-0.05570476146130956,-0.01338782128589162,0.05466136746690541,-0.04893614206203565,0.0671823028675177
PTMA,0.050573817235175345,-0.10519330606834512,0.04519430853234036,-0.004967843793139161,-0.005328682940143202,0.049724557254930656,-0.057438819819218785,0.0005048358102336902,0.05648930638454112,0.09856325229709624,0.027682550653447536,-0.06649583392100006,-0.008970403560120438,-0.10640881632181837,-0.027939147395188702,0.0007690372724271563,-0.036571955567815874,0.04807400134820498
FASLG,-0.022556352075399314,,,,,,,,,,,,,,,,0.049061914935030426,
CEACAM1,0.02700182049622748,,-0.016934525982325987,-0.02242949912066524,-0.027315760459911867,0.03143454350288768,0.019561461254984498,-0.022552081255738165,,,,0.019015494199394557,-0.05654338240653784,0.007241555695813369,-0.030964234958518265,-0.022723277392649444,0.15488465595911619,
PDAP1,0.0886501093993111,0.02721675855036082,0.07142860675962572,0.0014612828818954104,0.05109641930697518,0.012682264149793251,0.09521852538584881,-0.02507395896387825,0.05223762763446304,0.030771457241635214,0.02697564151836636,-0.01747428072174874,0.042742759401437326,-0.023869928590358778,0.016206916515479536,0.026186675244274434,0.06037629210981259,0.07670103650558575
QDPR,-0.0006553042376135931,0.0062282411419171645,0.017626858893687255,0.002781161493551321,-0.03386428541688062,-0.0697126046963969,-0.11166900908334243,-0.03694446015821953,0.07215164112788673,0.015373978365315179,0.002019232901697791,0.028238889603348798,0.01938127901270364,-0.06674305236443283,-0.003791523242955694,0.0311292069244439,0.038315061713317514,-0.08906978883072393
POMC,0.07188134519331295,0.1212761804863903,-0.01311552406761644,0.0038922016760720595,-0.03135858960360189,-0.03538318236019698,0.06762668812509748,-0.016638026355228753,-0.03215893295331168,-0.011529815546659215,0.024395085199237315,-0.013555345282201502,0.14108000297351184,0.015924936772207802,0.029914153876510443,0.0859352918122257,0.041907951733934946,-0.022449867331063883
CCL18,,-0.03098751418132007,0.015551800552650616,,,,,,0.00944319059588139,,,-0.08503697066503459,,-0.03542027929622887,0.1087736168278592,-0.010284823179534457,,
CCL17,,,,,-0.011874581556631672,,,0.08971412850051672,,-0.01377866979936349,,,,,-0.021967625991969008,0.07291375997061517,-0.020874412567870773,
VEGFD,,-0.03491387130439182,-0.02107927800698263,0.011736406405976127,0.08243044458379291,-0.008519432333430119,0.006329623849988333,-0.019053594442966653,0.013407077365069275,0.07811962138247756,,0.07544732902916317,-0.059578493660895154,,,-0.022723277392649444,,
TNFSF13,,,0.05887528829990767,,-0.016683972027841387,,,,,,,,,,-0.00108458824415163,-0.035655171529713585,-0.03401311296292225,-0.026444429044639093
WNT5A,0.024141535926832183,-0.04697884154218885,-0.023178921243226944,0.04561806451700042,0.007269263852169842,-0.07949245345741784,0.04610846792800603,0.030661287252497206,-0.0023386024745723328,-0.0015371114737912884,0.05923514462986527,0.12084006613265211,-0.018120009876711377,-0.022251357979477953,0.022051026986656803,0.0228788669467942,0.08877860671872963,0.04206665021229683
CXCL8,,-0.004162982724477421,-0.043606725147458746,0.01438323059454865,0.1181105057690886,0.022647084168106367,0.06495466802071272,0.021634627815933036,0.028142556680297314,-0.0015652078146114008,,-0.0939595585455711,0.044018132825443874,0.026337875195908047,-0.011535304386022387,-0.025082927911595172,0.007025317596993201,0.0357111361681367
GRN,-0.06281417551533194,0.03922938032637526,0.017512636169231238,0.0019527755301079728,-0.013851806716079714,-0.022639297108574426,0.1159689209720145,0.02395217690006001,0.026782514684073368,-0.015054810992744883,0.024623699577826976,0.024394497399389502,0.09294572022968522,0.06111534946854467,0.08362660584311361,0.06767664901076352,0.0005019170662599662,-0.01454306047253076
MIA,0.22652656733316764,0.019307050628359104,0.03558444468235139,-0.006308887584364437,0.021965375690248635,-0.005377111287754629,0.03990226223127097,-0.0267591636323682,0.021567188745877614,-0.0030767083927654474,0.0815152279747067,0.03219129532351498,0.05254140528085349,0.0029997523981162596,0.03613814333809067,0.0033856930434596117,0.06748678936042304,0.04988522339378025
COL4A4,0.02601241318787688,0.03089939083581192,0.05990859112211673,0.05618106459651638,-0.013639107800800517,0.04398135517484167,-0.026997241649072846,0.025748599809421745,,-0.019618147163080645,,,-0.03296789485821485,0.025402138157063034,-0.020199259388630972,-0.025147723268327923,0.03220670731969131,0.061319506399965855
TAC1,0.0191976477294976,-0.01793872696395388,-0.021045924447595364,0.016930315735385986,-0.064688402803897,-0.04954247335210642,-0.04440647797488594,-0.0032246149039110053,,-0.034767462503046694,,,,,,,-0.02744153792007643,-0.08296146801893418
RARRES2,0.08258159880929973,0.025547663745829736,0.018759349946021735,0.010839973969982184,-0.005600717804095185,0.11736322821270824,0.11945193404774801,0.017444474805429648,-0.012864208214185388,0.04077628925023991,0.034573325071147035,0.0853262747405184,-0.08821629533102665,0.04531928625382412,0.0413766774817448,0.027817740956771555,-0.02531668307828121,0.12890931258713767
FGF7,0.087321297501385,-0.0007928786793954915,,0.01166114782801344,-0.027906086393677643,-0.0465321105762191,0.06313081407890127,0.01335816752005438,0.012225754947387375,0.12527901181691703,0.03545112956113011,0.06858557492275406,-0.015987295675954975,0.10205716287004461,0.019499238710455925,0.0593498956830437,-0.012005257128303705,-0.03531698709634692
EFNA2,,,,,,,,,,,,,,,,0.05571956694607661,,
