,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.04956848236036012,,,,,,,,,,
BMP1,0.11024395757637398,-0.02892504506823521,0.022000987630229937,0.003888218975171591,0.10786328170890815,-0.027491461150126975,-0.11056725790730129,-0.16735192599909696,-0.4902829487256584,-0.1396013663012534,-0.04728308568149695,-0.12336861906271829,-0.33436092187008587,0.009415249547101308,-0.05553043935428038,-0.06406538533587305,-0.018451067340940767,-0.0485100441348706,-0.029692735849167935
NDP,-0.048586495724644886,-0.06978585005337114,0.025427183774650284,0.045338037404858846,0.03671052691036794,0.015796921385832045,0.16041383889317354,0.09019842324168842,-0.08602318967450784,0.08427780586159588,0.0002951624565975365,-0.09039063495355272,-0.07124112760569264,0.05550170709376846,0.0681445630333851,-0.01526705873585726,0.013940201740809312,0.021002536794777926,0.0023688379480476356
TNFSF18,-0.025604024627376105,-0.051027668617258035,-0.006161013270811678,-0.01996266452908678,,,,-0.07934263535459304,-0.09349835258894791,-0.014549932516764964,,,,,,,0.06910480169167085,-0.11960442634886888,
IL36G,,,,,,,,,,,,,-0.04325948720394454,,,,,,
RTN4,-0.04018882009065124,0.34814984991197084,0.152928403808069,0.057014902606479484,-0.004169355561971737,0.10523414799139515,0.3114734744471392,0.47917048840646576,0.6198186830657891,0.24798499613192176,0.2480096481709899,0.5290654106672574,0.512277083841162,0.07059382490945292,-0.02996067346567828,0.06174474364592321,0.03725372689451722,0.5248049910304498,0.15820553825691236
HEBP1,0.09282078248569119,-0.09050000454909793,0.016996197601834948,-0.043603274702115315,0.021396447747628652,-0.01615066518135783,-0.02829233608003317,-0.14874169479017477,-0.2372348502567191,-0.041838999023784504,-0.04131996038751843,-0.22074863503682685,-0.0782196875464267,0.08074461658406852,0.008362993290706985,-0.019855400428542985,-0.06770973574965714,-0.009225030647340277,-0.021823267981282906
WNT7B,-0.022556343756366722,0.40426249153090144,0.06051500479368068,0.014523384400374697,-0.059661855188976355,0.07842802751995413,0.11835072280988591,0.11152340783261386,0.36768850516115714,0.029737808609872136,0.09201274576840694,,0.14651232180377047,-0.055629206998774904,-0.0022388786855668218,0.005474048020810868,-0.02175085282734065,0.056595769607027016,0.14448544469684022
PTMA,-0.03264217997478212,-0.037272365375316203,0.07236609221223612,-0.02967788366471882,0.10338893746353438,-0.055296898580890666,-0.2236628173215986,-0.5164367499077959,0.07913172890039158,0.1501331723777561,-0.19784574687685863,-0.6446374070466135,-0.5134224334583154,-0.05043441724570134,-0.03426721147917443,-0.09800235265115788,-0.1351408097777037,-0.18060067043827227,-0.143464918647284
FASLG,-0.0007605899482508191,,,,,,,,,,,,,,,,,,
CEACAM1,0.028519443137078337,,0.03412208878224633,0.04348276954502552,,-0.0036411005503171725,0.024391150484407032,,-0.12254227812794183,-0.006866574344196162,,,,0.12607663956855994,-0.03319571489970171,-0.002511821036680499,,,
PDAP1,0.0743337565843669,-0.10858667919480924,0.024097347993547288,-0.015929290571087027,0.04990167226586591,0.021451395864562295,-0.13266145224168613,-0.18696844749258248,-0.3566492742108219,0.03385610102740862,-0.06756201166910736,-0.006762524034380665,-0.2735543241099221,-0.07218798869718333,-0.0545057540578205,-0.0555422163079919,-0.03353281254608353,-0.11545447646341352,-0.018223402759839757
QDPR,-0.11217029089778467,0.22370357252178738,0.10507434519740287,-0.04256588170883241,0.12018853214367321,0.07397959389811506,0.31097854410832815,0.21885057315631995,0.20831486963176377,0.16663589609309776,0.012945237668833775,-0.4896784448042489,0.13265184723363047,0.043088239252018254,0.07578484914443127,0.06669949010886046,-0.09491152024570121,0.27285920162329996,-0.01628365151489618
POMC,-0.03278982092401331,0.21761502930591167,0.041802900522717915,-0.022571538198055796,,0.03402749867883302,0.16669957630777843,0.04715707258407194,-0.006057590163805025,-0.019441184639698458,0.022338977144751387,-0.10630080040724289,0.13942235188677002,-0.0058838819265555386,0.0025572786414094746,-0.05926482787353591,,0.006777857981365375,-0.0376143437601598
CCL18,,0.0035002360899701523,-0.03933262554210838,,,,,,,,,-0.24605858167642897,,0.013008301691284299,-0.0019472248699118162,-0.03409190192922581,,,
