,UKF255,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,0.058285101519392604
BMP1,0.035022194893622016,0.021402514760104775,0.06752108658897939,0.039020219767777205
NDP,0.05632932640347124,0.04240811596527377,-0.045168260849669704,-0.0054506320111381385
TNFSF18,,,,0.03853150445889022
RTN4,-0.0611146283895221,-0.0748656988429046,-0.07837805778688685,0.016924265833667712
HEBP1,-0.0069622718495173,0.055955181088056125,0.01912404495698635,0.008522677789006549
WNT7B,-0.03255377200932156,0.04718497786917168,-0.037797751862103705,0.01227044311577419
PTMA,-0.008246700414165553,-0.048240037043623334,0.07013501780385052,0.08153345598886799
FASLG,,,,0.004576451541038821
CEACAM1,,-0.015399751345296819,0.09861054451403163,-0.02526760727967716
PDAP1,0.0129280185743952,-0.052096491931144615,-0.010088456903700867,-0.05654583616819819
QDPR,0.04949149862564563,0.010919492742544747,0.03449599479250076,-0.019873643002249648
POMC,,-0.0016808188442349664,-0.011156695583851382,0.023575382598113964
CCL18,,0.052304461707237716,-0.0011881540362101146,
CCL17,,-0.022230507854607503,,-0.01646041361531518
VEGFD,,0.010717782036940007,,
TNFSF13,,0.01001095591954212,-0.0014933647338133324,0.020902052095789384
WNT5A,0.009316994983908953,-0.02408338688555134,-0.002032171870215667,0.09045116477387294
CXCL8,-0.022061786650784666,-0.09396432365541448,0.004930616256378301,-0.013283634476235125
GRN,0.1261319224147357,-0.0768822549824986,0.04649688006563807,0.099428190585642
MIA,0.062260962325364815,0.1462744435712362,0.1453034893284843,0.04050312116188833
COL4A4,-0.03301213709091673,-0.024657409792196005,-0.05055880986583463,0.06020672138461612
TAC1,0.07138905316007224,,-0.04328207973547201,-0.021638887462637132
RARRES2,0.02373616297678115,0.003367152349017352,0.037467103018192255,0.02416140134644025
FGF7,-0.012575399989425789,0.07078518783414602,-0.026980941409950797,-0.03609973023073938
EFNA2,,0.013147001516194768,,
HBEGF,0.023533624798427227,-0.034250314811781604,0.053803556588803786,0.05155841779030687
CSF3,-0.023107241087550346,-0.0635552923074573,-0.025388993718226723,-0.017330276218414025
PI3,-0.001265351214284262,-0.11208463440102502,0.09243011136032217,-0.03765293280276393
PCSK1N,0.01951855764415597,0.005727732540705546,0.026902992535216212,-0.02415500966928734
NTS,,0.07411730274142442,-0.031776462746114946,-0.02566377590190666
SFRP1,,-0.03289991531235567,-0.058198700703444586,0.11444352600761862
CXCL13,-0.016778591142848045,-0.037605168926924296,0.04654517876795294,
MICA,0.015269575183681685,0.005407213102064719,-0.03562164099574842,0.03970411781399614
TG,,-0.021961707821728054,0.010065284490983874,0.01775277752392929
ADA,-0.01932650305455745,0.08161096057209415,-0.02052024323413559,0.09368671208896225
LAMC3,0.12576877499420763,-0.023041806741174738,0.04983668375614943,0.07115609924553756
CCL7,,,,0.004364606123655114
NGF,,-0.01443969477057573,0.0992399445887015,0.14961208814711077
