,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,,,-0.013231782459339776,,,,,
BMP1,-0.010344767663744066,0.1037463311689301,-0.015012037079003877,0.02704155056296133,0.07104049692682604,0.00965324986146742,-0.020711909708020986,-0.07032244302442454,-0.06071146948729272,-0.027838084369280834
NDP,0.03652861880620313,0.06823601165946935,-0.022112021688431596,-0.013777704931595585,0.011862090210322179,-0.01737479410184644,0.04057031684760276,-0.004164591685042413,0.0856347680850911,0.06435966954124679
TNFSF18,0.07657435761196345,,,,0.03873375761287521,-0.010336034421200842,,,,
IL36G,,,,,,,0.024819409527734277,,,
RTN4,-0.01977145040446764,0.07464267151891027,0.04175720064061296,0.03965649432937755,-0.08310608886057022,0.0043665246006882,-0.028231942768309745,-0.003925317584812395,-0.06671948026600585,0.06495530888791852
HEBP1,-0.0044594589400915674,0.057093627073514334,0.01959302139718434,0.059298018271648024,0.04141712088474766,-0.004080852569026842,-0.0441955696059554,-0.006891146226995398,0.05134488254321222,-0.0036629857597526173
WNT7B,-0.020473590616256393,0.007293046478076883,0.09165063590396987,0.0033073374300026373,-0.013191121390014864,-0.029627280511074112,-0.01773998534813905,-0.036487888286014916,0.03634882237854009,0.03246586720480153
PTMA,-0.0027225610334629096,-0.010854916263850805,-0.01898179133307811,-0.057552179111787734,-0.09305796476595678,0.001982825289195993,0.06785300972878001,0.018413138470788508,-0.07363507598958952,0.03304450407217111
CEACAM1,-0.0157122493944199,,0.036277882489434574,-0.018819948471998433,0.005529156906051455,-0.016256119749337855,,0.0037271531937432606,0.06395553234725061,-0.027969541462650186
PDAP1,0.055934170439725366,-0.02456991610155872,0.009822588395333594,0.016196391281174595,0.09807427392460033,-0.049962618753518845,0.027703115715625743,-0.02665194738185561,-0.07261667675105955,0.06056579373084186
QDPR,-0.03862664277524766,0.016909743566289766,-0.011604784983017731,0.048116099403336526,-0.05875526512034532,0.053033221634888085,0.02331498635158092,0.05533772012959614,0.14496103184843886,-0.0004702216106445436
POMC,0.02144138791577403,,-0.02786782373866405,-0.017074000378757424,-0.03333072149513498,0.011086622005218412,0.006358724927225888,0.09511795397002884,0.08090261106541746,0.04378588123547436
CCL18,,,,,,,,-0.047863099747926005,0.07444841150640547,-0.05613753207471762
CCL17,,,0.0033750042329377975,,,-0.012891047287327408,-0.014744568761418947,-0.02990649166085556,-0.007743252857427788,
VEGFD,0.09620330119588916,,0.044532075523801916,0.03440898466036088,-0.004014765931942557,0.026488370552458475,-0.01580221103010632,,0.03855114114909941,
TNFSF13,,,-0.015673628023394576,,,,,0.032427119175578736,0.030084934656367853,0.029068643350599766
WNT5A,0.1064848608839172,0.08595343038871263,-0.012330611097063175,0.030719249589419493,0.060700062192410933,-0.04683343579371475,0.06522199802640094,-0.016386588073530647,-0.020241397856771367,0.02144795924912771
CXCL8,-0.021072015609185493,-0.09771686191414987,-0.030497313235907212,-0.054344292451989795,0.04730553137881087,0.03707045294740236,-0.03228736479029425,-0.05935537005551998,-0.21089718388245884,-0.07731783436539752
GRN,-0.03276586248085374,-0.008651901335754691,0.03522677339531107,0.01376394002793636,0.031980471287732896,-0.008247823860083216,0.004094200985555489,0.024398855685788024,-0.07354677000257095,-0.06353641013886416
MIA,-0.02001405737748266,-0.008047875738814993,0.021179790046815045,0.00906174623067452,0.09217792650379299,-0.013955751135011353,0.026518291777707065,0.05526984894139926,0.2097018825937425,-0.015629764418886156
COL4A4,-0.022840750002722864,-0.026109594272164183,0.036021730611075366,0.03525890883173092,-0.013038939482414861,-0.013458652199847094,0.010621060485762153,0.015989462812790362,0.05950314946093952,0.05764323786157191
TAC1,0.007965531093383552,0.10641014472298113,0.022174355371581717,-0.004063950066765142,-0.05502937748189703,0.02756787855018169,-0.037204697478119976,,,-0.009707267057051466
RARRES2,0.02445419697272989,-0.039108547469729006,0.023077260479814857,-0.012493670234147852,0.135136195735096,0.07679244202594505,0.06282214166743577,-0.06165904411001883,-0.0896140992929983,-0.04304886740756916
FGF7,0.0011209186835365774,0.01328749508405891,-0.0402781405723712,0.06983980900644232,0.07693620770536715,0.009618310197205316,0.051851063803454285,-0.04423884102802534,0.03344191629536022,0.05066120178566233
EFNA2,,,,,,,,,0.04526146178647277,
HBEGF,-0.018622053847180117,0.04731395075118549,-0.06473966150999595,0.0006206056094049593,0.01597505791425445,0.023287677691942944,0.07304788530527603,-0.013418903482468054,0.014927881328886939,-0.010131923149556772
CSF3,,-0.033453486331916284,-0.027083508436459833,0.02611986194133529,-0.013794947003974442,,,-0.05373923666913442,-0.13240718154589307,-0.04009815828875831
PI3,,-0.029222811350789486,0.017963623057019512,-0.026494463372069076,-0.015533292400067922,,,-0.03265373452285018,-0.263280438682078,-0.10230805880584856
PCSK1N,0.031022985169342054,0.05162776766355343,-0.016518581327280173,0.04089228198578053,-0.010840770914452241,0.00640316646444972,-0.05138499476788759,-0.04640498319924896,-0.010606902146362361,0.09598941643731944
NTS,,,,0.012070654123594336,-0.016955649280886987,0.03879880464385045,,0.03106388511918277,0.008296729662530556,0.048943231903950966
SFRP1,0.008089245292229524,,0.009286334719451728,0.04813681503953693,0.007191320318689264,0.04653726721535663,0.03563894233591937,-0.015255419452823623,0.022397769764329126,-0.004056092172185043
CXCL13,0.015063380744070216,0.019900721919048833,,-0.03378079249785205,,,,0.0015533669437438199,-0.05497195116435233,-0.028360417769295886
MICA,0.025352752786045138,0.06366908356703974,0.08608990741112615,-0.033662160620280976,0.0988403920360532,0.0067505166178656855,0.014883910355409693,0.013923367542029904,0.06644740785088588,0.03530790614542329
TG,-0.021365493404758865,,0.08862607002108157,-0.028257487415837453,0.07669113794429946,-0.01298724229972021,0.040483747135661954,-0.01489131966718542,0.009645570321519824,0.01586597446310527
ADA,-0.028161934754391195,0.09052492218140724,-0.02362225813707363,0.0189496700569309,0.06015033415543023,-0.020490989826071154,0.03558650640901496,0.03960893577992376,0.09833026033821533,0.00191899825909773
LAMC3,0.023687408703156596,0.06598526338468347,-0.047549261514302776,-0.022621225900009416,0.02708681046587918,-0.03839652332825998,0.06779807604857914,0.0007715977110698036,0.08981686405421767,0.009799352314098416
CCL7,,,-0.015469193031591416,-0.019117739564461438,,,,-0.02256354125216107,,
NGF,,,-0.0354438722527822,0.033603575034667155,,,,0.009583015904282618,-0.038221999855987336,-0.006420125280969734
TNFSF15,,,-0.017225703029216444,-0.03316021241766,,,,0.029021972982224385,,-0.009129618962413133
HMGB1,0.003389819940280933,0.01939658932016752,-0.00835719738216392,-0.006714569349014885,0.03321481323232243,0.025544396142059025,0.03508348590016719,0.02070222903960795,-0.07468800757110462,0.004661240683393849
ITGB3BP,-0.006874781514661161,0.05556897460430218,0.03713711557360157,-0.007520612573613476,0.08291644793630411,-0.002506247584729374,0.04078691588240197,0.04926102685606677,-0.01088464864868409,0.005036317733416419
AANAT,,,-0.015673629696211062,-0.005424584424481381,0.3259861618574367,-0.011679502897818626,-0.019778428660208132,-0.03932236367883711,0.0955844196104017,
RELN,-0.028735679687637877,0.04337443182401982,-0.016256390047077362,-0.01027107543742296,-0.03651288536864908,-0.014767129986379229,-0.021896427673043062,,,-0.030076825119431785
IL15,-0.027219311724668464,,-0.0004376741814032709,0.018395423675994296,0.01630368709885701,0.0008095184899060253,0.05508070976141116,-0.02239259338200175,0.02643974391732567,0.0026236636718024045
UTS2,,,,,0.06861631665562001,,,-0.006588001403468221,,
