,UKF251,UKF266,UKF269,UKF334,ZH8812bulk,ZH881T1
IGFL3,,,-0.017845845856942495,,-0.015090852714436805,
BMP1,0.006346252791101193,0.06132544496284121,0.07051675513570059,0.0003033536797348099,0.036770625406294284,-0.03287235920323175
NDP,0.03337623185163593,0.0046812211841711976,0.017675361288606764,0.012333778273056721,-0.024626648071407277,-0.007038333101002206
TNFSF18,0.0892586561287403,-0.01583009917211729,0.04552530764212421,,-0.015562930035205725,
IL36G,,,,0.061124619395574994,,
RTN4,-0.04831427779639727,-0.09950150430130576,-0.11011034084457226,0.002744800739821842,0.0393811662949551,-0.011138927931037827
HEBP1,0.05595593473072229,0.04927594317656301,0.028242117332512237,-0.006876424117864267,0.03109241631200462,0.05302194909434327
WNT7B,0.0513870595595084,-0.02712822309663315,-0.03211215874731927,-0.01918663896110655,-0.03254334571189519,0.02946835066578064
PTMA,0.06200913428749179,0.15117513521462433,-0.019686397922765865,0.047902082753492295,-0.035120061626453786,0.008208857529846493
CEACAM1,-0.012255465495385786,,0.042540179007106244,,-0.02236230566870347,-0.017930081688822107
PDAP1,0.06644265864313853,0.06077408998599391,0.1047971182115582,-0.02405598838188696,-0.01879734617885227,-0.04166216022234268
QDPR,-0.020513697868188806,-0.06259751324767422,-0.08466316259016998,-0.04320249688867014,0.045959377502232855,0.0443129266240574
POMC,-0.013757591097110661,0.005305967800423214,-0.026924066971611475,-0.008153850316957624,-0.04836510053941267,-0.016118497259963616
CCL18,,,,,,-0.033508587663173134
CCL17,,,,-0.015946953275935587,-0.019896417580589645,
VEGFD,0.017130478572895978,,-0.003766731660318814,-0.017090843756174284,-0.020984579531789203,
TNFSF13,,-0.01535189385198115,,,-0.021336334788576005,-0.020134280017015175
WNT5A,0.05677810270609555,0.07775937801524893,0.09594719390615279,0.05644458374090707,0.1002017436971165,0.023733873767833116
CXCL8,-0.014261673045082187,0.06556249438147163,0.04681967740016406,0.06535926716909696,0.09878697063563925,-0.016508043466241136
GRN,-0.023802645528354274,0.08232625090653889,0.08528079742377555,0.0329516830510421,-0.0585065579197856,0.029307959915689148
MIA,-0.012619606560640078,0.012909202034687418,0.008400139230337451,0.06326310358906931,-0.0421398127255327,0.07946242525816359
COL4A4,0.0028450944176483836,-0.014606648747105504,-0.0175857564811255,-0.022705361310315125,-0.013420818925754308,0.007927661477359927
TAC1,-0.0034689554796232475,-0.04925286952649344,-0.09599642951601567,0.024371502582866023,,0.016307395681044272
RARRES2,0.05227424509154556,0.08330183718128614,0.16316568481796911,0.08374788226157497,-0.03656564189560039,0.0572065476849876
FGF7,0.039598744558341725,-0.02297728515601283,0.1345581176771073,0.055109559898780906,-0.03741830945876232,0.0037524457096271163
HBEGF,0.005956224222227518,0.03598239642881559,0.010020472510862405,0.02938463190450218,-0.021609650429369853,-0.020307154506870085
CSF3,,,0.0021968671573526664,,,-0.025705221326164433
PI3,,,-0.02094991681387272,,-0.016905251767106656,0.05160403830862803
PCSK1N,-0.05217032537342449,-0.02729003021896451,-0.07658817680476078,-0.03293249868226869,-0.01970013706000458,-0.04219599089380753
NTS,,-0.017831399370170826,0.06070797773174115,,,-0.04647308320388431
SFRP1,0.06345550826340512,0.00216243270448293,0.03372135607064566,-0.0030599852933960604,0.006959802629526868,0.021130175128064012
CXCL13,0.005250964739761409,,,,,0.07915849032911683
MICA,0.005904307226736648,0.05578211011277606,0.05121621651163111,0.007179825236414056,0.015079468470605158,-0.06513734816377716
