,MGH258,UKF248,UKF255,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH881T1,ZH916bulk
IGFL3,,,,,0.02804331512496628,,,,,,,
BMP1,-0.06371690386704033,0.011597527404475007,0.14295719098177073,0.030878629910305842,0.2648393284462527,-0.002285418213964566,0.03543781366754653,-0.020981979439930895,-0.069826986308066,0.0031892905513678355,-0.011392929203098439,-0.011765545048565543
NDP,0.05151616574974108,-0.013086078577889104,0.023904943397773545,0.03644542676558076,0.007526670931298639,-0.03525486345146535,0.01339996715586197,0.0013629786692100812,0.0049666720904316545,-0.017147176262693454,0.010313360885685071,0.019259553073423773
TNFSF18,-0.039797955317482314,0.01786598246218826,,-0.018805380428533854,0.057330464350365415,,,,-0.03003663463004291,,,-0.022180253442071796
IL36G,,,,,,,,0.012473754930240466,,,,
RTN4,-0.12498819634839861,-0.045661713583030325,0.03591517028829686,0.055234423716539256,-0.3214367089101512,0.05400717789959242,0.16065526120832302,0.0637030814327951,-0.12109418112878333,-0.029817375849543016,0.09392295771242161,0.01214486863499722
HEBP1,-0.007674037749023572,-0.0010750611184398382,-0.010810725145881198,0.032357174465524274,0.10721753891865354,-0.027418947014314993,0.03668017644389527,-0.047923425023792036,-0.06894263369401059,0.019378223443151703,0.031997479589612736,0.007855954118422465
WNT7B,-0.021051157835636356,-0.04139999337454795,0.05806594718028509,-0.031037655230000762,-0.08520928603888506,0.06542739094742372,,0.0090387485306085,-0.03306740298964325,-0.0726754562632356,0.047939017403194416,0.06980066943710592
PTMA,0.03144785233277792,0.14139904066320516,0.10254433914732662,-0.021773775652169446,-0.11857055712386295,-0.08248614594670194,-0.13811337449689265,-0.07883554598923552,0.03823407780434309,-0.12676890458566564,0.0442849205318595,-0.10005711424505079
FASLG,-0.020736442652783776,,,,,,,,,,,
CEACAM1,0.06415678071148245,0.020501611689019993,,,0.1259356623887464,,,,,-0.05472644103722121,0.010144743610915932,
PDAP1,0.10133465075283414,0.08429643155112684,-0.057004160516962624,0.04391869130096735,0.2244556825308536,-0.01729865896177058,0.032940304198882206,-0.07863135451288454,0.04385805415678298,0.012488665512072634,0.04819852338083321,-0.03495665581468758
