,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,-0.018417504475939938,,,,,,,,,-0.023683412931365493,
BMP1,0.013488242877243815,0.025508072312033704,-0.05743262496572,0.007174225569331621,0.05668156278297944,-0.034134302527268776,-0.01723109556317807,-0.026307737066342145,0.020783436933461814,-0.04117381491369569,-0.0363341874868418,-0.005629465076839464,-0.01748447151644245,-0.05571588471293964,-0.01869551180707676
NDP,0.02518619591557266,-0.03410945905239131,-0.015488296192715573,0.015654783254567293,-0.00910781325018674,-0.02424670837506452,-0.03129574906247465,0.012067162066189144,0.03092967822424704,0.14727779600027555,0.026434237476174377,0.027446147733307193,0.07093134639732473,-0.041169621866634525,0.006999730693610901
TNFSF18,-0.022702934891777344,-0.0010944339304573376,,,0.029449582099199807,-0.01249094383208822,,,,0.12158364831149063,,,,-0.0035824208964773375,
IL36G,,,,,,,,,-0.01697402813028975,,,,,,
RTN4,-0.009567199554459003,0.0043894794085175565,0.020267878985298735,-0.052246736532922604,-0.030635034284828843,0.024655311457705012,0.054271730256514376,0.06830629007721582,0.048606652225541024,-0.0692065561786945,-0.07117207945027108,0.0015966851183587267,-0.0534792998016134,0.06451879825276549,-0.027448926043925424
HEBP1,0.015705921373570953,0.00571163537103825,0.0009141956254083194,0.018746996266061893,0.05095212209551448,0.009542510706153829,0.02166995480779455,-0.05624679924370349,-0.05198412878394282,-0.05270439113040298,0.02875403446696685,-0.04032949817980002,0.0215705767132682,-0.050550422903349004,0.01351473382947674
WNT7B,-0.028666866440120994,0.09182716529622902,0.002974226057683806,-0.07703129510380502,0.025736602318115365,-0.03580412774189984,-0.012479995911907543,,-0.018656413025945076,,-0.03447726677583056,-0.04176058369235738,0.00502275766268444,-0.05107315731242034,-0.022338906611117818
PTMA,0.0305946575933423,-0.011683262038740908,-0.0020015925841798893,0.03873383267452135,-0.026675733387186866,-0.029680508045259377,0.045023890862081604,-0.062253606447712516,0.01413986805355307,-0.0505127001893138,-0.02599586159058822,-0.029067444827626774,0.011908708459120811,0.03534498081960415,0.04039853759095229
CEACAM1,-0.005320249064098788,-0.015712250118820992,-0.014584237018526017,-0.015199081608829754,-0.01321764550000347,0.0381611133859079,,,,-0.044974230788978435,0.10446912663075042,0.05210126588538474,0.06271738090382047,-0.02017256407950676,-0.014826657208164963
PDAP1,0.03991916508497801,-0.009648645803641245,-0.02316018509381916,0.032757664617593725,0.01558232593699257,-0.051964975679442485,-0.057472349745387306,-0.03582501160573535,0.0055466343506730045,0.07031178701404536,0.030519093246490003,-0.017491856307685676,0.008272775716137364,0.012029987431933025,0.05622107120471218
QDPR,-0.010289053674498977,-0.04806436330859197,-0.029498052210434302,-0.04381652304433696,-0.0246316273505007,-0.012555853717170131,0.05547028211815697,-0.062010693605797244,0.003165206778114762,-0.01934367070262364,-0.08964367141386079,0.014618632928853983,0.05567395157882225,0.005032753769093776,0.0038007304743004223
POMC,0.0888073759558722,-0.01631513734621041,-0.024112254410400588,-0.018655485258719875,-0.01813710909109811,-0.01449350346218431,-0.024035218892430616,-0.0019350214064681156,-0.017405669491195215,0.017251629399995052,-0.0736335950773815,0.018171868043392533,0.09413185654239803,-0.005636700768906525,-0.02425446347937027
CCL18,-0.02658320618592448,,,,,,,0.051067184886508556,,,-0.021922621810681418,0.12919570478258116,-0.0010373601753489818,,0.047914712485065576
CCL17,,,-0.015007680382644845,,,0.002428373380062795,-0.015446736447171608,,0.0716939127329352,,,-0.016601532600344176,-0.010587917262446157,0.002843088859949432,
VEGFD,-0.013506935267203897,0.006037477672817654,0.050958282837165164,-0.014541620739316113,-0.030854260377935615,0.016579961689386413,-0.011330367987957479,0.10084871419103478,0.024090503604805732,0.034803072092617925,,,0.010348388467458693,0.059938453309656074,
TNFSF13,-0.020060546808142447,,0.045279846862904274,,,,,,,,,-0.01848582832271512,0.030909840550509052,-0.01809626191612337,-0.016649342324613854
WNT5A,0.006966038564585032,0.005455351437632939,-0.04348421922942645,-0.07656119163793958,0.006496025038466996,-0.005498694797355392,0.020133540601295824,-0.020113367397119743,-0.04755988934800279,-0.024350029237232434,0.04682038769479309,0.022774599886626744,0.030106263355732094,0.04995953489228087,0.03366909499979098
