,UKF259,UKF269,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,-0.012843352179465126,,,,0.006519652298755492,,0.0394536986504474,
BMP1,-0.050172348002795256,-0.017060539703630015,0.020344708755410175,0.04048059263614596,-0.002538085694920125,-0.0254224088211005,-0.014110712487093854,-0.05466497179396391,0.007865587050776326
NDP,-0.02062538147101192,-0.03769296125684501,0.018396089129121114,-0.011034778195334641,0.0063882498153819845,-0.008779678513390675,0.018299230113453396,0.0509796708465592,0.13070417855190752
TNFSF18,,-0.01907199241850755,-0.013506324073027466,,,-0.019900362687945105,,-0.02568181841942998,0.007891980661872643
RTN4,-0.01674950185851223,0.0022200728524785487,-0.005683059743482455,0.06752318310286806,-0.02242366334102029,0.06660720324633077,0.04360118261113857,0.05696216094633546,-0.09201106475015126
HEBP1,-0.07850237499371251,0.02605883594278451,-0.019623455802804595,0.025594902675471223,0.004292153930693745,-0.0516823462605273,-0.03809948462007432,-0.004283454087329597,0.00927159241156251
WNT7B,-0.0017430489103213037,0.033827805277546925,0.059160974075849346,-0.0417605816026019,0.029407497400078995,0.02097281632652218,0.046651949563602704,-0.01802915381986476,0.16405730413709876
PTMA,-0.005745641884738875,-0.03678504496547005,-0.001797589010817547,-0.07967372098573372,-0.03204298958783077,-0.011999223082700693,0.002985604860957633,-0.022062459137182324,-0.02656842649498967
FASLG,,,,,,,,0.04924489600333052,
CEACAM1,-0.006814230679068379,0.08566873111231137,0.005232466381351638,-0.023400513581783907,0.007316314874589347,-0.028594743556591928,-0.014826660991910582,0.02705236792036697,
PDAP1,0.06683146966179766,-0.0006427532035707495,-0.013953410586768347,0.0007955302083227888,-0.021379517741345753,0.08922757886674258,0.009340946478918297,0.05340677245727325,-0.04757358920897677
QDPR,0.036145211745884004,-0.05710230418840125,0.025312529162594195,0.035117978538315796,0.0017159246727509237,-0.03819464041541726,-0.06895793049667394,0.08097211402869477,-0.002545285083621366
POMC,0.03112010418809281,0.01876817220023443,-0.015671670399392146,0.00925084147629904,0.044995041312013866,-0.04492482356043599,0.037120750990155715,0.09585197011773229,0.028764889077599963
CCL18,,,,0.03684301933831186,0.014734036782784713,,-0.0010515435207824352,,
CCL17,-0.024187467484765707,,-0.01684501571959136,-0.01660153176958127,-0.02438620971949971,0.11793561600895557,,-0.01196850443936809,
VEGFD,0.05005615639612498,-0.021516060049743525,0.07486138610703687,,-0.016893071826819338,-0.02683304124557251,,,
TNFSF13,-0.016683973739484412,,,0.010395434744385468,0.07968121964548469,-0.027282831688092875,0.027155970780258804,-0.019501679013474948,-0.031067161811022016
WNT5A,0.047798482043527775,-0.0008760418850918098,0.06050179698883707,-0.03823639435225952,-0.03902684106675088,0.03466708180876008,0.03008336812661654,0.0071297505727453995,-0.008077765731189155
CXCL8,-0.02820386495404798,0.0380622850917118,-0.019637738438563913,-0.04762226486391594,-0.057317238232689895,0.049342053566831884,-0.0015859856063841226,-0.004921008421186304,-0.006987621441611202
GRN,-0.015451748924514688,0.0009065820614875654,-0.002387917192807214,-0.013129784771449583,0.007117337104327003,-0.026489878588406793,-0.06215520636498097,-0.0668376167238146,-0.02565121761670699
MIA,0.022126123172997943,-0.03668822085660307,0.034564017344863945,0.05497457972331222,0.030076556511543225,0.044137280305694554,-0.013408906885156772,-0.0029549593558744662,0.04509704562171917
COL4A4,0.006776732949054854,-0.012656170272900835,-0.017586717573661103,0.06205198557970217,0.004023125911072594,-0.013442632438039065,0.03280637519682178,-0.009675898148685056,0.053974928785932255
TAC1,0.07611863595999452,-0.033812684332742114,-0.014891310526368627,,,,0.03484319546671677,0.08847182186338792,-0.05301093351473878
RARRES2,0.050922957885832766,0.006323816513296607,0.009484277058482326,-0.047212155680561405,-0.014552992420987062,-0.08611838910360026,0.011053965755880597,0.013496505677600273,-0.054227804519247046
FGF7,-0.029398886435892276,-0.0360681582706497,-0.03296320959755116,0.007550142402904005,-0.016479389600112065,-0.029930834454499754,0.022078287205711207,-0.010890217515117649,0.01825815343367097
EFNA2,,,,,0.08749746170341496,,,,
HBEGF,0.023195642533768247,-0.00013486016984976,0.028905246657614514,-0.07359149122640918,-0.018981412270931603,0.005589985668736123,-0.01228280044219998,-0.005630641214397711,-0.057010560561488156
CSF3,0.03251964576324146,-0.013389984547701024,,0.00700706689438349,-0.024402788558144074,,-0.02125604383401487,-0.01260098881492122,-0.036523842055967336
PI3,0.010034107081007507,-0.01507729932937817,,-0.06238439092943325,-0.04047906065297158,-0.0216167932860594,-0.01272811282568801,-0.011047144192266182,-0.05074043613350122
PCSK1N,-0.025852564925388115,0.0036619687989444165,0.02692928374042425,0.0547897307612009,0.043047038986454865,0.025263615380538,0.07796789616736222,0.061683692998103744,-0.03361726522008703
NTS,,-0.0164579017086404,-0.006035492944885779,-0.0017782448240125902,0.023171876730621193,,0.005586153793503207,-0.018660346148721994,
SFRP1,-0.0211045003129212,-0.03779010417741789,0.029958774063901877,-0.006472833650089795,0.013656544864607727,-0.02443594595200419,0.05338384190195652,-0.018226726979128083,0.0002761602042868441
CXCL13,,,,0.022144926457386336,0.04839541480191379,,0.013705641734949986,,-0.029625797266746308
MICA,-0.029059312239049367,-0.010500783597794465,0.019971080201669218,0.0058009459848623775,-0.024687621298786017,0.0076228409521710205,0.01964179261255244,0.011734674236804986,0.013560337396663983
TG,-0.022775099513184644,-0.016160513374267417,-0.016970715863248113,-0.022059285100951467,-0.02409134403234232,,-0.0174940507081097,-0.007750081554872599,0.13951310647406975
ADA,0.008624788618827683,0.005504322262046075,0.044653038739082315,-0.0406438319820431,0.03165601046248218,0.04125737152682047,0.011802123391233146,-0.010399656594578218,0.023031731422626194
LAMC3,-0.012775359956024251,0.027412027192926968,-0.02452705358598894,0.024085129526213285,0.06294369479342557,-0.06319666367394969,-0.028665414645538987,-0.02852869597784451,0.011485637646590462
CCL7,0.01827026107409149,,,-0.024881869459205588,,,,0.018695723711309092,-0.06184676479020633
NGF,-0.0076525734490840765,,,0.03133535534733857,-0.015839918154989,,-0.025352852161574943,-0.039534218745664526,0.010280399322908427
TNFSF15,-0.018336097842480314,,,0.04563023891987728,,,-0.013199638299676601,0.015732239854822774,0.011151945279172288
HMGB1,-0.013744542811908303,-0.0034816939282146207,-0.020538644810240415,-0.006647238017111768,-0.0007739610721959252,-0.008139535800693707,0.09320581655492645,-0.017992871985023088,0.0022188871876904375
ITGB3BP,0.04308254791062144,0.010426542811769218,0.03263251614214727,0.03401775989527064,0.04378259720444949,-0.030776439801751893,0.060326365743233634,0.05188358452543019,0.0678961740540858
AANAT,-0.016683975520133173,-0.012078128420724522,0.020548434825079284,-0.021828420306608688,-0.021606669654844306,-0.03147044975727967,,0.10359371958051532,-0.02230141297483253
RELN,0.043554667809311165,0.014001361033214029,0.02607083020851574,,,-0.03935573791113933,-0.015943732590478505,,0.00828535181019327
IL15,0.005736792051379006,0.071249177783598,0.003101614903947973,0.0045990391115269934,0.08525458258906886,-0.013353010784703382,0.07900236053248946,-0.0281515226213495,0.02780049187918306
UTS2,,0.0009504062069936143,,0.0733490140005901,,,,,
BSG,0.006006149757956456,0.0562141117370183,0.04893658832364871,0.032912369441133266,-0.0077504116207018445,-0.06553800133812651,-0.014406988083564061,0.03274461218033308,-0.014888174633376137
ADAMTS3,0.04111961657792088,0.017836750213362475,0.00618853866460118,0.021697201646306778,0.06630002883363789,-0.03724135771640722,0.04463576444965078,0.06993512101998374,-0.036500916137509436
