,MGH258,UKF243,UKF255,UKF259,UKF260,UKF269,UKF275,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.012843353221801279,,,,,,-0.018807316953495593,
BMP1,0.060186512269762064,0.014572334680070905,0.011429704942086671,-0.046792612182592466,-0.06783709964394781,0.060682927102783474,-0.06253940353563642,-0.0075284856614405505,-0.06849643051535731,0.045864963007717266,-0.035692672868966005,-0.033872138085757085,0.0044165686328193395
NDP,0.03765905027530228,0.059840943393884835,0.0014406471756683557,0.031509088078904436,0.0523893940003408,-0.002864350228837423,0.0008308406462453808,-0.014075899105406835,0.04579476029071998,0.04328288781661567,0.012227551117197016,0.07940173468587433,-0.005160863406925321
TNFSF18,-0.01782952348981898,-0.025285709924016995,,,,-0.01907199396634545,-0.011533386496265927,,-0.07027633005144142,,,0.024422989004371693,0.05401089366201701
RTN4,-0.07062547316464166,-0.055996273103078746,0.022079655380709075,-0.018997199975917894,0.07734028750802102,-0.13561596557427424,-0.002834550155566065,-0.02983182664789005,-0.009841352605975956,0.05287302867887685,-0.03176800552533755,-0.021621447322735396,0.010729948327077571
HEBP1,0.01344743553595345,-0.030985655975107752,0.08981046113558441,0.011050468773568283,-0.006610926268314782,0.020497275661566432,-0.03440525685969466,-0.036581396821671414,0.024176185027280913,0.04315583487488636,0.03318350615102682,0.073902654919751,-0.034246818975497084
WNT7B,0.10259114249707715,0.053876985742016575,0.07583125718708822,0.07361878581859274,-0.00909342807966381,0.014151407079581744,-0.014372432249696756,-0.010994246255749088,,-0.03348587264768693,-0.014520366336658812,0.034582561390039804,0.0793573862157819
PTMA,0.02719951425106781,-0.019345789385110904,-0.03111919514881225,0.08007629057806799,-0.02985199703360457,-0.06135448867068079,-0.0041579878543032715,-0.032046156176768203,0.003842365915968792,0.008920806789723016,-0.03006846984441479,-0.07176317629430347,-0.030350597179373752
FASLG,-0.0157072561987257,,,,,,,,,,,0.08648249253734293,
CEACAM1,-0.021809662696923773,,,-0.0196291259108006,0.02134460898330939,0.05092954037736049,-0.01813926931339618,,0.025581773258170185,-0.01876378603025162,-0.01769327580876463,-0.02269516724720847,
