,UKF243,UKF248,UKF255,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.016494118684080055,,,,,,,0.059299045516135795
BMP1,0.07695534634043096,0.02525073059580449,0.09743070685705521,0.01646579726033734,0.08791137661339382,0.09976397173450026,0.0463560255262982,0.030402205452946685,0.12852641506876433,0.014521784003682167,-0.0005783149532690004,-0.006383839546113874,0.04526806243310687
NDP,0.038381063520145135,-0.003188932125788108,0.020485630143376943,-0.015619456844978943,0.051192309687113635,0.023622335277522433,-0.021828540774112722,0.06422054410113454,0.10045540325014199,0.05451011431139473,0.0802368060241201,0.03357478050324318,0.04145019780685049
TNFSF18,0.01217745451143084,0.004338673720508231,,,-0.012763184133613695,-0.008842928401871127,-0.018525844241474094,,,,,,0.02570208737179623
IL36G,,,,,,,,,-0.020265313562438925,,,,
RTN4,-0.043599628951112766,0.03164278614475587,-0.01394775454839901,0.026523671250227473,-0.008703732804341578,-0.1608422862366519,-0.031764528258891235,-0.021259348931700502,-0.0394009225846655,0.03509608764194404,0.06523882249701829,0.028086039789059002,-0.014256845465972194
HEBP1,0.019561927127965284,-0.05154897144283964,-0.036596539912310704,0.027465588042640054,0.004475430802541028,0.017199309874490167,0.0016414533617379002,0.0121285778216455,-0.03748141444245158,0.08135487390781797,0.05791854863370806,-0.029009656225884767,0.03517831254498725
WNT7B,-0.010225535513247603,0.008922759668014988,0.02012505011615558,-0.012538508797759838,-0.030033647872460708,-0.06247273728459037,0.029772715672434568,0.02607576259242404,-0.02227391500821632,-0.03792751690616945,0.029012520033275216,0.03416826961288782,0.04282558996015143
PTMA,-0.1203074840265628,0.04964689068409987,0.09395843886163843,-0.000701362979115848,0.05098770101844975,-0.06800966509717316,-0.006672162339087033,0.05206377849513049,0.07152755714466498,0.00671977377045462,-0.013207698803897024,-0.06927475194748887,-0.06755709549483897
FASLG,,,,,,,,,,,,,-0.021970518874742183
CEACAM1,,-0.008196812439843616,,-0.018417549806153073,,0.0666503001740606,0.019381326578296495,,,0.03996131459028559,-0.02511021393958344,-0.017163926358270177,0.025597398938910595
PDAP1,-0.006555491337280088,0.056955363151955735,-0.0519511645482358,0.032062569242835584,0.01914536917414235,0.09515705598429301,0.030354968435827266,0.044220629014974464,0.043052053065568696,-0.01923466540250945,0.007063852745586356,0.0144065091025103,0.08748013954081146
QDPR,0.05263840052776077,0.0006744309775655248,0.07820137254810278,-0.010681460366918756,0.023575837288109056,-0.1295097609410842,-0.0642172911095897,0.026259350969731747,-0.01782112110540186,0.06467771781077694,0.05857325730001281,-0.026553049408375058,0.03450130835623754
POMC,0.035176342079914096,0.020464150945393257,,0.05975669651147178,-0.022499811845132327,0.08833439834550189,-0.02149592466855275,-0.005742608783768266,-0.03480838764006605,0.09589888894083022,-0.04358411293231423,0.03864661708416651,0.043144366142254954
CCL18,0.008196045678511,-0.04674099820793281,,,,,,0.025968768832364347,,-0.057294563258777846,0.00451418017703545,-0.045405168530284826,
CCL17,,,,,,,0.013124193541375163,,-0.018512939271344925,-0.022212017466171505,-0.0016025896880238234,,-0.01991380763964626
VEGFD,-0.028813066949001383,0.011470171262199026,,0.0028424006084250297,,0.04176298309810683,0.020001073743737535,-0.015266419419271217,0.047100692857761785,,-0.02511021393958344,,
TNFSF13,,-0.014389961660130731,,,0.016850323984428154,,,,,0.08315240894976039,0.08764517292237904,-0.019273938930478005,-0.019515107049364423
WNT5A,0.04159084153937489,0.03663489208584959,-0.03351621691449646,0.023114607993942243,0.011250954185853321,0.07273346267883453,0.015261641905726153,0.023385072249497603,0.016899819706571364,0.02385189569594855,0.043729904410710674,0.0576518114312629,-0.05147667252424545
CXCL8,-0.014345978179665264,0.005558573407525269,-0.02403265720388648,0.018207454861707335,0.10776411536318328,0.050882751370405016,0.07368243107727362,0.020121720940779513,-0.02837680538694431,0.0068885814384941095,-0.049105853897693445,0.023880713192186875,0.012856888904205584
GRN,0.0300373760391493,0.03853038183398206,0.028339827202635625,-0.008419092292734135,0.013538250191764726,0.09200377038743418,0.07394601764025638,0.03410279300363552,-0.025864357575885854,0.04028174490027507,-0.037504508334256836,-0.06524000340521975,-0.05717736619895945
MIA,-0.025181094392024886,0.02888602531411965,0.08493046598675379,0.05473966470733266,0.04262476324094467,-0.030816427787468473,0.020164851971879404,0.10642225409382976,-0.027173008696094958,0.03571409021283962,0.01464052268293457,-0.09173255980251539,0.1353906482351786
COL4A4,0.040216464305772914,0.04905308694118366,0.07252241602715431,0.03801829479450218,0.019911007742269702,-0.016253729684444884,-0.0008287824445371436,,0.05253474399103407,-0.009780013972588339,0.0018391745686941543,0.008245918182596707,-0.027682715609759406
TAC1,-0.010482538862964463,0.1069045948120866,-0.03127571953675394,0.015586400049904232,0.05044196705288838,-0.033606531618308545,-0.06213425389454591,,-0.0467133570446255,,,0.00905582652119432,0.006777549318506936
RARRES2,0.041911768686768325,0.039258059500468526,-0.075413745386918,0.011849353183507218,-0.0195495716502482,0.07742018164625952,-0.02817958777632147,-0.0424620580647224,0.021452301364123082,0.009842335720757761,0.0016287796199759537,-0.03133250568154152,0.003712850556837142
FGF7,0.08159888713567023,,0.0018036323269914661,-0.03373883927658638,-0.012144774840725795,0.06459804422128411,0.008100749224212176,0.03964570595326539,0.014943052393492716,-0.01733216987319242,-0.01198002176487859,0.048029878943776756,0.039420632530893854
EFNA2,,,,,,,,,,,-0.02386557789678864,,
HBEGF,0.09458372336285767,-0.008706919568155856,0.033889657751493996,-0.029463604858362424,0.059230418983682344,0.058382819178381215,0.07751580267634445,0.06223794615005139,0.017773135591962093,0.007444278890951146,0.05042117380223325,0.00795047833107846,-0.02968273803000978
CSF3,0.024885537649514473,,-0.03070649177893489,-0.009919484507914697,,-0.017196133160694536,,-0.006434028835070179,,0.04966485208676247,-0.011202212192564162,-0.024606833004022218,-0.020966167377126692
PI3,0.10371942698472282,-0.04404123202461125,-0.05680312387961495,0.04078530566499888,,0.020671229304328423,,,,0.006371631349463402,-0.04902811860527829,-0.06826739190583225,0.0011315712590923071
PCSK1N,-0.05321404719292641,0.028464480218048545,0.03964245662777514,-0.05073548271338685,0.003503909264459191,-0.026047984357925283,0.01616091298803457,0.053276972430725496,-0.04882540908872623,0.009170321902030472,0.026588412506141138,0.023775519992628447,-0.012289260068289386
NTS,,,,0.05324786804822351,0.03600441246988295,-0.0211361162008207,-0.027557362630644754,,,-0.02550249139868848,-0.02907567785346363,0.1566534251774907,0.14859404690305802
