,UKF251,UKF259,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.04739252982620094,0.01921849288861573,0.06258403252545323,-0.014946133954777615,0.024322068526616416,-0.01415241625733007,-0.030578835531682495
NDP,0.045563040666153874,0.06671339660720628,0.03308245615276333,0.11149670318400816,0.012488452791880728,0.061819548828206665,-0.022203942694669885
TNFSF18,-0.02979360683962956,,,,,,
IL36G,,,-0.016140240177164644,,,,
RTN4,0.12434576241007757,-0.01773972804985454,-0.040305558641241274,0.06594040509934598,0.05050513583659558,-0.035836824082969766,0.030390433680714594
HEBP1,0.0453772878730875,0.0553794607893431,0.031531279664948765,-0.05503903327479501,0.025742192526051776,0.049881146338259116,0.014953921529849734
WNT7B,0.011572061766950687,-0.017881213612545962,-0.017739983978569986,-0.06250374352230814,-0.0325684557779793,-0.01161664537960124,0.02793132379343041
PTMA,0.004571695569341666,0.04960650453914835,0.056764498628622435,0.019413348066201066,-0.08135211917542369,-0.02361208233370126,-0.016713430911075133
CEACAM1,0.015058917904866945,-0.04098717870203553,,-0.04706688626885966,0.051537613362874275,-0.017297482799723127,-0.017779271091729172
PDAP1,0.04811484829125085,0.016978080694737344,0.06503675972629522,-0.01602586076117363,0.0023104834720190934,-0.008252649598053056,-0.018452272091948906
QDPR,0.03887286088998412,0.008056653511539842,0.043523173387686985,-0.03695063150904231,0.02424100454393496,0.06844955567365164,0.051806479001180974
POMC,0.0009513682091953458,0.011467900928904007,0.0037333770137234364,-0.06624746871015981,0.013624278596736554,0.0227505840090126,0.02130695115504428
CCL18,,,,-0.04035739432479074,0.002964887000140566,0.006497104862468178,0.0013097225797726912
CCL17,,0.0506092800318793,-0.014744567623103168,,-0.019787049682656734,0.07297107114970652,
VEGFD,-0.010947654476736995,-0.026467560197812354,0.19520943437655625,0.006313058857799006,,0.02891049838380642,
TNFSF13,,-0.016386823223208506,,,-0.03796837628055885,0.08114752935775471,0.01656398328723721
WNT5A,0.08274600837058835,0.014781566494352692,-0.027674916914908435,-0.11396662683676434,-0.005156611583972036,0.01005745291380913,-0.022261001718754423
CXCL8,0.04623072502646253,-0.034517271292092186,0.017472648238173613,0.07194295516495794,-0.03620391727286063,-0.07878183895441766,0.020161868260958955
GRN,-0.025347174650920182,-0.0028243699236499714,-0.028449938965715113,-0.13295628977982096,-0.02164329715693901,-0.022869117121860693,0.03085200312500191
MIA,-0.020954586719112073,0.0089897511674891,-0.02164185051170623,0.0021677903051188197,0.06635483336972274,0.12972564950467563,0.08003346251989324
COL4A4,0.009273414355813338,0.016609440799267818,0.011723394886073085,,-0.042683694608352044,0.0015966560882733826,-0.03583137633468425
TAC1,0.07241395378222318,-0.019646728716432235,-0.03720469460582884,,,,-0.030674307636294033
RARRES2,0.03557709769771197,-0.01587874193469392,0.04249999989606701,-0.0059572174640584894,0.04274694157731835,-0.03838489923776407,0.039711183158893784
FGF7,0.0018757514792878782,0.001824722547233359,0.04796887580133948,-0.0033439063640744626,0.040958387449770706,-0.024543646392530788,0.03549246746858158
EFNA2,,,,,,0.03338257211242101,
HBEGF,-0.0023717346503522715,-0.02939674808972471,-0.018335300993496922,-0.05230694611611768,-0.005283623026336258,0.005817961304827882,-0.041932571143661695
CSF3,,0.024668451139244634,,,-0.006374423120976935,-0.03439746332187889,-0.02548901373470534
