,MGH258,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.059611045389308566,,,,,,,,,,-0.034210381690315005,,,0.07597128522113156,,
BMP1,-0.048567184646594416,-0.007072736538818366,0.029160441834713075,-0.03415132569421281,0.0545924940611999,0.31289821811827506,0.046409662786556526,0.08734675765849861,0.07350410720708393,-0.05970438269764103,-0.052325566251527116,0.08237601799727734,0.06857580016479466,0.014503718368897129,0.04043572014808545,0.10324173906143531,0.022996314077362006,0.13436338728521507,-0.00403761391729221,0.11156514684842256,0.05421766964562114
NDP,0.10089260956206192,0.057105959503277195,0.003932666026900661,0.036168400688361066,-0.04676802417039827,0.09758397579612697,0.005097231743915913,0.00013129883410152582,0.004378203164593598,0.032994128261511914,0.05032908389008214,0.10365894085589966,0.056233030894822685,0.11595135286702099,0.13493973834424228,0.03794294662914095,-0.012749422113241505,0.0512180785154304,0.024767467217708856,0.023576485621111375,-0.0787797371063335
TNFSF18,0.06820798852865718,0.008244113851910082,-0.02987181673940395,,-0.020261885622283354,0.0749167544411347,-0.003943760651881543,,,-0.035075022133331336,,-0.021461833892440274,,,,-0.03528056278852399,,0.008002946365722824,0.009259957785043885,-0.017437295562867324,
IL36G,,,,,,,,,-0.02681643494318491,,,,,,,,,,,,
RTN4,0.024953534547335437,-0.05352571184431375,0.04660467539178938,-0.028602573796050884,-0.03562234081699031,-0.36785133136294546,-0.052909443537363245,-0.07587163663698189,0.01067937832233482,0.0332028134229446,-0.11486812038733327,0.01699457927310573,-0.10236574872996904,0.028291041156705776,-0.03884375291164843,-0.0788490450798202,-0.02089110796912163,0.05789972245438045,0.0399708011063665,-0.007527864922619684,-0.043503770819755434
HEBP1,-0.034564080038856616,0.0327661170694439,-0.048886777284784556,0.05158524108277103,0.009772182905357215,0.15090640909026987,-0.0335030823461062,0.07376275792728793,0.0033156438260997746,0.03520312755502003,0.06564732805489744,-0.05416486940933931,0.024593546067215564,0.013539790616005232,0.09336330614055456,0.09813264835564797,0.009424234146783611,0.06972445245135778,0.03489166435398031,-0.004956426039590828,0.12003134247504199
WNT7B,0.0501279535910436,-0.018050951564366764,-0.03327090446841099,-0.0004650541469565124,-0.007486071554991713,-0.1426199465169837,0.04694173599974451,,-0.0057133091213199165,0.22549950938792487,0.017513369803233408,,-0.017028427018010613,-0.0010119420534189828,-0.00919650417185209,0.022882642696623393,-0.017614616590131523,0.006350060292922966,0.008627648957288223,0.007648133530499827,0.15212752343653435
PTMA,0.06966242875018744,0.033226686720625474,0.057155139626484434,0.11107870225936411,0.08663680399591925,-0.15373061218584336,-0.05908494672610811,0.15960619225828604,0.05594121948894567,0.03548652804393941,-0.05977251616391265,-0.1172637273529127,-0.16385400812245052,-0.10552986812632614,-0.07927484060359502,-0.09347090867803207,0.018461513094110253,0.07028277525094208,-0.07709904733636931,-0.01978191115879845,0.0415536749482698
FASLG,-0.011709982310997425,,,,,,,,,,,,,,,,,,-0.028253341443376587,,
CEACAM1,0.02191375826130816,0.0019239771828016387,-0.03165694311008096,0.02936860521505873,,0.1196493873590436,0.010026739915094741,,,,0.028554633894064648,0.048810628207457435,-0.03636864435036542,-0.018661215921852225,0.005321188490239389,0.18143867215008977,6.416619070596623e-05,,0.08431331045523228,,
PDAP1,-0.02540315641776864,0.0152194562987398,0.026550217731382046,0.031902993901719176,0.04296984784489757,0.25689951751972523,0.020073278038634224,0.07422605850504782,0.014894685607577804,0.03471105051378266,0.0003086310005174944,-0.02979979386999779,0.03680570077197296,-0.031193710440236225,-0.060459333936327075,0.06909598711301104,-0.004632485599244533,-0.038017835577357655,0.08149171412405586,0.09515119119068223,0.03660411553451043
QDPR,0.07096604057935758,0.09202624659730992,-0.026772967868209093,0.021989210950325418,0.005655881590287994,-0.25062299613378736,0.053817645220239164,0.10192415944496834,0.01574122948318177,-0.016918676713263085,0.045359719880511545,-0.023718940948710597,-0.21192672079323033,0.04193628749550947,0.05046861968824234,-0.06368674677219296,-0.029508499374112943,0.105372005672425,0.11845477302449256,-0.04908970597650568,0.028465428240540786
POMC,-0.003383201721264116,-0.04814559616350877,-0.011795521096907891,0.06318514739903291,0.05372231182102076,0.015360726438755301,-0.033675256014718054,0.019632421275228247,-0.04518745583124385,-0.018792563893300213,-0.0337489967909625,-0.018777868756846314,-0.061700246495501966,0.05128093477093608,0.04933666790468757,0.018606553259330118,-0.002215788338535389,,-0.007007772644170921,-0.03717147071888511,0.11418727894888728
CCL18,,0.0013331998568368007,,,,,,0.06841676743597694,,,-0.05195579618318255,,-0.06178102441157419,0.05170298377443092,-0.008405148663355396,,-0.06093522884268684,,,,
CCL17,,,,-0.03551879729514806,,,0.07114182328740858,,0.06224619573346053,,,,,-0.040943704947023526,-0.03363561976567077,0.07720985910735936,,,-0.02560848061387668,,
VEGFD,,-0.012846007945662768,0.012123795738479333,0.04394700222928359,,0.0635189542888019,0.027773987751374005,-0.035850172244161996,0.012951711384285525,,-0.058534012090227086,-0.06792911730030077,,,0.01736938974091916,-0.025992035067499242,,,,,
TNFSF13,,-0.0027150965046404997,,-0.0440111161483912,0.01822865241661509,,,,,,,,,0.015035522745152808,0.0690822834434098,0.02918030263149434,0.043162959320945354,,-0.04172688170728427,0.012186325572867779,
