,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.007870110413090853,,,,,,,,,,-0.02071949726367798,,-0.02928042454135993,,
BMP1,-0.031871529214426354,0.023942411545600548,-0.019316065763519942,-0.027029098409881765,-0.06315730079882836,-0.059328056787230646,0.07484087093155581,-0.023897792898167486,0.03548887631281219,-0.05891248722554937,0.06431474215794568,-0.04248447189642844,0.0816399572450099,0.03816569056296487,0.014825134172479455,0.08057824249770451,-0.008039389035323911,0.0015481916670545242,-0.001067578650962187,0.036655379511386726,0.09750562040128562
NDP,0.06858864853254011,0.013262631832016364,0.00334299177290894,-0.09219160038197342,0.007038025989040092,0.044829536884407155,0.013865830307090725,-0.025034267040122824,0.013896234242876828,-0.06278764243946981,-0.029472764910069064,-0.0036212825731295243,0.08370524645007044,0.038471262987562586,0.014361764759652404,0.0321075065157025,0.08367637357744256,-0.02505909523015072,0.11221124729220454,0.012271899654688827,0.0028575025430823005
TNFSF18,-0.02382261009598667,0.068917461536892,-0.019898192415244747,,,-0.025746489082798453,0.11475321026539378,-0.012619298072054272,,,,,,0.03666637991140073,,,-0.02136765180742744,,0.013671080765848852,0.006508871831082313,
IL36G,,,,,,,,,,,,0.03227841820542605,,,,,,,,,
RTN4,-0.018061950358630535,0.009369847539643521,0.03615504002556844,0.023366595833544484,0.06757902252734632,0.05404121451985262,-0.11237498822856253,0.06982326198944454,-0.029896717328177495,0.14570969749822135,-0.03010399469460384,0.06771672860659637,0.13447561439445932,-0.029567104070832347,-0.05991708035906115,-0.009669570547001691,-0.07340340063326005,0.01332061897922756,0.06569458903466459,0.07133040981875052,0.04488407485952571
HEBP1,-0.0025184120171718744,-0.04531702744057954,-0.03428854338979397,0.016609451638434736,0.03444221960857241,-0.02952281255131934,0.07225969696108886,0.010973753297128883,-0.008691467538787832,-0.06603331790065733,-0.029829805809525548,0.007074123830181429,-0.0778724319555006,-0.09275538693016545,0.014329240903288463,-0.025447488746202788,0.0029257185298761667,0.02505673130361764,0.0493337930537132,-0.008670683709272292,-0.022950121088264306
WNT7B,-0.020986973349667308,-0.045012906315615366,0.0020706061253797075,0.027770183778241902,-0.04178786657404052,0.030219586119834826,-0.043326276756950624,-0.020104674099667347,0.009852573486507718,,-0.0031962540278938608,0.02701260749904772,0.031929109314203015,,-0.016738601417274887,0.0067026673102144625,0.011284028484452617,-0.01479403960636224,-0.02061050934327971,0.10350826867825166,0.07798604127735637
PTMA,-0.0047383229757173104,-0.059702621404589234,-0.0008922672891775805,0.02765959517903794,-0.01908295086613027,-0.056947789544240617,-0.11766833578214618,0.0507729826111863,-0.013395462344988788,-0.18965562990731552,0.05189943664224591,-0.04484512291167411,-0.12546194954451503,0.033802482013558795,-0.12307976153549352,0.002523389903299785,-0.08214957711959099,-0.03347064367101393,-0.06912736150938698,-0.018624750046801287,-0.06589620167673081
FASLG,-0.02098697928263091,,,,,,,,,,,,,,,,,,0.008079207242443464,,
CEACAM1,0.0369826925252385,,-0.03119299148945483,-0.011065392270910926,0.055397974570181335,,0.0033567444013872646,-0.005274780631034395,,,,,0.020228643194980467,-0.03834492879170233,-0.006838857457462205,-0.023340008521124,-0.013128004298560031,0.06260520871912523,-0.03533327660072854,,
PDAP1,0.08878249104025934,0.005967298809566686,0.008879813278776596,0.06020345358726279,0.021742710011369012,-0.022440591043751835,0.12053494879347622,-0.010213444424975073,0.04761439216757917,0.07480149701874221,0.03617608807684492,-0.052815087558856756,0.011029448293517288,-0.08693495535541597,-0.06935785486930841,-0.0029506752672403156,0.07871271763696519,0.02689091770053693,-0.028629420066579276,-0.0839787375848235,0.07501544432737013
QDPR,-0.009461390297960455,0.014355483702470901,0.021797171715726753,-0.07213251578638491,0.05033533486822252,0.031672154649451854,-0.14497148706917898,0.047994784574591394,-0.003544968889377286,-0.1707911247436101,0.028000908911208246,0.023407349102099885,-0.02132242596242941,0.029516927842104853,0.041032005832970994,0.015750616580954006,-0.020678988480866307,0.039772137702354056,0.06881632168864595,0.021595048480473944,0.026675758188126363
POMC,0.04428783927307018,0.06072646021795667,0.048804585352247264,0.0060233491969794726,-0.001221320926457133,-0.03221967848206148,-0.028311623167489565,0.019911602418543943,0.009218933658480609,-0.07540033053748783,0.027936691854046927,0.06922696780000644,-0.0027446489286762975,0.01232795028647301,0.006966437497023812,-0.009508877589892266,-0.05862594963534549,0.0076630123188444,-0.02126835546607144,0.0236130564486526,-0.05334160288145185
CCL18,,-0.025863633683013778,-0.0029403393680241304,,,,,,,-0.06074426506363693,0.0849305727364663,,-0.02564433628968258,,0.06639856805753326,0.09627452520892034,,-0.03411207416867503,,,
CCL17,,,,-0.034107070862907915,,,,-0.023362820802510592,0.03880800151166288,,,-0.02157607269353505,,,-0.023977787916486516,0.01564219405613544,-0.027317460280004244,,-0.004945441958803784,,
