,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
PDAP1,-0.06346299805702448,0.08107039898126711,0.061563888247170254,0.05210224828397621,0.057165642956589054,-0.0085076913995087,0.03333777767258452,0.16808692042520243,-0.11271077498173432,0.0044024533986453335,0.018002942700868357,0.06768736832481445,0.0029072035535710515,-0.0781750494468844,-0.04708848992430972,0.05353802685063084,0.034116576399485184,-0.011320155671772962,-0.04495030962581413,-0.003654862654071637,0.06922281753887843,-0.0828146003502709,0.09744169932757595,0.13935557616971225,0.020106147220058067
QDPR,0.22438613276146094,-0.10923364419603342,0.05343284119349763,-0.039315648127961976,0.039244067861983804,0.0029068767778773776,-0.08776502095640679,-0.07354267817708764,0.1453053688840688,0.0446741042840225,0.03730369343336698,0.1044841036050276,-0.007695013901705928,-0.03915532884446568,-0.07551463837048675,0.05712998668448999,-0.1815091117486881,0.12780939423333945,0.13470757960028595,0.05087965117580821,0.00012842387203116046,0.05946888309995466,0.08749310692396198,-0.273303924835985,0.06217656283905132
POMC,0.010704216666210704,-0.10144731344352781,-0.04984332969540527,0.008630055871981096,,-0.01696636508725089,-0.003138319807017113,-0.05292774155198023,0.06670465596503934,-0.01532890560620669,0.060881191133250905,0.01697722267053596,0.02525225442446121,0.056635617000580854,0.1078950503640858,-0.028315180827558375,-0.018652175947164815,0.0596655803802375,0.004475472638285945,0.03714387229876616,0.04380068060684545,,-0.008622552962986734,-0.03587243931396972,-0.050530827611787225
CCL18,,-0.013312873562144254,0.036519506915481954,,,,,,,,,0.044019023603073915,,,0.006709540013983588,,-0.14989978933259798,0.06923575542245793,-0.0014369427666622685,,-0.09513067684335877,,,,
CCL17,,,,,,-0.0019809152083947643,,,,-0.00755255457223729,0.0087731082637082,,0.0216893619804183,,,,,-0.10286478933112171,0.01949783920498626,-0.025207773197610587,,,0.005628111936248128,,
VEGFD,,-0.03355069149229874,-0.006084975298572054,-0.012794894951457634,,0.1367520491621981,-0.00270224397255216,,-0.06475630520724095,-0.011070431290039937,-0.03779914158200497,-0.03962343020025669,0.021352932305174273,,-0.09168355857153548,0.025745369521345055,,,0.01708961677229043,-0.003734995852155256,,,,,
TNFSF13,,,0.025633073701155678,,,0.044204905815167145,,0.03330312497339977,,,,,,,,,,-0.023399729943847477,0.057368706578337494,0.015390709041084579,-0.019681436683281487,,-0.017119718357666264,-0.010402965302142544,
WNT5A,-0.027388726359105366,0.03146585571290369,0.02125805110948888,0.00037419326561664477,0.14622512936668733,0.03346963323487387,0.048130667017239136,0.3100692508186748,-0.17353588753601032,0.0555056451077398,0.008935212517496951,-0.008345808550348072,0.003402272757589814,0.054302801763747695,0.04176191359166088,0.006150269123330427,0.05730557142268805,-0.054917694076645325,0.0633101817084376,0.03723785862048288,0.04105287790032612,0.09004971943440908,-0.02063446741767914,0.12592761434048502,0.07816467173640652
CXCL8,,0.14003176290654754,-0.03686520201909055,0.0340395243571389,-0.12788093054456456,0.08328844505626705,-0.03910592949534078,0.03583431274213575,-0.06016443071134272,-0.060433253268507084,0.03103215407781108,0.0017913046507984321,0.018800750972071897,,-0.023624188643136975,0.003305168566197907,0.180214574305028,-0.23006315680059927,-0.22846421849066473,0.020981190019651565,-0.09103849025871259,-0.025828723398825606,0.004563296197077796,0.2012075561458122,-0.0716525111058575
GRN,0.1271344161389872,-0.030671953825821566,-0.05576971582955921,-0.06612448657186552,0.18564568689695982,-0.0015210595414060942,0.011882172429582704,0.19231506355386213,-0.18058456974370782,-0.006225375236480479,0.013605452328873852,0.07495824323868003,0.08566821690779403,0.010461348303869028,0.20708371632503067,-0.07402986444762286,-0.07739892137881664,0.04785516637935959,-0.06027399138760969,0.04514279656949727,0.019988341482330266,-0.053464343352854805,-0.1912179419351136,-0.16973200395295376,0.017015690058252604
