,MGH258,UKF248,UKF255,UKF259,UKF266,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,-0.016113796300608548,,-0.026403995355006447,,
BMP1,-0.021064328815472988,0.08919974785228293,0.08297728733814594,0.035686649976705793,0.03569771921759098,0.045194851725719805,-0.009195654558493303,0.03449293735360031,-0.025890136266557267,0.02035259157720038,0.010338970128061243,-0.04516126770738004,0.033298225916941225,-0.06253713300072167,0.04328292385624427,0.08384391680004266,0.05252620992473522
NDP,0.013144836501815508,0.02474811510751937,0.06397610747473619,0.050473450749593016,-0.016556087496424083,0.005515262851192864,-0.07548178544288385,-0.0010571944473930833,-0.020603988461047273,-0.00979510450092957,0.0700731639298997,0.05007116500591458,0.026715051583608936,0.05136701194385577,0.0959255262018074,0.0428749922028396,0.007877117262871968
TNFSF18,0.04864471507478035,0.05814726808387445,,,-0.012399101177060105,0.04845337446769342,,,-0.04352269688758497,,,,-0.016617873699610007,,0.08279625321421394,0.14889762717410013,
IL36G,,,,,,,,-0.020676885861774442,,,,,,,,,
RTN4,0.05176873685197983,0.008366892627371034,-0.0032470813467502645,0.010105163146359876,-0.12776063102425234,0.03616246731973758,0.14113928282862784,-0.05268652880631805,0.015245317148642343,-0.02643014372912257,-0.012809613470730168,-0.08944351604719715,0.014212366890328891,0.031288233485050866,-0.002162076387331233,-0.028444363790895873,0.09058348179797206
HEBP1,-0.010418572965903197,0.05456871599221706,0.11469716558312883,-0.029162458390670463,0.031926153240771804,-0.030364862007372838,0.08100602259775212,-0.015413256378590772,-0.033577725686648435,0.08452355203949768,0.07669018076849798,0.039221508253685276,-0.03539209591167443,0.007762372099644949,0.049372677367471675,0.0439735241262932,0.020953364039381542
WNT7B,0.02231985861310556,0.008235334656943533,-0.013211644930533832,0.01659096199516473,0.007043256138801231,0.012904436606880178,-0.041789700892101996,-0.022726280395353817,,0.1506475057634937,0.02714383023869155,0.0554336681519771,-0.03474931825688636,-0.011239661220397858,0.121804755396311,0.023547265224005146,0.049717631102580206
PTMA,0.09315895694759868,0.03668428534730018,0.09068695424370703,-0.0842667380583766,0.14678384698706815,0.0036368146193557415,0.16100209590805398,0.11510663838435425,0.07788921950859307,-0.0017187832730767817,-0.024532128882103592,-0.01898274821847843,0.07053078390566765,0.06809537056011428,0.03711632170994353,0.07721125640834371,-0.01414581894834233
FASLG,-0.021979650079285446,,,,,,,,,,,,,,-0.022900176163543912,,
CEACAM1,0.07445293280649125,-0.007903551243226508,,-0.03227729835060126,,0.03246308665126851,,,0.09406803152171847,0.013448368306301512,-0.04044805201346451,-0.02681657310099582,0.020667063398777955,0.045203418972972156,0.03329452506360713,,
PDAP1,0.006541586556329437,-0.03564783913514393,0.03543779213826436,0.006342366684712649,0.07415369139653462,0.05101981732299434,-0.052596664607853116,0.015289180685215566,-0.11271318126570286,0.005792289449223652,-0.0357475769990889,-0.09075962308100359,-0.05396401809031785,0.04166682570431189,-0.09461097244161745,-0.027682246694264747,-0.12257533711813912
QDPR,0.05282172417419182,0.04433225073776138,0.11978556313237802,-0.014919168724530078,-0.06044539694475883,0.04950526193177255,0.12138987596849067,0.01861175460553207,-0.029743149655888784,0.05889905933326425,0.013752198607986463,0.14050254668349935,0.02878846555192125,-0.018318342876449824,0.017801530610569546,-0.09293110098396735,0.0013683034745884189
POMC,-0.004140379521001242,0.0026815499548395413,,-0.00874896622631117,-0.03271132968491083,-0.023535752708235182,-0.02917873280928027,-0.0026786087774184858,-0.02121532575346595,-0.03498702472679563,0.05073039381438129,0.024710636832049354,0.02330068049880985,-0.03723064782101117,0.011588679019157831,0.03953493766048585,0.06870744189241484
CCL18,,-0.03814951040812131,,,,,0.13017209633761945,,,-0.022189605068316975,-0.0013936423117241756,0.05809161357645702,,-0.06771989307511322,,,
CCL17,,,,0.07167408147889703,,-0.025297885562857038,,-0.01888892225132154,,,0.04940302324483532,-0.06789182463167374,-0.0212451096086013,,-0.020756437553192623,,
VEGFD,,-0.020640072387091497,,-0.02678989245116675,,0.014406103791292802,-0.05656137153619754,-0.020243843029691223,0.12662316929302378,,,0.07378003503509518,-0.022407033348465777,,,,
TNFSF13,,-0.028788853906382944,,-0.022104336973275844,0.11094031898783681,,,,,,0.024768804374103174,0.06205991694949119,-0.022782632571570538,-0.02555677230569884,0.003430412198993557,0.0435527469360567,
WNT5A,-0.05047874342426279,0.014117932530239253,0.00529787555918499,0.014350291085995776,0.1406848984058625,0.019004692200593466,0.03885645779926052,-0.023796103293662264,-0.009467340883439297,0.006391584476014545,-0.003579848701100772,0.012448463464119573,-0.00525739403527047,0.055037643760052095,0.06302157046455031,0.10654562148008064,-0.047302876798571085
CXCL8,,-0.021293312260375168,-0.06618238007496914,-0.08008424092399687,0.004889253489541406,-0.06044928739915384,0.03733183253586597,-0.060865489966433185,-0.040010609032922355,-0.03906829332593795,-0.09731361058265392,-0.20231823917578662,-0.030163424537123347,-0.015232244920718112,0.008346102680631488,0.04859360932591917,0.0015369708467084318
GRN,-0.014372372139626315,0.030128597556082035,0.05350542773006539,-0.02198162206888156,0.048485127184064815,0.006950159590212823,-0.08485680211124999,-0.04709222046072661,-0.050962925548088,-0.030260515435373708,0.06307639650672571,-0.03835224337311863,0.00012443166525632864,-0.0907137041102417,0.030800097631273643,0.13460053329193436,0.021687701900992656
MIA,0.0029492187414323534,-0.047797142181727946,-0.04145080395700915,0.07447785643851211,-0.0042130351308820955,0.020882112697597422,0.02714045916198833,-0.027724870755098295,0.0995625581373125,0.0331327428743993,0.08854298161547573,0.17963276773609313,-0.053431190441074215,0.027676057210746324,0.02811992116499058,0.06429130021062775,
COL4A4,0.1029940541456143,-0.007312456113067732,-0.03154177127716176,-0.015831678804134903,-0.011440820029235224,-0.026411775210593756,,0.07337524330642348,-0.0023355778022749072,-0.028054594021049116,0.14820749921863713,0.030562554614170647,0.0007449931385713789,-0.029340894746707268,0.03987115052779529,0.11450519227153062,
TAC1,-0.02197963812106221,0.039548407992008164,0.04000976307811724,0.08299421768802122,-0.12899875901886326,0.06933447280290106,,-0.03940491536869109,,,,,,-0.029831251931889666,-0.027286447767077584,-0.014057958722573254,0.042786626244189545
