,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015697210534577975,,,,,,-0.01586388878746936,,-0.026554077760393358,
BMP1,-0.01077421196797105,0.012840494873944707,0.12142792389615233,-0.03255400556960092,-0.006199790403635829,0.05431193347092345,0.05652034320685686,0.04257717981738494,0.045108874064847766,0.03468111185412584,0.007507913817501577,-0.03262105625005628,-0.0017749145399103636,-0.08767202337450827,0.04704272638963648,0.001446204803757131
NDP,0.01600955131581006,0.06114547441121047,-0.006623702931863767,0.01779119980893478,0.00430045680335936,-6.047411429165361e-05,0.031609735919776095,-0.022385156092443206,0.032487474502544064,0.13879660380788802,0.006025264450149673,0.05151610643510133,0.018954973101919455,-0.03208836968235997,0.03923550194467707,0.027535946889947437
TNFSF18,-0.019872591406875053,0.018443915498859667,,,,-0.019178674957165156,-0.007087253489538342,0.006056202642369615,,0.18042798182647865,,,-0.01636014849243621,,-0.014391793811983827,-0.026348568791353392
RTN4,0.07619346493099712,0.0013752428794934907,0.03803168594718051,0.03403564401546616,-0.012075193575793279,-0.09261592016748246,-0.09784286008325349,-0.02157920637804426,-0.0647785562094255,0.0725087093647417,0.01587549823117406,-0.03961316999670579,-0.02157829622818778,0.04632332191042181,0.002952984942993926,-0.014932309411099933
HEBP1,-0.0022947662258204454,-0.0033586935256733658,-0.051462652246024886,-0.038671479984708136,0.015051526982984112,0.07706864279708925,0.02190555787290059,0.036586296346773274,0.0037142291168731478,0.0957191435788709,-0.01643520163428228,0.00819861996444228,0.029717765469186145,-0.01550838909341767,0.012112160612610022,-0.02618855235284644
WNT7B,0.003644366726841358,-0.002799706905905537,-0.03824825948101857,0.012227290660148368,-0.017426375031353088,-0.01127199561928194,-0.04042455871986712,0.025038266586838494,,0.08117125867217351,0.03296320597299961,0.023005582167525317,-0.034210393999259195,-0.024159453460630347,0.006644555368796164,-0.027349390753827384
PTMA,-0.08952436636600354,0.042021562706652776,0.03013020175434908,0.013116772582487852,-0.018464589250604794,0.13949484768005543,0.004191505061790412,-0.003655050132846509,0.014414116517896512,0.09875776251149505,-0.062026876488187055,0.00422537079132883,0.016854795111201786,0.07102313333516068,0.002949610131790083,-0.060585340555953604
FASLG,,,,,,,,,,,,,,,0.1226376660865078,
CEACAM1,,-0.004240596232824002,,0.0017062730971580341,-0.01734562461355521,,0.04528116218778609,-0.021624060531645575,,,-0.023177934842611447,-0.02334000575423949,0.04030803666575749,0.07828263445509123,0.006842086617235822,
PDAP1,0.020827048289590106,-0.0217023381335087,0.009204879059268313,0.06462280038167909,0.05146805030732626,0.0870028461443054,0.05703428784010601,0.015492891804916146,-0.024644001625749024,0.021070089332812365,-0.001720097849376804,-0.01688707358365921,0.00399954288809163,0.04055372481399726,-0.07620268623988104,-0.021270121083395106
QDPR,-0.02477290191434897,-0.02565057918952952,0.07989114059550684,0.021193546205462425,-0.009458634967039874,-0.05051360471960751,-0.035428791070540214,-0.0048596144163999405,-0.03392380439928843,-0.05163746709784409,0.0695004596727029,0.07957178488214497,0.039134039475573916,-0.02721096009978519,0.0063447734608285105,0.002294836884422947
POMC,-0.006675719535152302,-0.005377440352514813,,0.01525129449439681,-0.023821030323257376,-0.03427618152245619,0.04908634027178152,0.01793542373856598,0.07016271434309151,0.07847688178744817,-0.009447128958781045,0.01822397213161144,0.0005475177487780942,-0.026231121864790447,0.04517049007876484,0.047598344289901666
CCL18,0.12255310145678329,0.004688231827787552,,,,,,,0.01865250373528761,,0.04341169071248265,0.0033375543425737952,,-0.05522039575014091,,
CCL17,,,,-0.0010863595238233806,,,,-0.017147805943594115,,,-0.01644362292725221,0.055625300942701524,-0.020915620988439545,,0.01898792489798159,
VEGFD,0.08524314275359714,0.046849063936532286,,-0.005854828257395764,-0.016595311552925276,,0.06145796697735361,-0.018269536851517994,-0.01951586383557518,,,0.04602859862784868,-0.022059524550633293,,,
TNFSF13,,0.06903958945507736,,-0.016976411159547813,,-0.01859931381116348,,,,,0.036092340705689785,-0.001052585186624358,0.0214630128216011,-0.01800620854206991,0.10046237498075059,0.09075700024205023
WNT5A,0.030751883907539038,-0.00855434079775731,-0.04169046548856517,0.011947251537328082,0.022092958331696964,0.11569127796897555,0.05877152323691915,-0.008811650329221996,0.02541674337351801,0.05398672694723479,-0.02316987672191528,0.05686519171407733,0.005020756194327581,0.04635174517971327,0.08607454357117159,-0.0228855999652639
CXCL8,-0.03893253286296776,-0.010566984164962786,-0.09878354555883452,-0.016704016755135102,-0.05460784188078156,-0.026456317560591636,0.08986085342840643,-0.0015378250695383003,0.00963323559469396,,-0.0248696993808103,-0.1153826129847952,-0.029695622519944474,-0.014250983327088785,0.011943515005975834,0.025670313520837762
GRN,-0.06358306745653246,0.09148083941295143,0.0511495259351417,-0.026203721021578034,-0.045492615863462746,0.06013802551748789,0.07318093094920135,-0.0061076144220315425,0.04875901395704468,0.04018709866137733,-0.04222855986741204,-0.04194892856434234,0.01834853546393667,-0.08033152679298396,0.09269756516064082,-0.037281646722112934
MIA,-0.01732882585412875,0.13450366346959888,0.07995733529857703,-0.016388537903795183,0.00057578050314728,-0.011960752877651052,-0.018258712127813877,-0.016101444159102894,,0.06846124432994478,0.07781444668568287,0.16581257032759159,-0.02630703371148433,-0.07475034783697748,0.0003114072039765791,-0.010156552948535595
COL4A4,-0.030228058514553225,0.0017411729316309395,0.06388406259522131,0.06126661370037242,0.028039087998517377,0.08526451600928188,-0.01546843585375117,-0.017902839935447248,,,0.009695437396310173,0.027992493945341618,-0.03221882341792672,0.013914179972778318,0.01729092920725068,0.02939664130939391
TAC1,-0.037858286680861365,0.08719103897878856,0.06638432136199644,0.06806683110462522,0.002201770371317753,-0.043946111258907,-0.048033761287334525,-0.026110498652185808,0.06285792806336826,,,,,-0.027664909671435402,-0.012568404614641336,-0.04601131065867159
RARRES2,-0.0056548405976940665,0.02487068272992582,-0.09228684538663051,0.011884052239556296,-0.03720221964368346,0.054538849813061244,0.03871307974547766,0.038829981056257436,-0.003971481256225947,0.046977420974409774,0.031159502705987302,-0.044329853923698447,-0.008068462099416163,0.056906593923781515,0.04559386188018289,0.01188607390187614
FGF7,0.10108616234452482,,0.006407205945691834,0.01163419133615684,-0.03177519524302982,0.022614784426286127,0.007697318361855339,-0.04081181259034529,0.051371207945243205,0.141371364592032,0.04285749636589367,0.07606792669291843,0.06654392896511072,0.03927879306341751,0.029842643535899566,-0.02908400055573642
EFNA2,,,,,,,,,,,,-0.003099755199225174,,,,
HBEGF,0.01253593521784676,0.03575496541938647,-0.04406030522206794,0.0019301799141664508,0.05176996978900509,0.10266660276681425,0.04483197254668483,-0.002870882999904971,-0.028387576945787828,0.05532719614731725,0.045598873562839516,-0.004985430057200797,-0.007280322027692088,-0.004462275206942988,0.016992532667442,0.008664056257658146
CSF3,-0.030228034582909003,,0.011662382791662616,0.01992665224330007,-0.05529120501403251,,-0.016365307402849884,,,,-0.013687411596836294,-0.06743248157662117,,0.043668474257768215,-0.021977542728546753,0.011376960358938043
PI3,-0.03580961459769657,-0.037069984787887686,-0.06432046186240328,-0.008397473083155763,0.024380304967373638,,-0.018427552134286863,,,,-0.03964177903374318,-0.16156009134940433,0.039537601682026705,-0.0030318321104361072,-0.04774989902633958,0.03260720643667372
PCSK1N,0.017325877144388775,0.039368092206181114,0.10451338450135383,0.008576315128344239,0.056499347251634434,-0.04276284948730633,-0.06595147967232799,-0.02284465090673717,0.006095206460162188,-0.04531033722396938,0.004543134894755352,-0.06148982313432248,0.0010374428100146807,0.02419924560183934,0.044229162479404664,0.022600310308028348
NTS,,,,,-0.0024890851672396434,-0.021603314599207616,-0.0014707480263835362,0.03376437694779671,-0.017570546476303975,,-0.03836126057121664,0.0046902677059008045,,0.07807375845832207,0.02095436041861672,
SFRP1,0.08453361700140316,-0.002988201843041436,,-0.02147442091574688,-0.018932376558474576,0.08616640482975176,0.025051352338390582,0.04350470653121374,0.01556045210524177,-0.019597377263833267,-0.02651892813737804,0.07019885784302589,0.027692305054565807,-0.04595695024634331,0.05182335544413626,-0.029077058664905446
CXCL13,,,-0.019713595941318583,,-0.018762226946941515,,,,,,0.022827346319252526,-0.027564533547739068,,0.005372368128062441,,0.044908001781409836
MICA,0.044399848054303845,0.07602337216166857,-0.026090768585670124,-0.033392774967371655,0.004394076592949866,0.02090046548011244,-0.0012849650854422688,0.04067436206625747,-0.05593572062006931,0.10719778882031734,0.017999099712482224,0.04694805520610067,0.03476260428458,-0.007315922876613911,0.0654966483611397,-0.00366122702116341
TG,-0.024096568313039798,0.05964488921358799,,-0.02317430245172444,0.02041808594113708,-0.024935919967995254,-0.01975146186432017,0.014427245033658151,,-0.031891664496785245,-0.0018346040575465106,-0.03328536775943505,,-0.018919753030849744,0.01776185363585309,-0.030121811445703642
