,MGH258,UKF248,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,,,,,-0.017079225447173375,
BMP1,0.02684449849693797,0.05482756786731083,-0.00227440400548446,0.0356970342236748,0.011534870966803102,0.011004110546254943,0.005807171971778125,-0.04670207681858508,0.04011131705241832,-0.0706982930099825
NDP,0.030253324374265818,0.0046914588280878204,0.0005077970319718174,-0.040754031338956456,0.04507499672057326,0.04795056098860469,-0.05165825522920759,0.0004717153952688281,0.0203849233780747,-0.05483259622246342
TNFSF18,0.103309582784396,-0.024830501069595397,,,0.04181286555615184,,,,-0.017613503737637155,0.017533854403472167
RTN4,0.008601650930524988,0.0247047899510501,-0.01096262697142221,-0.10021500703548562,-0.036456991829880284,-0.058968346706757,0.08054813004796593,-0.06529204467241198,-0.07569363542815977,-0.02275172820590833
HEBP1,-0.06888931762649166,0.01822016526181472,-0.02502892274453353,0.09562194752967315,-0.011470698188886854,0.026656548230252233,0.006003288432375807,0.002241142474083164,0.021207562166411235,0.0008239305520012109
WNT7B,0.0811284003902319,0.011528190805634397,0.06649534714025807,,-0.0021630627592308096,-0.0489766105855594,-0.036736131803221155,-0.021837336891625345,0.060774556369863626,0.07270874299825879
PTMA,0.022965326703511018,-0.012519946000905306,-0.045540154825237114,0.0540570640677781,0.07935278580026531,0.11451200109481426,0.05794398894911263,0.050242162263479655,-0.04210699899837391,-0.05742226355007726
FASLG,0.06200804577059108,,,,,,,,,
CEACAM1,-0.01596927040699179,-0.015803933433607528,,,,-0.06007835250828971,-0.020585066543946796,-0.016479391185968875,-0.025308765996305306,
PDAP1,-0.0872000423825806,-0.0008413860745277461,-0.03432558970136455,0.05350047527157797,-0.01107796263126817,0.03653983948651617,0.05866725849291332,0.050222939187103195,0.01677397429770423,-0.09574988293971794
QDPR,0.10236922404024705,-0.005890607060795793,0.021259586491906724,-0.06585010270674369,0.012374330068185033,-0.020044815495308514,0.019167859489968877,-0.031229036166890566,-0.08710862508132844,0.06462784913069865
