,UKF269,UKF313,ZH8812bulk,ZH916T1
IGFL3,0.17411072122373042,,-0.02368340292292973,0.008783804442196202
BMP1,0.030650823164818916,0.08530763167820736,0.02637976275471169,0.05438914821423937
NDP,0.0037934297844678115,0.0713448640689759,0.01342575998400818,0.001442189648969818
TNFSF18,0.014312338756778828,,-0.02442427539780662,0.09976384147659166
RTN4,-0.06282531949987953,0.03507608729268519,0.005218399400481269,0.021371029284027926
HEBP1,-0.012704068674637935,-0.010251119570781286,-0.01540680609374288,-0.023643832351215588
WNT7B,0.04530296776857699,0.012854945262341797,-0.04065689177225114,-0.0038599205829065067
PTMA,0.012498071802592374,0.03631990271031848,-0.03430444171283804,0.028215441631291673
FASLG,,,,-0.021423634679456918
CEACAM1,-0.01477423467204041,,-0.03509513381778342,-0.0160794860941807
PDAP1,0.02464290411042219,0.10767283492666363,0.036951399469956986,-0.0005963368539502216
QDPR,-0.05394723818436621,0.09897825750441874,-0.0019736948477518247,-0.03474722033599173
POMC,-0.03655991516270638,0.043118761624084276,-0.045513693824528516,0.02565078593056614
CCL18,,-0.019039637480953706,,
CCL17,,,-0.031225198681660658,-0.019418118542444577
VEGFD,-0.02431437848648112,0.008880495103148823,-0.0329329469728494,
TNFSF13,,,-0.03348498744626618,-0.03164020340041366
WNT5A,0.0923201062393034,-0.00011151605580672375,-0.053040292348959586,0.08757776829547342
CXCL8,0.03231337001223425,-0.00909079960653313,-0.04433297551496902,0.024009958714713196
GRN,0.07952723747846252,-0.0041449567326797415,0.040886506338556644,0.072236210265576
MIA,0.0692943819814408,0.08763659767075528,-0.00015715485423978474,0.031900274720138344
COL4A4,-0.014302196289340164,,-0.0373897579832841,0.00869162326137975
TAC1,0.004360590022847303,,,0.006785533332692657
RARRES2,0.06725706631028906,-0.00023235586262732686,0.05443185041304188,-0.0032744785116880825
FGF7,0.04053538916536024,0.015277194897735068,0.02265605268346765,0.06790124687891674
HBEGF,0.03926911875868958,0.02219186787331838,0.03898927821791278,0.04898638332233526
CSF3,-0.015131448391027208,0.12868100954597125,,-0.02044428322684211
PI3,-0.01703821060179829,,0.011524857526099636,0.027138660352141724
PCSK1N,-0.007472992625495411,0.009589631034415668,-0.039736180553372975,-0.010455829437710942
NTS,-0.018598370255150737,,,-0.03027519565160173
SFRP1,-0.024424410549781485,0.029440298136061582,0.0211109095065715,0.0004859718446006877
CXCL13,,-0.03509364026559602,,
MICA,0.07073638414488685,-0.011405974390495349,-0.002936002185385079,0.10077931921301293
TG,-0.018262304427917878,-0.0330670607250606,,0.022654483959093745
