,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.023336735650566112,,,,,,,,,,,-0.015471715089754893,,
BMP1,-0.03434643785694713,-0.016846030770944986,0.018177436444218865,-0.03533336278194287,-0.03251262923137505,-0.1802593074975018,-0.10257353701848637,0.03238493855631252,-0.060434031008097175,0.07169968013526726,-0.17064398420132268,0.024435217932347077,0.033914753733661415,-0.07341325189218206,-0.03016804611684737,-0.012546428395418599,-0.008512914925097318,0.03980968715715779,0.05517651588067383
NDP,-0.0543298536528449,0.011675721014617649,0.005466926337017666,0.14690753776763033,0.022903984330990654,-0.10822443692084614,0.04330181574465275,-0.03495321344328594,-0.0227192091737494,0.01231056550187822,-0.04539519988037195,-0.06416407243093614,0.01006781140292065,-0.002975760225314751,-0.004474209517092457,0.0403197920015407,-0.04160104598371113,0.022905528015694707,0.057755915669092384
TNFSF18,-0.024002652010858716,-0.02328084996471836,,,0.007208848659034792,-0.03465435185308821,-0.024625452008635536,,,,,,,,,-0.04113942006427463,0.0372425176338482,-0.010025670311114433,
IL36G,,,,,,,,,,,0.0202676609668119,,,,,,,,
RTN4,0.024932926545066895,-0.025961461391336576,0.007160941233671209,0.11785180209692218,0.19227458054348617,0.22576353038834637,0.11752390802971663,0.0203086722568235,0.2558548411292129,-0.01270296321827218,0.2649119752510846,-0.02057334081129158,0.060340305531319534,-0.005794166590994869,0.10440520865419844,0.006738373567287107,0.019769010659671637,0.17564831567263448,0.13193185126777465
HEBP1,0.0004838502955939499,-0.03208431687971984,-0.02847566240965261,-0.012747064169834142,-0.030590728695614165,-0.07853830371502502,-0.014284839140406427,-0.004471130758484603,-0.1493673773638235,0.032454858080225794,0.010662188801926063,0.013312369122158078,0.05190046226816781,-0.002620585242970258,0.030149684983941955,0.054957387090977805,-0.04904250007050482,0.019930027181524434,0.05457300131118676
WNT7B,0.012099728813307727,-0.004811510957682419,-0.008155099328979886,0.02306168834863432,0.017112221931052024,0.15577153588349546,-0.03180930368400153,0.003174792775627576,,0.04211804906521478,0.10268321755481187,0.010290442849514825,0.002619760223311313,0.03111134269591566,0.01886722026523511,0.06073879777363748,-0.033023071683607914,0.03649440210777915,0.09479633875497862
PTMA,-0.01575825408790266,-0.0634731962946312,0.004910215994250808,-0.10107636988842462,-0.13963790795238823,0.05342243140607624,0.02268953223974501,-0.04055647645691931,-0.32414749341070176,0.09219050610021232,-0.2398052344151536,-0.04024416568052596,-0.1280880739378527,0.09369042532391786,-0.054297968343832055,0.0041625190762096835,-0.000884697744425195,-0.08969016154949148,-0.08041151200665657
FASLG,,,,,,,,,,,,,,,,,-0.013418613219092547,,
CEACAM1,-0.013412703992562667,-0.01571224740902484,-0.025112434724245854,0.026647253552904433,,-0.045603153274366225,0.005693405640355381,,,,,0.136899915213646,-0.022472422309979506,-0.037536037710180443,0.0040828696490195875,,-0.018670029458821,,
