,MGH258,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.04082557983611284,,,,,,,,-0.013954476043449675,,,0.006461748812055653,,
BMP1,-0.030397507730984354,0.0007564195441933242,-0.0050403012326422966,0.026003675645547508,-0.008621904507585317,0.031997663135543426,-0.04470080912653031,0.008999802085295938,0.02146308326759484,-0.1802069153257984,-0.051392175467650326,0.012050587756456222,-0.052350027706355995,0.043406086203051565,0.020174050684918194,-0.011565915967063068,0.11352341787448443,0.05187786782662667,0.12813932440998246
NDP,-0.0297510091858796,-0.009066348447802424,0.009982051457703508,0.06896615398730425,0.05722670890511904,0.01893347641384967,-0.03701809892164338,0.05972456727344764,0.01139261527745933,-0.08177298740755558,-0.06564486257838244,-0.021186635346854752,0.04131743662421453,-0.06581225037587397,-0.002566253134986021,-0.04692399932416629,0.0253032749815975,0.015488372951704,-0.09107919617811976
TNFSF18,0.06030876501368891,0.0029251283406719875,0.007487507738299193,,0.015968300601487937,0.13143531517396592,-0.016298661206611914,,,,0.0373526610628461,,,0.08429453809314917,,0.1631805797819653,0.03595266807925743,0.016369847928286916,
IL36G,,,,,,,,,,-0.02480107407860294,,,,,,,,,
RTN4,0.04385312413022966,-0.02702495332583948,0.004434935134633224,0.14553269598818078,0.03956461422945777,-0.006932679165467302,0.0034903048476635826,0.049377876645447634,0.10533077117642468,0.18740724813911197,-0.012439975812866908,-0.027755536811635277,0.011836745622707324,0.07050343009836475,-0.04082931193497073,-0.015824818287119777,-0.01911408615773716,0.05959107248840149,-0.014048782944991685
HEBP1,0.009913312872555514,-0.048384556465232334,0.05041802132989324,-0.03532125935679303,-0.029115104583071212,0.0692233929145115,0.005476937939930673,-0.009384681236393489,-0.07053692297833876,-0.010240027478223076,-0.06559806564761728,0.052048971782253366,-0.03656580699708933,-0.01483707269760574,0.01260931914544393,-0.02055555424976475,0.044665460098171815,0.01294675505619771,-0.07082168554840991
WNT7B,-0.015707252843033932,-0.019624035252434606,0.0568087131990667,-0.024377604422128777,0.0014639558485742016,-0.00972494545971695,-0.039985736858043464,-0.019106699312338927,,0.03432471870392478,-0.026131461645340814,0.02428467178900264,-0.043921770659602566,-0.025208550265065428,-0.000512261899888955,-0.03597295821549811,0.041787975932901573,0.10290369532396325,0.0636197036957998
PTMA,0.010523274584167203,0.009981320895257065,0.053675988034239376,-0.08417713752776863,-0.07840492069066782,-0.007289033713073092,0.03949415736694376,0.012337552649267725,-0.08038758603363139,-0.2376212854196776,0.13394544833856564,0.10852995555978431,-0.008261213053513981,0.12316555469395012,-0.04177601881616216,0.06821811177889145,0.10235199290835391,0.015085075385594246,-0.01797174013003701
FASLG,0.0733456036531149,,,,,,,,,,,,,,,,-0.006393933674792335,,
CEACAM1,-0.021809664203050843,-0.023289244085838306,-0.027730407112646103,0.024530893358447044,,-0.03053492871361051,0.00828060469680621,,,,,-0.02156121893004718,-0.021278053051772702,-0.03242514929397867,0.06782339847472343,,0.01176151814028762,,
PDAP1,0.03759141731909964,-0.05323992990176209,-0.021351091870158427,-0.05773120191318485,-0.028340726523549097,0.02108698570761637,0.04009292995033499,-0.03171934630739274,0.06710345820426837,-0.13798475553146064,0.013973556455622824,-0.033168775807410886,-0.010611719259355078,-0.009476530542030532,-0.009209924077817892,-0.044265591513375335,-0.04520432874088868,-0.05544973365220772,0.006304121141678573
QDPR,0.03459775144204314,0.01844711255275946,0.033340978349778096,0.08125096117695693,0.01941960087861336,-0.03409541482818766,0.060615963139072374,0.05396633516878245,-0.05144327687587191,0.030147686558994146,-0.022631651044628352,-0.030328883523774688,-0.040980584191813565,0.06672200238393185,-0.017904902154616143,0.04297490105254738,-0.020091958701049118,-0.0077279315226278485,0.06200088286926304
POMC,-0.000641308560804122,0.014643328367061415,-0.04287127717139969,0.13623915421823835,-0.00662715389416338,0.057173143916215245,-0.018911677596384412,-0.013339082797871183,-0.011237587487803999,0.05862244522774042,0.004850969630921327,-0.051769962664792696,0.02609327561449661,-0.02576916196615593,0.02736106404933501,,0.07683897429304185,-0.026597513684007573,-0.03244876152221671
CCL18,,0.01967585860132106,,,,,,,-0.03192843930944464,,,-0.026848594268358592,0.006265537301924096,,0.010770098015687988,,,,
CCL17,,,,,,,0.062075316127164146,0.06090163110403838,,-0.022656485273058146,,-0.015296641238537618,-0.030716205404358828,-0.02732104225939481,,,0.023197542624187658,,
VEGFD,,0.1368278026028217,-0.02286121890598408,-0.013269049348291716,,-0.019992770980128957,0.03024706550402504,-0.006322597167502458,-0.04073101097290584,0.033776147906479086,,,0.016475471775934128,0.008189092072271361,,,,,
TNFSF13,,0.03959119844024423,,,-0.030222627323070805,,,,,,,-0.029351956945990243,-0.03338746512088603,0.004187949433174111,-0.008380309147708178,,-0.01505178546163952,0.011123499016128257,
