,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,-0.01960712916758742,
BMP1,0.04104762190531041,-0.0269915616357226,-0.02449445518748177
NDP,-0.01177630796094642,0.11842788383588067,-0.011944627669414575
TNFSF18,,-0.0330737215108455,-0.02430872834009309
RTN4,0.03611464610534829,0.01042779330482249,0.008003016477863301
HEBP1,-0.011193356446323778,0.10092534224825289,-0.008308128561680226
WNT7B,-0.02206736161036572,-0.041849764441419565,0.011198567312056039
PTMA,-0.02329553625640293,-0.010236496561078697,0.032005199377708085
FASLG,,-0.017005256437979795,
CEACAM1,-0.014646428841896647,-0.02366031671589971,
PDAP1,-0.04118531326501723,0.04803912965235813,0.008045418251396574
QDPR,0.013520456685199925,-0.03940218182645789,0.050201319830311134
POMC,0.08255795089939238,-0.008703477658500004,-0.04858648712593812
CCL18,0.030733820619459562,,
CCL17,,-0.015413354937105899,
TNFSF13,0.027897506614280195,-0.025114775369550594,-0.026444429044639093
WNT5A,-0.008737460662813263,-0.03277564268508023,0.013677485979866759
CXCL8,-0.01169833739465054,0.10405298504651232,0.037493343246433795
GRN,0.01401426644916025,-0.055537943841769986,-0.04898285473259383
MIA,0.011557182548386094,0.01000054645418328,-0.04844219071651076
COL4A4,0.008808108411423075,-0.025310253711692668,-0.029555653615902948
TAC1,-0.025269262263424578,-0.02026242236072333,0.04851567946674715
RARRES2,-0.037303257917593105,0.08812923694236324,-0.03841786692134785
FGF7,0.03957520659744176,0.04245336754922278,-0.02748764487564317
HBEGF,-0.0368505914223458,-0.1009925070331451,-0.04637199177852061
CSF3,0.05019050786743986,-0.016227884958125705,-0.03108916596764781
PI3,0.017234463882352898,-0.03525780282775025,0.019442308266963818
PCSK1N,0.062667960696149,0.08004485219654237,0.05135438776108211
NTS,0.005002832027148404,0.011288433019828858,
SFRP1,-0.021990281687157765,-0.02347285859266957,0.03200904435846073
CXCL13,-0.034251547158819694,,-0.02521753671857425
MICA,0.05929173885638598,-0.0914618256068913,0.034491104915339535
TG,0.004322630952465585,-0.03164747101373624,-0.027789855963083834
ADA,0.019699289342049477,-0.027206377369347664,-0.023205231761959086
