,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.0179902875695957,,,,,,,,0.14308627466110782,,,,
BMP1,0.04209043438593018,0.04370748173478431,0.13675703951116402,-0.08358120369265992,-0.022270659084892553,0.009091077580823148,-0.1542527149260572,0.018536246602731007,-0.020881839158190585,0.10540339452784328,-0.08613378786412697,-0.04738447909811566,-0.0846750570733279,-0.028939867672710944,0.06316594949073907,-0.10121559243398363,0.032255906430004866,0.012094240302641512,-0.0492431905542427
NDP,0.005849212082378717,0.0033367477914272247,0.0871853272512342,-0.0013773028189687936,0.09628806521380784,0.033992451836517515,-0.056388801012863095,-0.016352555769277563,0.015674599904097995,0.040014888547926376,0.06701441774624753,-0.0731908903169464,-0.08657804297706849,-0.020408256482440146,-0.007507449441504722,0.06616789251440917,-0.020932710427985588,-0.020007615686832212,0.034754859085305914
TNFSF18,0.013493436035451537,0.04786159654807044,,,,-0.0034127369860496777,-0.026715036957616862,-0.01660447983508407,,,,-0.03671453132797355,,,0.02784659249467083,,-0.06766298169611275,0.0004890645855861783,
IL36G,,,,,,,,,,,-0.004564598590568153,,,,,,,,
RTN4,0.012265176862301658,-0.0005550363071049556,0.025382127211099753,0.052402373187303446,0.045345779899549826,0.03448734779425606,0.20703336369231856,0.012651057363042038,0.01081264786227406,0.030020422552577686,0.14668407969569838,-0.045413083143412795,0.03692588041214426,0.043796034937353734,0.03808217323854494,-0.08104794995309253,0.016220573441169707,0.2299842566857489,-0.038251357140050686
HEBP1,0.0009158644033073701,-0.0003804193594917651,-0.003995006980176966,-0.018148927939508265,-0.02056034285739647,-0.029280455944654418,-0.1226152439956824,-0.022201688683699556,-0.04116520107896943,0.0500206132886282,-0.007963009058153921,-0.07332909849095674,0.07587848221335854,-0.00998468395580856,0.04596455982062812,0.05262551681185935,0.08607228171423742,-0.0660924544650853,0.06804228114325901
WNT7B,0.07957111285499927,-0.03493129369157743,-0.01728574852395854,0.030670376741067328,0.053254817980088284,-0.016438693343499372,0.1384678431737542,-0.008487491575375119,-0.021254506456814967,,-0.007621646563599891,0.03240805616087292,-0.04288070807399136,0.04117501602013877,0.08738177099511715,0.061245298761032275,0.016679019423398552,-0.012379381788575776,-0.03799168543971288
PTMA,0.036495765696392346,0.02542979365709188,0.07411076508739366,-0.06695238022770486,-0.07294345138728105,-0.073347848798503,0.004142179098824879,0.018874100950101023,-0.046310740586711543,0.06208668391240045,-0.10414882433318084,0.058322339449570375,0.013003523349616835,0.026449260736953497,0.061178747719070586,-0.0818605575951146,-0.020260390087943243,0.014132033608910497,0.02746613673110137
CEACAM1,0.12023926558600423,-0.014451182834182673,,-0.0419755144400111,0.035374892622267354,,-0.03515546706149093,-0.02611489102831687,,,,,-0.03845610583598903,-0.017496420974187483,0.050788869733512564,-0.017319641172382133,,,
PDAP1,0.0082338664739011,-0.03471176270797042,0.022269255676794015,-0.03838332465880237,0.01626540149984083,0.020475064086676147,-0.058051050711592916,0.0018272642289540904,0.03383101254362519,-0.005579793471547635,-0.08289528558383213,-0.07557775457201008,-0.002336559389405137,0.016410354132183752,0.08373499343555489,-0.008312324715174985,-0.005082689617888899,-0.002876556783980315,-0.03926984003153364
QDPR,-0.010779897040669239,-0.044095783187928304,0.09016166932125623,-0.009121859761276746,0.10808744712022446,0.055405448944882855,0.03719668788745932,0.04011857956814668,0.029182418907651386,0.10399491004469584,0.02345779990350127,0.06944535080679612,0.04867303919223335,-0.0035076977738793687,0.021310450341353482,0.05149115748729518,-0.01281244805953354,0.08228239942193981,0.008058962654921528
