,MGH258,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
DCN,0.02890910139977499,0.02715326151579743,0.03729363874310633,-0.03146637110714584,0.03570523871485801,0.0027245235330155076,-0.015068958532179152,-0.056621464348065836,0.004682437732901113,-0.07255865070197763,-0.020038224748953847,0.06858993719809674,0.0750590834224066,-0.012940358915254677,0.05734913228910599,-0.03266076111700926,0.08316525362191904,-0.01325250347601204
RARRES2,-0.0789753215433943,-0.024503098512056398,-0.0037921814780240014,-0.0027348478511445046,-0.02072501196728745,0.03632617014575794,-0.01764665780138551,0.1202528684735112,0.0335423977306198,0.029769546876953584,0.015672704556478265,-0.03291518745318756,-0.04451352871480435,0.07062918373511709,-0.0721214069115113,-0.028861449054472132,0.004472482161346558,-0.010045646342838305
SEMA4A,0.020255339780540393,0.039528508468303074,-0.01593311332836954,0.07059211611720106,-0.0001693785550991493,-0.017440683014728828,-0.037915155226352505,-0.12916070662454265,-0.042197906909821836,0.013417549306389338,0.030001033881379265,0.015223879369292542,0.01733400888345497,-0.021518212333072762,-0.004050800997227164,-0.015379662641626341,0.0018565973203309933,-0.11105625038380092
GDF11,-0.038077995427128315,-0.04171926929617275,0.012526178366647317,0.03664161398033282,0.023095202182999246,0.019333457848197337,0.047080142836119075,-0.017773292465788657,0.03013994429068971,0.060597398182445916,0.03717997063659542,0.0015925263929661448,0.013688631712924247,-0.004522346248564195,-0.032176506919107485,-0.019284222384883233,0.0018284766387073185,0.07163132794574657
GPC3,-0.025068226785497826,-0.01392921411438606,0.054061546231326064,-0.012774048754569632,0.028560670404890867,0.03811862118047805,-0.017095566877574717,-0.06103830239841635,,-0.02165526132472292,-0.034109039624888864,0.05698999673661945,0.09986125945871745,0.011272336081684972,0.0553147927320892,,0.06091104057970447,
OSTN,,,-0.021890897015801436,-0.013511380747902821,,-0.027839002244254465,-0.004417938037275265,,,,,,,-0.025605146803033982,,,0.016915785282138253,
GRN,0.02734446331711367,0.03379737841224725,-0.01747525582309712,-0.037692408749086546,-0.05080682258330015,0.04121768683047124,0.06408754750034806,0.16173867136627298,0.005412200010041589,0.007229904560199983,0.04220634526164727,2.675619627329105e-05,-0.0031846179277925006,-0.07690641143439954,0.017834263997745205,0.06427274271289435,0.05157337951913938,0.0816169272468717
CALM1,0.007830050066746988,-0.002495203984616421,0.012056542169816177,0.06932180488341307,-0.07364676849399283,-0.07372084612582219,0.017714278200208624,-0.2496770495855505,-0.006221861606241501,0.067551776055571,0.01826993067429217,0.01873766436004557,0.0408532963233492,0.0512395485898729,0.057040885369387576,0.025006153388081574,-0.04790733852159297,0.012188794818987471
ANGPTL4,0.070852501881999,-0.007093510974890151,0.021395985504946053,0.03449332117263543,0.05959052590568252,-0.0017534117189776659,-0.01089448930346005,-0.021715556418918695,0.03245450691418833,-0.05968833616109848,-0.07968925463347434,-0.005663516978326282,-0.11243834123462389,0.08764099911206456,0.0033393458104135853,0.052289485664652656,0.09199525753886066,-0.007679460894321391
BMP8B,0.0042115699128183965,0.04015470478343107,0.12399044160170485,0.006314134566506153,0.04927910278658784,0.0040955071212109544,0.06251063333027748,0.17341975963688294,0.05367869295221208,0.08501491420220615,0.031332323585140015,0.021323015641104094,-0.0019014824223590728,0.04387590255652456,-0.02612964347497256,0.021138960342768808,0.037346991654964114,0.15060533848107688
